Name	GS	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
RNA POLYMERASE I PROMOTER OPENING%REACTOME%REACT_2232.2	RNA POLYMERASE I PROMOTER OPENING%REACTOME%REACT_2232.2	Details ...	57	5.10060567	18.1459945	0.01	0.01	0.101428571428571	7388	tags=96%, list=24%, signal=126%
MEIOTIC RECOMBINATION%REACTOME%REACT_27271.1	MEIOTIC RECOMBINATION%REACTOME%REACT_27271.1	Details ...	80	4.44726084	16.6261499	0.01	0.01	0.138714285714286	7196	tags=78%, list=25%, signal=102%
PACKAGING OF TELOMERE ENDS%REACTOME%REACT_7963.3	PACKAGING OF TELOMERE ENDS%REACTOME%REACT_7963.3	Details ...	49	4.90410141	17.0407441	0.01	0.01	0.14	7388	tags=88%, list=24%, signal=115%
RNA POLYMERASE I CHAIN ELONGATION%REACTOME%REACT_2204.1	RNA POLYMERASE I CHAIN ELONGATION%REACTOME%REACT_2204.1	Details ...	72	4.44492053	16.2776639	0.01	0.01	0.0938571428571429	7388	tags=86%, list=26%, signal=115%
AMYLOIDS%REACTOME%REACT_75925.1	AMYLOIDS%REACTOME%REACT_75925.1	Details ...	75	3.7388025	14.1868048	0.01	0.01	0.017	4074	tags=81%, list=24%, signal=106%
RNA POLYMERASE I TRANSCRIPTION%REACTOME%REACT_1309.1	RNA POLYMERASE I TRANSCRIPTION%REACTOME%REACT_1309.1	Details ...	80	4.20921799	15.7032349	0.01	0.01	0.119	7388	tags=83%, list=27%, signal=112%
RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME%REACT_1974.2	RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME%REACT_1974.2	Details ...	78	4.26257893	15.765631	0.01	0.01	0.0971428571428572	7388	tags=82%, list=27%, signal=112%
RNA POLYMERASE I, RNA POLYMERASE III, AND MITOCHONDRIAL TRANSCRIPTION%REACTOME%REACT_21352.3	RNA POLYMERASE I, RNA POLYMERASE III, AND MITOCHONDRIAL TRANSCRIPTION%REACTOME%REACT_21352.3	Details ...	119	3.19660129	12.0234851	0.01	0.01	0.239333333333333	7245	tags=70%, list=27%, signal=95%
TELOMERE MAINTENANCE%REACTOME%REACT_7970.4	TELOMERE MAINTENANCE%REACTOME%REACT_7970.4	Details ...	76	4.10487793	15.1518043	0.01	0.01	0.127714285714286	6693	tags=76%, list=27%, signal=104%
CHROMATIN ASSEMBLY%GO%GO:0031497	CHROMATIN ASSEMBLY%GO%GO:0031497	Details ...	77	4.11435832	15.1765776	0.01	0.01	0.132714285714286	6693	tags=70%, list=27%, signal=96%
DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME%REACT_22186.2	DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME%REACT_22186.2	Details ...	60	3.92643757	14.3632711	0.01	0.01	0.000333333333333333	4627	tags=77%, list=27%, signal=105%
MEIOSIS%REACTOME%REACT_111183.1	MEIOSIS%REACTOME%REACT_111183.1	Details ...	108	3.76496427	14.4674676	0.01	0.01	0.160142857142857	7196	tags=66%, list=25%, signal=87%
NUCLEOSOME ASSEMBLY%GO%GO:0006334	NUCLEOSOME ASSEMBLY%GO%GO:0006334	Details ...	69	4.25107693	15.5671546	0.01	0.01	0.132428571428571	6693	tags=72%, list=27%, signal=99%
NUCLEOSOME ASSEMBLY%REACTOME%REACT_22344.1	NUCLEOSOME ASSEMBLY%REACTOME%REACT_22344.1	Details ...	60	3.92643757	14.3691578	0.01	0.01	0.000333333333333333	4627	tags=77%, list=27%, signal=105%
DNA PACKAGING%GO%GO:0006323	DNA PACKAGING%GO%GO:0006323		99	3.42064037	12.6852438	0.01	0.01	0.138833333333333	6693	tags=65%, list=27%, signal=88%
PROTEIN-DNA COMPLEX ASSEMBLY%GO%GO:0065004	PROTEIN-DNA COMPLEX ASSEMBLY%GO%GO:0065004		83	3.95285598	14.6621731	0.01	0.01	0.207857142857143	6693	tags=70%, list=27%, signal=96%
MEIOTIC SYNAPSIS%REACTOME%REACT_75792.1	MEIOTIC SYNAPSIS%REACTOME%REACT_75792.1		72	3.97820501	14.5982913	0.01	0.01	0.151714285714286	6942	tags=71%, list=25%, signal=94%
PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071824	PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071824		103	3.31038511	12.2358647	0.01	0.01	0.1445	6693	tags=66%, list=27%, signal=90%
NUCLEOSOME ORGANIZATION%GO%GO:0034728	NUCLEOSOME ORGANIZATION%GO%GO:0034728		89	3.84562845	14.3746647	0.01	0.01	0.209	6693	tags=67%, list=27%, signal=92%
CHROMATIN ASSEMBLY OR DISASSEMBLY%GO%GO:0006333	CHROMATIN ASSEMBLY OR DISASSEMBLY%GO%GO:0006333		95	3.32388208	12.1989154	0.01	0.01	0.151	6693	tags=64%, list=27%, signal=88%
SYSTEMIC LUPUS ERYTHEMATOSUS%KEGG%HSA05322	SYSTEMIC LUPUS ERYTHEMATOSUS%KEGG%HSA05322		133	2.07364843	8.5438961	0.01	0.01	0.03	4293	tags=64%, list=26%, signal=86%
DNA CONFORMATION CHANGE%GO%GO:0071103	DNA CONFORMATION CHANGE%GO%GO:0071103		128	2.99698485	11.3478476	0.01	0.01	0.3745	6875	tags=58%, list=27%, signal=79%
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%REACT_6152.2	INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%REACT_6152.2		99	3.40979593	12.9361838	0.01	0.01	0.171166666666667	7028	tags=79%, list=30%, signal=111%
CHROMOSOME MAINTENANCE%REACTOME%REACT_22172.2	CHROMOSOME MAINTENANCE%REACTOME%REACT_22172.2		116	3.0999144	11.5965675	0.01	0.01	0.2395	6812	tags=61%, list=27%, signal=84%
TRANSCRIPTION%REACTOME%REACT_1788.4	TRANSCRIPTION%REACTOME%REACT_1788.4		203	2.47201392	9.4504145	0.01	0.01	0.3708	7245	tags=65%, list=31%, signal=92%
