	Fetal_Gut	Fetal_Ovary	Fetal_Placenta	Fetal_Testis	Fetal_Brain	Fetal_Heart	Fetal_Liver
RNA POLYMERASE I PROMOTER OPENING%REACTOME%REACT_2232.2	2.8228471	1.6996299	3.0896065	2.6834245	2.6124518	2.3461213	2.8919134
MEIOTIC RECOMBINATION%REACTOME%REACT_27271.1	2.585867	1.6286217	2.7727163	2.4445627	2.3235438	2.1263976	2.7444408
PACKAGING OF TELOMERE ENDS%REACTOME%REACT_7963.3	2.5805686	1.6241955	2.9102006	2.531749	2.4446414	2.2153232	2.7340658
RNA POLYMERASE I CHAIN ELONGATION%REACTOME%REACT_2204.1	2.5507166	1.7091724	2.527438	2.4134145	2.3326159	2.1404421	2.6038644
AMYLOIDS%REACTOME%REACT_75925.1	2.526477	0	2.922221	2.181286	2.0496147	1.9756378	2.5315683
RNA POLYMERASE I TRANSCRIPTION%REACTOME%REACT_1309.1	2.5227964	1.6725456	2.3873398	2.2952278	2.2592983	2.0815237	2.4845033
RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME%REACT_1974.2	2.482098	1.7056865	2.3925138	2.3253202	2.2506151	2.074697	2.5347004
RNA POLYMERASE I, RNA POLYMERASE III, AND MITOCHONDRIAL TRANSCRIPTION%REACTOME%REACT_21352.3	2.3597682	1.6836308	0	2.111904	1.8883783	1.9606774	2.0191264
TELOMERE MAINTENANCE%REACTOME%REACT_7970.4	2.3529944	1.7178553	2.0387113	2.3605707	2.1470144	2.06232	2.4723382
CHROMATIN ASSEMBLY%GO%GO:0031497	2.3492024	1.6586598	2.192829	2.3550909	2.2790358	2.0716183	2.2701414
DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME%REACT_22186.2	2.3064277	0	2.5344229	2.5111625	2.4003057	2.0892563	2.521696
MEIOSIS%REACTOME%REACT_111183.1	2.302594	1.6346502	2.2203908	2.0820355	2.0562897	1.9400094	2.231498
NUCLEOSOME ASSEMBLY%GO%GO:0006334	2.2985375	1.6517192	2.3128912	2.5220902	2.3186197	2.043815	2.4194818
NUCLEOSOME ASSEMBLY%REACTOME%REACT_22344.1	2.2950597	0	2.5396554	2.5296664	2.3974469	2.1130247	2.4943047
DNA PACKAGING%GO%GO:0006323	2.2850475	1.6814908	0	2.126929	2.1880383	1.9680012	2.435737
PROTEIN-DNA COMPLEX ASSEMBLY%GO%GO:0065004	2.2578263	1.6847607	1.9175894	2.3540113	2.1575646	2.1173146	2.1731062
MEIOTIC SYNAPSIS%REACTOME%REACT_75792.1	2.2548025	1.6346139	2.2406294	2.121122	2.2514966	1.9368036	2.1588233
