Name	GS	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
RNA POLYMERASE I PROMOTER OPENING%REACTOME%REACT_2232.2	RNA POLYMERASE I PROMOTER OPENING%REACTOME%REACT_2232.2	Details ...	57	9.38496394	32.6012017	0.01	0.01	0.0706923076923077	7388	tags=96%, list=24%, signal=126%
MEIOTIC RECOMBINATION%REACTOME%REACT_27271.1	MEIOTIC RECOMBINATION%REACTOME%REACT_27271.1	Details ...	80	7.7767864	28.37319	0.01	0.01	0.0948333333333333	7196	tags=78%, list=25%, signal=102%
PACKAGING OF TELOMERE ENDS%REACTOME%REACT_7963.3	PACKAGING OF TELOMERE ENDS%REACTOME%REACT_7963.3	Details ...	49	9.13231306	31.0406896	0.01	0.01	0.0887692307692308	7388	tags=88%, list=24%, signal=115%
RNA POLYMERASE I CHAIN ELONGATION%REACTOME%REACT_2204.1	RNA POLYMERASE I CHAIN ELONGATION%REACTOME%REACT_2204.1	Details ...	72	7.83520999	28.0612171	0.01	0.01	0.0626666666666667	7388	tags=86%, list=26%, signal=115%
AMYLOIDS%REACTOME%REACT_75925.1	AMYLOIDS%REACTOME%REACT_75925.1	Details ...	75	5.6167016	20.8856013	0.01	0.01	0.0994444444444444	4693	tags=81%, list=24%, signal=106%
RNA POLYMERASE I TRANSCRIPTION%REACTOME%REACT_1309.1	RNA POLYMERASE I TRANSCRIPTION%REACTOME%REACT_1309.1	Details ...	80	7.45420165	27.1677477	0.01	0.01	0.0774166666666667	7388	tags=83%, list=27%, signal=112%
DIGESTION%GO%GO:0007586	DIGESTION%GO%GO:0007586	Details ...	64	3.42602975	14.6267257	0.01	0.01	0.0176666666666667	2526	tags=48%, list=14%, signal=56%
RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME%REACT_1974.2	RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME%REACT_1974.2	Details ...	78	7.55945733	27.3410879	0.01	0.01	0.0613333333333333	7388	tags=82%, list=27%, signal=112%
GENERIC TRANSCRIPTION PATHWAY%REACTOME%REACT_12627.3	GENERIC TRANSCRIPTION PATHWAY%REACTOME%REACT_12627.3	Details ...	406	4.25907844	17.5121785	0.01	0.01	0.283625	5572	tags=43%, list=23%, signal=55%
RNA POLYMERASE I, RNA POLYMERASE III, AND MITOCHONDRIAL TRANSCRIPTION%REACTOME%REACT_21352.3	RNA POLYMERASE I, RNA POLYMERASE III, AND MITOCHONDRIAL TRANSCRIPTION%REACTOME%REACT_21352.3	Details ...	119	5.52251875	20.716894	0.01	0.01	0.1484	7245	tags=70%, list=27%, signal=95%
O-LINKED GLYCOSYLATION OF MUCINS%REACTOME%REACT_115606.1	O-LINKED GLYCOSYLATION OF MUCINS%REACTOME%REACT_115606.1	Details ...	47	1.81843897	6.6815162	0.01	0.01	0.252	3830	tags=38%, list=14%, signal=44%
TELOMERE MAINTENANCE%REACTOME%REACT_7970.4	TELOMERE MAINTENANCE%REACTOME%REACT_7970.4	Details ...	76	6.62607665	24.1517468	0.01	0.01	0.0816363636363636	6693	tags=76%, list=27%, signal=104%
CHROMATIN ASSEMBLY%GO%GO:0031497	CHROMATIN ASSEMBLY%GO%GO:0031497	Details ...	77	6.64158022	24.2515031	0.01	0.01	0.0850909090909091	6693	tags=70%, list=27%, signal=96%
PEPTIDE HORMONE PROCESSING%GO%GO:0016486	PEPTIDE HORMONE PROCESSING%GO%GO:0016486	Details ...	31	2.40177055	8.5367688	0.01	0.01	0.287	3011	tags=48%, list=5%, signal=51%
DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME%REACT_22186.2	DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME%REACT_22186.2	Details ...	60	6.76792424	24.2440567	0.01	0.01	5e-04	5734	tags=77%, list=27%, signal=105%
MEIOSIS%REACTOME%REACT_111183.1	MEIOSIS%REACTOME%REACT_111183.1	Details ...	108	6.87416098	25.7787344	0.01	0.01	0.105333333333333	7196	tags=66%, list=25%, signal=87%
NUCLEOSOME ASSEMBLY%GO%GO:0006334	NUCLEOSOME ASSEMBLY%GO%GO:0006334	Details ...	69	6.889827	24.9400483	0.01	0.01	0.0849090909090909	6693	tags=72%, list=27%, signal=99%
NUCLEOSOME ASSEMBLY%REACTOME%REACT_22344.1	NUCLEOSOME ASSEMBLY%REACTOME%REACT_22344.1	Details ...	60	7.34711144	26.0899194	0.01	0.01	0.0186363636363636	5791	tags=77%, list=27%, signal=105%
MATURITY ONSET DIABETES OF THE YOUNG%KEGG%HSA04950	MATURITY ONSET DIABETES OF THE YOUNG%KEGG%HSA04950	Details ...	21	2.75320664	8.400969	0.01	0.01	0.1145	1802	tags=29%, list=10%, signal=32%
DNA PACKAGING%GO%GO:0006323	DNA PACKAGING%GO%GO:0006323		99	5.74039553	21.2374447	0.01	0.01	0.0919	6693	tags=65%, list=27%, signal=88%
PROTEIN-DNA COMPLEX ASSEMBLY%GO%GO:0065004	PROTEIN-DNA COMPLEX ASSEMBLY%GO%GO:0065004		83	6.41459471	23.6168939	0.01	0.01	0.133	6693	tags=70%, list=27%, signal=96%
MEIOTIC SYNAPSIS%REACTOME%REACT_75792.1	MEIOTIC SYNAPSIS%REACTOME%REACT_75792.1		72	7.30622518	26.2492505	0.01	0.01	0.0899166666666667	6942	tags=71%, list=25%, signal=94%
MUCIN TYPE O-GLYCAN BIOSYNTHESIS%KEGG%HSA00512	MUCIN TYPE O-GLYCAN BIOSYNTHESIS%KEGG%HSA00512		25	1.95304115	6.1923376	0.01	0.01	0.165666666666667	2603	tags=48%, list=14%, signal=56%
PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071824	PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071824		103	5.78521562	21.4322157	0.01	0.01	0.0868	6693	tags=66%, list=27%, signal=90%
NUCLEOSOME ORGANIZATION%GO%GO:0034728	NUCLEOSOME ORGANIZATION%GO%GO:0034728		89	6.39345139	23.6655116	0.01	0.01	0.133181818181818	6693	tags=67%, list=27%, signal=92%
NITRIC OXIDE STIMULATES GUANYLATE CYCLASE%REACTOME%REACT_23862.1	NITRIC OXIDE STIMULATES GUANYLATE CYCLASE%REACTOME%REACT_23862.1		25	3.6789325	12.1733726	0.01	0.01	0.302166666666667	3543	tags=44%, list=12%, signal=50%
XENOBIOTICS%REACTOME%REACT_13543.2	XENOBIOTICS%REACTOME%REACT_13543.2		16	3.06300921	9.1087947	0.01	0.01	0.25825	2104	tags=31%, list=6%, signal=33%
GLYCOSPHINGOLIPID METABOLISM%REACTOME%REACT_116105.3	GLYCOSPHINGOLIPID METABOLISM%REACTOME%REACT_116105.3		34	1.75018879	5.8124715	0.01	0.01	0.42	3879	tags=68%, list=23%, signal=88%
CHROMATIN ASSEMBLY OR DISASSEMBLY%GO%GO:0006333	CHROMATIN ASSEMBLY OR DISASSEMBLY%GO%GO:0006333		95	5.80379223	21.3491445	0.01	0.01	0.0908	6693	tags=64%, list=27%, signal=88%
DRUG METABOLISM - CYTOCHROME P450%KEGG%HSA00982	DRUG METABOLISM - CYTOCHROME P450%KEGG%HSA00982		73	3.76106571	16.0241725	0.01	0.01	0.0283333333333333	4738	tags=60%, list=29%, signal=84%
SYSTEMIC LUPUS ERYTHEMATOSUS%KEGG%HSA05322	SYSTEMIC LUPUS ERYTHEMATOSUS%KEGG%HSA05322		133	4.15695556	16.3896856	0.01	0.01	0.186875	5735	tags=64%, list=26%, signal=86%
