	Fetal_Gut	Immune_Bcell	Adult_UrinaryBladder	Adult_AdrenalGland	Immune_CD4	Fetal_Ovary	Adult_Colon	Fetal_Placenta	Adult_Esophagus	Fetal_Testis	Adult_FrontalCortex	Adult_GallBladder	Fetal_Brain	Adult_Heart	Adult_SpinalCord	Fetal_Heart	Adult_Kidney	Fetal_Liver	Adult_Retina	Adult_Liver	Immune_CD8	Adult_Rectum	Adult_Lung	Immune_Monocyte	Adult_Prostate	Adult_Ovary	Immune_NK	Adult_Pancreas	Immune_Platelet
RNA POLYMERASE I PROMOTER OPENING%REACTOME%REACT_2232.2	2.8228471	2.1699708	0	0	2.8870988	1.6996299	0	3.0896065	0	2.6834245	0	0	2.6124518	0	0	2.3461213	0	2.8919134	1.8616219	0	2.9596956	0	0	0	0	1.9841907	2.5926294	0	0
MEIOTIC RECOMBINATION%REACTOME%REACT_27271.1	2.585867	2.0700877	0	0	2.7006454	1.6286217	0	2.7727163	0	2.4445627	0	0	2.3235438	0	0	2.1263976	0	2.7444408	1.6734464	0	2.532671	0	0	0	0	1.8221865	2.6214495	0.8707438	0
PACKAGING OF TELOMERE ENDS%REACTOME%REACT_7963.3	2.5805686	2.1773407	0	0	2.7426066	1.6241955	0	2.9102006	0	2.531749	0	0	2.4446414	0	0	2.2153232	0	2.7340658	1.8918544	0	2.657954	0	0	0	0	1.8823367	2.6478531	0	0
RNA POLYMERASE I CHAIN ELONGATION%REACTOME%REACT_2204.1	2.5507166	2.1858437	0	0	2.8045447	1.7091724	0	2.527438	0	2.4134145	0	0	2.3326159	0	0	2.1404421	0	2.6038644	1.6668808	0	2.505731	0	0	0	0	1.8546445	2.4327893	0.889665	0
AMYLOIDS%REACTOME%REACT_75925.1	2.526477	1.5631169	0	0	2.385262	1.1205784	0	2.922221	0	2.181286	0	0	2.0496147	0	0	1.9756378	0	2.5315683	1.470781	0	2.458673	0	0	0	0	1.7037263	1.8548615	1.0152433	0
RNA POLYMERASE I TRANSCRIPTION%REACTOME%REACT_1309.1	2.5227964	2.1586947	0	0	2.7699652	1.6725456	0	2.3873398	0	2.2952278	0	0	2.2592983	0	0	2.0815237	0	2.4845033	1.6445564	0	2.3505993	0	0	0	0	1.855962	2.3292916	0.84065413	0
DIGESTION%GO%GO:0007586	2.5209656	0	1.9441488	1.4065999	0	0	1.3404878	0	2.2919695	0	0	2.95394	0	0	1.6160039	0	2.2490036	1.4097819	0	2.1650105	0	2.4458365	1.614999	0	1.2026324	0.43902242	0	1.7582661	0.71196467
RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME%REACT_1974.2	2.482098	2.179921	0	0	2.7697678	1.7056865	0	2.3925138	0	2.3253202	0	0	2.2506151	0	0	2.074697	0	2.5347004	1.6899168	0	2.3662698	0	0	0	0	1.875241	2.3842573	0.8162725	0
GENERIC TRANSCRIPTION PATHWAY%REACTOME%REACT_12627.3	2.4119372	2.3400056	0	1.8148692	0	1.6783931	0	0	0	0	1.5875083	0	0	0	0	0.8141128	1.8088206	1.3615992	1.3452027	0	1.9358034	0	0	2.6767352	1.7507948	1.6026567	2.8456142	0	0
RNA POLYMERASE I, RNA POLYMERASE III, AND MITOCHONDRIAL TRANSCRIPTION%REACTOME%REACT_21352.3	2.3597682	2.1616046	0	0	2.361068	1.6836308	0	1.7162282	0	2.111904	0	0	1.8883783	0	0	1.9606774	0	2.0191264	1.7274892	0	2.090657	0	0	0	0	1.6954768	2.0800793	1.0909195	0
