	Fetal_Gut	Immune_Bcell	Adult_UrinaryBladder	Adult_AdrenalGland	Immune_CD4	Fetal_Ovary	Adult_Colon	Fetal_Placenta	Adult_Esophagus	Fetal_Testis	Adult_FrontalCortex	Adult_GallBladder	Fetal_Brain	Adult_Heart	Adult_SpinalCord	Fetal_Heart	Adult_Kidney	Fetal_Liver	Adult_Retina	Adult_Liver	Immune_CD8	Adult_Rectum	Adult_Lung	Immune_Monocyte	Adult_Prostate	Adult_Ovary	Immune_NK	Adult_Pancreas	Immune_Platelet
RNA POLYMERASE I PROMOTER OPENING%REACTOME%REACT_2232.2	2.8228471	2.1699708	0	0	2.8870988	1.6996299	0	3.0896065	0	2.6834245	0	0	2.6124518	0	0	2.3461213	0	2.8919134	1.8616219	0	2.9596956	0	0	0	0	1.9841907	2.5926294	0	0
MEIOTIC RECOMBINATION%REACTOME%REACT_27271.1	2.585867	2.0700877	0	0	2.7006454	1.6286217	0	2.7727163	0	2.4445627	0	0	2.3235438	0	0	2.1263976	0	2.7444408	0	0	2.532671	0	0	0	0	1.8221865	2.6214495	0	0
PACKAGING OF TELOMERE ENDS%REACTOME%REACT_7963.3	2.5805686	2.1773407	0	0	2.7426066	1.6241955	0	2.9102006	0	2.531749	0	0	2.4446414	0	0	2.2153232	0	2.7340658	1.8918544	0	2.657954	0	0	0	0	1.8823367	2.6478531	0	0
RNA POLYMERASE I CHAIN ELONGATION%REACTOME%REACT_2204.1	2.5507166	2.1858437	0	0	2.8045447	1.7091724	0	2.527438	0	2.4134145	0	0	2.3326159	0	0	2.1404421	0	2.6038644	0	0	2.505731	0	0	0	0	1.8546445	2.4327893	0	0
AMYLOIDS%REACTOME%REACT_75925.1	2.526477	0	0	0	2.385262	0	0	2.922221	0	2.181286	0	0	2.0496147	0	0	1.9756378	0	2.5315683	0	0	2.458673	0	0	0	0	0	1.8548615	0	0
RNA POLYMERASE I TRANSCRIPTION%REACTOME%REACT_1309.1	2.5227964	2.1586947	0	0	2.7699652	1.6725456	0	2.3873398	0	2.2952278	0	0	2.2592983	0	0	2.0815237	0	2.4845033	0	0	2.3505993	0	0	0	0	1.855962	2.3292916	0	0
DIGESTION%GO%GO:0007586	2.5209656	0	0	0	0	0	0	0	2.2919695	0	0	2.95394	0	0	0	0	2.2490036	0	0	2.1650105	0	2.4458365	0	0	0	0	0	0	0
RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME%REACT_1974.2	2.482098	2.179921	0	0	2.7697678	1.7056865	0	2.3925138	0	2.3253202	0	0	2.2506151	0	0	2.074697	0	2.5347004	0	0	2.3662698	0	0	0	0	1.875241	2.3842573	0	0
GENERIC TRANSCRIPTION PATHWAY%REACTOME%REACT_12627.3	2.4119372	2.3400056	0	1.8148692	0	1.6783931	0	0	0	0	0	0	0	0	0	0	1.8088206	0	0	0	1.9358034	0	0	2.6767352	0	0	2.8456142	0	0
RNA POLYMERASE I, RNA POLYMERASE III, AND MITOCHONDRIAL TRANSCRIPTION%REACTOME%REACT_21352.3	2.3597682	2.1616046	0	0	2.361068	1.6836308	0	0	0	2.111904	0	0	1.8883783	0	0	1.9606774	0	2.0191264	0	0	2.090657	0	0	0	0	0	2.0800793	0	0
O-LINKED GLYCOSYLATION OF MUCINS%REACTOME%REACT_115606.1	2.3578932	0	0	0	0	0	2.4595864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8640366	0	0	0	0
TELOMERE MAINTENANCE%REACTOME%REACT_7970.4	2.3529944	2.1553347	0	0	2.460087	1.7178553	0	2.0387113	0	2.3605707	0	0	2.1470144	0	0	2.06232	0	2.4723382	0	0	2.1084616	0	0	0	0	0	2.2760592	0	0
CHROMATIN ASSEMBLY%GO%GO:0031497	2.3492024	2.0900493	0	0	2.2972782	1.6586598	0	2.192829	0	2.3550909	0	0	2.2790358	0	0	2.0716183	0	2.2701414	0	0	2.2876499	0	0	0	0	0	2.3999481	0	0
PEPTIDE HORMONE PROCESSING%GO%GO:0016486	2.308936	0	0	0	0	0	0	1.9281118	0	0	0	1.9768946	0	0	0	0	0	0	0	0	0	0	2.3228264	0	0	0	0	0	0
DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME%REACT_22186.2	2.3064277	2.145874	0	0	2.590068	0	0	2.5344229	0	2.5111625	0	0	2.4003057	0	0	2.0892563	0	2.521696	0	0	2.5487578	0	0	0	0	0	2.5960858	0	0
MEIOSIS%REACTOME%REACT_111183.1	2.302594	2.0755622	0	0	2.4886045	1.6346502	0	2.2203908	0	2.0820355	0	0	2.0562897	0	0	1.9400094	0	2.231498	0	0	2.2602718	0	0	0	0	1.832571	2.6542573	0	0
NUCLEOSOME ASSEMBLY%GO%GO:0006334	2.2985375	2.0894716	0	0	2.3542168	1.6517192	0	2.3128912	0	2.5220902	0	0	2.3186197	0	0	2.043815	0	2.4194818	0	0	2.4551413	0	0	0	0	0	2.474064	0	0
NUCLEOSOME ASSEMBLY%REACTOME%REACT_22344.1	2.2950597	2.180842	0	0	2.5811565	0	0	2.5396554	0	2.5296664	0	0	2.3974469	0	0	2.1130247	0	2.4943047	0	0	2.5708346	0	0	0	0	1.8059356	2.5819929	0	0
MATURITY ONSET DIABETES OF THE YOUNG%KEGG%HSA04950	2.2940977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0241942	0	2.2918203	0	0	0	0	0	0	0	1.7908568	0
DNA PACKAGING%GO%GO:0006323	2.2850475	1.956092	0	0	2.1658247	1.6814908	0	0	0	2.126929	0	0	2.1880383	0	0	1.9680012	0	2.435737	0	0	2.0563622	0	0	0	0	0	2.373922	0	0
PROTEIN-DNA COMPLEX ASSEMBLY%GO%GO:0065004	2.2578263	2.086153	0	0	2.2748535	1.6847607	0	1.9175894	0	2.3540113	0	0	2.1575646	0	0	2.1173146	0	2.1731062	0	0	2.1444333	0	0	0	0	0	2.449281	0	0
MEIOTIC SYNAPSIS%REACTOME%REACT_75792.1	2.2548025	2.1571326	0	0	2.5617054	1.6346139	0	2.2406294	0	2.121122	0	0	2.2514966	0	0	1.9368036	0	2.1588233	0	0	2.3699293	0	0	0	0	1.9403709	2.621821	0	0
MUCIN TYPE O-GLYCAN BIOSYNTHESIS%KEGG%HSA00512	2.2230954	0	0	0	0	0	2.027047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9421952	0	0	0	0	0
PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION%GO%GO:0071824	2.190729	2.20081	0	0	2.2891712	1.733005	0	0	0	2.2191713	0	0	2.108396	0	0	2.068581	0	1.9159824	0	0	2.1620626	0	0	0	0	0	2.5443072	0	0
NUCLEOSOME ORGANIZATION%GO%GO:0034728	2.1694813	2.182826	0	0	2.378487	1.7185686	0	1.9076841	0	2.3131766	0	0	2.2696185	0	0	2.029871	0	1.9662646	0	0	2.1976845	0	0	0	0	0	2.5318494	0	0
NITRIC OXIDE STIMULATES GUANYLATE CYCLASE%REACTOME%REACT_23862.1	2.143569	0	2.0207536	0	0	0	2.1151538	0	0	0	0	1.8806051	0	0	0	0	0	0	0	0	0	0	0	0	2.05877	0	0	0	1.9545211
XENOBIOTICS%REACTOME%REACT_13543.2	2.1399465	0	0	0	0	0	0	0	0	0	0	2.2240684	0	0	0	0	0	1.7564375	0	2.9883423	0	0	0	0	0	0	0	0	0
GLYCOSPHINGOLIPID METABOLISM%REACTOME%REACT_116105.3	2.1223814	0	0	1.8429513	0	0	0	0	0	0	0	0	0	0	0	0	1.8471388	0	0	0	0	0	0	0	0	0	0	0	0
CHROMATIN ASSEMBLY OR DISASSEMBLY%GO%GO:0006333	2.1200364	2.1926234	0	0	2.3325706	1.7364172	0	0	0	2.2073405	0	0	2.2031608	0	0	2.0273	0	1.9046605	0	0	2.1351824	0	0	0	0	0	2.4898527	0	0
DRUG METABOLISM - CYTOCHROME P450%KEGG%HSA00982	2.0939562	0	0	0	0	0	0	0	2.1123478	0	0	0	0	0	0	0	3.1247363	2.4691885	0	3.7606237	0	2.46332	0	0	0	0	0	0	0
SYSTEMIC LUPUS ERYTHEMATOSUS%KEGG%HSA05322	2.081053	1.719222	0	0	2.1200538	0	0	2.3812141	0	1.9635875	0	0	0	0	0	0	0	2.1180415	0	0	2.0729907	0	0	0	0	0	1.933523	0	0
GLYCOSPHINGOLIPID METABOLIC PROCESS%GO%GO:0006687	2.0712013	0	0	1.7870138	0	0	0	0	0	0	0	0	0	0	0	0	1.9371865	0	0	0	0	0	0	0	0	0	0	0	0
DNA CONFORMATION CHANGE%GO%GO:0071103	2.0696783	2.0443354	0	0	2.232894	1.6316272	0	0	0	1.8598204	0	0	1.9586691	0	0	1.7953618	0	2.0326908	0	0	1.9981029	0	0	0	0	0	2.2739067	0	0
3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE METABOLIC PROCESS%GO%GO:0050427	2.0564375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.753036	0	2.240364	0	1.924661	0	0	0	0	0	0	0
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%REACT_6152.2	2.0492623	1.9242234	0	0	0	1.6789451	0	2.449307	0	2.2946131	0	0	0	0	0	1.9158509	0	2.5482054	0	0	1.7784948	0	0	0	0	0	0	2.133037	0
CHROMOSOME MAINTENANCE%REACTOME%REACT_22172.2	2.0217204	2.150868	0	0	2.3170302	1.6672946	0	0	0	2.0336826	0	0	1.9619266	0	0	1.9345738	0	1.9773695	0	0	2.0170076	0	0	0	0	0	2.3776357	0	0
TRANSCRIPTION%REACTOME%REACT_1788.4	2.0169444	2.1248481	0	0	2.3817716	1.7453471	0	0	0	2.0494509	0	0	0	0	0	1.8441608	0	1.7945113	0	0	2.0056217	0	0	0	0	0	2.3775148	0	0
VIRAL MRNA TRANSLATION%REACTOME%REACT_9491.1	2.013251	1.8952343	0	0	0	1.6501461	0	2.7839012	0	2.379236	0	0	0	0	0	1.9917363	0	2.7887146	0	0	1.7705282	0	0	0	0	0	0	2.3419423	0
RIBOSOME%KEGG%HSA03010	2.0084832	1.9572606	0	0	0	1.6537846	0	2.7588487	0	2.3888538	0	0	0	0	0	2.012905	0	2.7458606	0	0	1.8157576	0	0	0	0	0	0	2.3576992	0
NEGATIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION%GO%GO:0045653	2.0035377	1.7634382	0	0	2.3560503	0	0	2.5718904	0	2.3714705	0	0	2.2431989	0	0	2.1233459	0	2.257931	0	0	2.3490267	0	0	0	0	1.9331044	1.9637535	0	0
PEPTIDE CHAIN ELONGATION%REACTOME%REACT_1404.2	2.0020087	1.9467404	0	0	0	1.6599821	0	2.7497282	0	2.458987	0	0	0	0	0	2.0283625	0	2.8183496	0	0	1.8233624	0	0	0	0	0	0	2.3262727	0
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%REACT_1797.1	2.000642	1.8851225	0	0	0	1.6982112	0	2.7152784	0	2.36409	0	0	0	0	0	2.0421255	0	2.5854306	0	0	1.8195875	0	0	0	0	0	0	2.344837	0
