Name	Description	pvalue	qvalue	phenotype	genes
GO:0006414	translational elongation	5e-04	5e-04	1	MRPL43,MRPS24,GTPBP1,MRPL32,MRPL2,MRPS27,EEF1B2,MRPL37,MRPS15,DTD1,PTCD3,MRPS9,MRPS5,EEF1A1,MRPL55,MRPL16,GFM1,MRPS22,MRPS11,MRPL20,MRPS6
GO:0032543	mitochondrial translation	7.23e-08	7.23e-08	1	MRPL43,MRPS24,MTIF2,MRPL32,C1QBP,MRPL2,MRPS27,MRPL37,MRPS15,PTCD3,MRPS9,MRPS5,MRPL55,GFM2,MRPL16,GFM1,MRPS22,MRPS11,CCDC56,MRPL20,MRPS6
GO:0070125	mitochondrial translational elongation	4.75e-07	4.75e-07	1	MRPL43,MRPS24,MRPL32,MRPL2,MRPS27,MRPL37,MRPS15,PTCD3,MRPS9,MRPS5,MRPL55,MRPL16,GFM1,MRPS22,MRPS11,MRPL20,MRPS6
GO:0006415	translational termination	0.0164	0.0164	1	MRPL43,MRPS24,MRPL32,MRPL2,MRPS27,MRPL37,MRPS15,PTCD3,MRPS9,MRPS5,MRPL55,GFM2,MRPL16,MRPS22,MRPS11,MRPL20,MRPS6
GO:0070126	mitochondrial translational termination	6.97e-07	6.97e-07	1	MRPL43,MRPS24,MRPL32,MRPL2,MRPS27,MRPL37,MRPS15,PTCD3,MRPS9,MRPS5,MRPL55,GFM2,MRPL16,MRPS22,MRPS11,MRPL20,MRPS6
GO:0070124	mitochondrial translational initiation	4.75e-07	4.75e-07	1	MRPL43,MRPS24,MTIF2,MRPL32,MRPL2,MRPS27,MRPL37,MRPS15,PTCD3,MRPS9,MRPS5,MRPL55,MRPL16,MRPS22,MRPS11,MRPL20,MRPS6
GO:0018196	peptidyl-asparagine modification	0.0083	0.0083	1	DPM1,ALG1,CTSA,NAPA,SEC23IP,MLEC,MAN2A1,CANX,CTAGE5,SYVN1,RFT1,NANP,GLB1,DPAGT1,MAN1B1,DPM3,TRAPPC6B,TRAPPC2
GO:0070085	glycosylation	0.000421	0.000421	1	DPM1,B4GALT7,ALG1,CTSA,PARP4,NAPA,SEC23IP,MLEC,MAN2A1,CANX,POMT1,COG6,COG3,NPC1,CTAGE5,DPY19L4,SYVN1,POGLUT1,RFT1,NANP,GLB1,B3GNT2,DPAGT1,FUT1,MAN1B1,DPM3,TRAPPC6B,GCNT1,TRAPPC2
GO:0043413	macromolecule glycosylation	0.000851	0.000851	1	DPM1,B4GALT7,ALG1,CTSA,PARP4,NAPA,SEC23IP,MLEC,MAN2A1,CANX,POMT1,COG3,NPC1,CTAGE5,DPY19L4,SYVN1,POGLUT1,RFT1,NANP,GLB1,B3GNT2,DPAGT1,FUT1,MAN1B1,DPM3,TRAPPC6B,GCNT1,TRAPPC2
GO:0009100	glycoprotein metabolic process	0.000278	0.000278	1	DPM1,IGF1,B4GALT7,ALG1,HEXB,SOAT1,CTSA,HIF1A,PARP4,NAPA,SEC23IP,MLEC,MAN2A1,CANX,POMT1,COG3,NPC1,CTAGE5,DPY19L4,SYVN1,POGLUT1,RFT1,NANP,GLB1,B3GNT2,DPAGT1,FUT1,MAN1B1,DPM3,SGSH,TRAPPC6B,GCNT1,TRAPPC2,BMPR2,HEXA
GO:0009101	glycoprotein biosynthetic process	0.00148	0.00148	1	DPM1,IGF1,B4GALT7,ALG1,SOAT1,CTSA,PARP4,NAPA,SEC23IP,MLEC,MAN2A1,CANX,POMT1,COG3,NPC1,CTAGE5,DPY19L4,SYVN1,POGLUT1,RFT1,NANP,GLB1,B3GNT2,DPAGT1,FUT1,MAN1B1,DPM3,TRAPPC6B,GCNT1,TRAPPC2,BMPR2
GO:0006486	protein glycosylation	0.000851	0.000851	1	DPM1,B4GALT7,ALG1,CTSA,PARP4,NAPA,SEC23IP,MLEC,MAN2A1,CANX,POMT1,COG3,NPC1,CTAGE5,DPY19L4,SYVN1,POGLUT1,RFT1,NANP,GLB1,B3GNT2,DPAGT1,FUT1,MAN1B1,DPM3,TRAPPC6B,GCNT1,TRAPPC2
GO:0006487	protein N-linked glycosylation	0.00448	0.00448	1	DPM1,B4GALT7,ALG1,CTSA,NAPA,SEC23IP,MLEC,MAN2A1,CANX,CTAGE5,SYVN1,RFT1,NANP,GLB1,DPAGT1,MAN1B1,DPM3,TRAPPC6B,TRAPPC2
