Name	Description	pvalue	qvalue	phenotype	genes
GO:0007205	protein kinase C-activating G-protein coupled receptor signaling pathway	1	1	1	PPAP2A,GAP43
GO:0038007	netrin-activated signaling pathway	0.969	0.969	1	PTK2,KIAA1598
GO:0071498	cellular response to fluid shear stress	1	1	1	ASS1,MAPK7,MTSS1,HAS2,HDAC3
GO:0071499	cellular response to laminar fluid shear stress	1	1	1	ASS1,MAPK7
GO:0038026	reelin-mediated signaling pathway	0.0918	0.0918	1	VLDLR,LRP8,RELN
GO:0018199	peptidyl-glutamine modification	0.0142	0.0142	1	QPCTL,QPCT
GO:0007220	Notch receptor processing	0.0346	0.0346	1	NOTCH3,PSEN1,APH1A,NOTCH2,NCSTN
GO:0006968	cellular defense response	1	1	1	LGALS3BP,TCIRG1,LBP
GO:0071887	leukocyte apoptotic process	1	1	1	CDKN2A,IRS2
GO:0070227	lymphocyte apoptotic process	1	1	1	IL2,PIP,IRS2
GO:0001783	B cell apoptotic process	0.817	0.817	1	IL2,IRS2
GO:0046530	photoreceptor cell differentiation	0.795	0.795	1	PPP2R3A,MYO7A,TH
GO:0042461	photoreceptor cell development	0.772	0.772	1	MYO7A,TH,CEP290
GO:0000041	transition metal ion transport	0.00426	0.00426	1	HFE,ATP2C1,ATP6V0A1,ATP6V1H,ATP2C2,ATP6AP1,TFRC,MCOLN1,ATP6V1D,SLC39A14,ATP6V0A4,TFR2,TCIRG1,SLC39A7,ATP6V1B1,STEAP4,ATP6V1F,ATP6V1E1,CLTC,SLC39A1,ATP6V1B2,ATP6V1C1,ATP6V0D1,LMTK2,SLC30A1,CCS,RAB11B,ATP6V0A2,ATP6V0C,ATP6V1E2
GO:0006826	iron ion transport	5.8e-06	5.8e-06	1	HFE,ATP6V0A1,ATP6V1H,ATP6AP1,TFRC,PICALM,HEPH,MCOLN1,TF,ATP6V1D,ATP6V0A4,TFR2,TCIRG1,ATP6V1A,ATP6V1B1,ATP6V1F,ATP6V1E1,IREB2,ATP6V1G1,CLTC,ATP6V1C2,ATP6V1B2,ATP6V1C1,ATP6V0D1,MFI2,LMTK2,B2M,RAB11B,ATP6V0A2,ATP6V0C,ATP6V1E2
GO:0097286	iron ion import	0.0102	0.0102	1	HFE,TFRC,PICALM,TF,TFR2,MFI2,B2M
GO:0071941	nitrogen cycle metabolic process	0.257	0.257	1	NR1H4,ISCU
GO:0060249	anatomical structure homeostasis	1	1	1	LTF,MRE11A,STRAP,RFC1,PNKP,ATP6AP1,MAP2K7,ATRX,MAP3K4,MAPKAPK5,LYZ,TF,APEX1,CST4,POLA1,MAPK3,CTSH,NBN,HSPB1,CDH23,PBLD,GAR1,PTGES3,RFC5,RAD50,PRDX1,RPA2,BBS2,TEP1,DKC1,IGJ,NAT10,HNRNPA1,RBP4,BARD1,RDH12,BBS4,SOD1,NHP2,PRIM2,TERF1,TNKS1BP1,ALDOA,NEK7,PFKM,PIP,LCN1,AZGP1,ZG16B,HAAO,SMC6,ALB,GPR98,CARTPT,SYK,WRN,TPP1,B2M,TERF2IP,KRT1,FGGY,CD34,BBS1,DHX36,ERCC4,NOP10,CAV3,NELL2,PARK2,POTEE,POTEF,POTEI,SRC,ZNF675,SMC5,SMG5,POTEJ,PRKDC,RTEL1
GO:0070050	neuron cellular homeostasis	0.171	0.171	1	HAAO,FGGY,NELL2,PARK2
GO:0046716	muscle cell cellular homeostasis	1	1	1	SOD1,ALDOA,PFKM,CAV3
GO:0050886	endocrine process	0.687	0.687	1	ECE1,CYP11B2
GO:1990267	response to transition metal nanoparticle	0.182	0.182	1	HFE,TF,TFR2,PARK7,ACO1,MT1G,MT2A,SLC30A7,HAAO,FXN,ADAM9,MT1E,SLC30A1,D2HGDH,PARK2,MT1X,MT1H,MT1A,MT1M,ZNF658
GO:0061641	CENP-A containing chromatin organization	1	1	1	CENPQ,RSF1,OIP5,SMARCA5,NPM1
GO:0051342	regulation of cyclic-nucleotide phosphodiesterase activity	1	1	1	GNAT1,MAPK7,GNB2L1
GO:0014812	muscle cell migration	0.0966	0.0966	1	IGF1,ROCK1,NRP1,NDRG4,VTN,THBS4,PDGFRB,IGFBP5,AAMP,NOV,SORL1,TPM1,SLIT2,DOCK5,ACE,ADIPOQ
GO:0014909	smooth muscle cell migration	0.111	0.111	1	IGF1,NRP1,NDRG4,VTN,IGFBP5,NOV,TPM1,SLIT2,DOCK5,ACE,ADIPOQ
GO:0051451	myoblast migration	1	1	1	ROCK1,THBS4
GO:0006818	hydrogen transport	3.32e-08	3.32e-08	1	UQCRC1,COX15,ATP6V0A1,ATP6V1H,ATP6AP1,ATP12A,SLC46A1,TESC,SLC23A2,SLC25A14,ATP4A,ATP6V0A4,PPIF,UCP1,TCIRG1,ATP5B,COX7A2L,ATP6V1B1,ATP5F1,SLC17A5,ATP6V1F,ACTN4,ATP6V1E1,ATP5G2,SLC2A8,ATP6V1B2,SLC2A13,ATP5A1,ATP5G3,ATP6V1C1,ATP5G1,ATP6V0D1,COX7A1,STOML2,ATP5C1,CYB5A,SLC33A1,ATP6V0A2,ATP6V0C,CHP,COX2,CYTB,COX1,ATP6,ATP8,ATP5O
GO:1900115	extracellular regulation of signal transduction	1	1	1	LTBP1,CD46,FBN2,LRPAP1,FBN1
GO:1900116	extracellular negative regulation of signal transduction	1	1	1	LTBP1,CD46,FBN2,LRPAP1,FBN1
GO:0035581	sequestering of extracellular ligand from receptor	0.513	0.513	1	LTBP1,CD46,FBN2,FBN1
GO:0048511	rhythmic process	0.367	0.367	1	C1ORF51,CARTPT,ANG
GO:0007623	circadian rhythm	1	1	1	C1ORF51,CARTPT
GO:0009649	entrainment of circadian clock	1	1	1	ARNTL2,GNA11,GNAQ
GO:0042753	positive regulation of circadian rhythm	1	1	1	ARNTL2,THRAP3
GO:0032922	circadian regulation of gene expression	0.191	0.191	1	C1ORF51,CARTPT
GO:0040007	growth	0.247	0.247	1	SEMA3F,PLXND1,ST7L,SEMA3B,IGF1,RUFY3,SEC61A1,OGFR,SYT1,ACSL4,TGFBR3,DERL2,PPP2R3A,CTTN,LTBP4,NRCAM,ABL1,NRP1,CPNE6,CSNK2A1,NDRG4,NUBP1,PGCP,TGFB1,BRAT1,TMEM97,IL2,WFS1,OSBP,RASAL1,CHPT1,WWC1,HRG,RTN4,LAMTOR2,RRAGC,KIF14,CPNE5,BBS2,MT1G,STAT5A,MACF1,INO80,APOE,BST2,UNC13A,PPT1,RFTN1,ARHGEF11,NOTCH2,RERG,AGT,PLXNC1,NOV,PNPT1,KIAA1109,RPTOR,SOD1,APP,AKT1,SYT2,CPNE9,GOLGA4,VPRBP,SLIT2,CDKN2A,TAOK2,LATS2,WWC2,GJA1,IMPACT,SORBS2,FLCN,N6AMT1,SUPV3L1,MMP14,KIAA1967,DDR2,PDLIM5,APBB2,FXN,FBP1,PPIB,PHB,MT1E,INSR,NME6,STAT5B,BASP1,TYMS,ERBB4,C3ORF58,SLIT3,NDUFA13,KIAA1598,MT1X,DCC,DCUN1D3,APOD,NACA,DMBX1,ENPP1,PSAP,SLC9A6,SMURF1,MTOR,L1CAM,BMPR2,MT1H,MT1A,MT1M,FGFR1OP,SIPA1,NDUFS3,DDX3X,ACTN3,TAF9,PRSS2
GO:0040008	regulation of growth	0.0822	0.0822	1	SEMA3F,PLXND1,ST7L,SEMA3B,IGF1,RUFY3,OGFR,SYT1,ACSL4,DERL2,PPP2R3A,CTTN,LTBP4,NRCAM,ABL1,NRP1,CPNE6,CSNK2A1,TGFB1,TMEM97,IL2,WFS1,OSBP,RASAL1,CHPT1,WWC1,HRG,RTN4,KIF14,CPNE5,BBS2,MT1G,STAT5A,MACF1,INO80,APOE,BST2,UNC13A,PPT1,ARHGEF11,RERG,AGT,PLXNC1,NOV,PNPT1,KIAA1109,SOD1,APP,AKT1,SYT2,CPNE9,GOLGA4,VPRBP,SLIT2,CDKN2A,TAOK2,LATS2,WWC2,GJA1,FLCN,N6AMT1,SUPV3L1,MMP14,KIAA1967,APBB2,FXN,FBP1,PPIB,PHB,MT1E,INSR,NME6,STAT5B,BASP1,ERBB4,SLIT3,NDUFA13,KIAA1598,MT1X,DCC,DCUN1D3,NACA,ENPP1,SMURF1,L1CAM,BMPR2,MT1H,MT1A,MT1M,FGFR1OP,SIPA1,NDUFS3,DDX3X,ACTN3,TAF9,PRSS2
GO:0016049	cell growth	0.429	0.429	1	SEMA3F,PLXND1,ST7L,SEMA3B,RUFY3,SEC61A1,OGFR,SYT1,ACSL4,TGFBR3,DERL2,CTTN,LTBP4,NRCAM,ABL1,NRP1,CPNE6,CSNK2A1,NDRG4,NUBP1,TGFB1,BRAT1,TMEM97,IL2,RASAL1,CHPT1,HRG,RTN4,LAMTOR2,RRAGC,KIF14,CPNE5,MACF1,INO80,APOE,BST2,UNC13A,PPT1,ARHGEF11,NOTCH2,RERG,AGT,PLXNC1,NOV,KIAA1109,RPTOR,APP,AKT1,SYT2,CPNE9,GOLGA4,SLIT2,CDKN2A,TAOK2,GJA1,IMPACT,SORBS2,FLCN,N6AMT1,SUPV3L1,MMP14,KIAA1967,PDLIM5,APBB2,FXN,FBP1,PHB,NME6,TYMS,SLIT3,NDUFA13,KIAA1598,DCC,DCUN1D3,ENPP1,SLC9A6,SMURF1,MTOR,L1CAM,BMPR2,FGFR1OP,SIPA1,NDUFS3,DDX3X,TAF9,PRSS2
GO:0001558	regulation of cell growth	0.442	0.442	1	SEMA3F,PLXND1,ST7L,SEMA3B,RUFY3,OGFR,SYT1,ACSL4,DERL2,ITCH,CTTN,LTBP4,NRCAM,ABL1,NRP1,CPNE6,CSNK2A1,TGFB1,TMEM97,IL2,RASAL1,CHPT1,HRG,RTN4,KIF14,CPNE5,MACF1,INO80,APOE,BST2,UNC13A,PPT1,ARHGEF11,RERG,AGT,PLXNC1,NOV,KIAA1109,AKT1,SYT2,CPNE9,GOLGA4,SLIT2,CDKN2A,TAOK2,GJA1,FLCN,N6AMT1,SUPV3L1,MMP14,KIAA1967,APBB2,FXN,FBP1,PHB,NME6,SLIT3,NDUFA13,KIAA1598,DCC,DCUN1D3,ENPP1,SMURF1,L1CAM,BMPR2,FGFR1OP,SIPA1,NDUFS3,DDX3X,TAF9,PRSS2
GO:0048589	developmental growth	0.616	0.616	1	SEMA3F,PLXND1,SEMA3B,IGF1,RUFY3,SYT1,TGFBR3,PPP2R3A,CTTN,NRCAM,ABL1,NRP1,CPNE6,NDRG4,PGCP,RASAL1,WWC1,RTN4,CPNE5,BBS2,STAT5A,MACF1,APOE,UNC13A,PLXNC1,NOV,SOD1,APP,SYT2,CPNE9,GOLGA4,SLIT2,LATS2,WWC2,IMPACT,SORBS2,DDR2,PDLIM5,PPIB,INSR,STAT5B,BASP1,ERBB4,C3ORF58,SLIT3,KIAA1598,DCC,APOD,NACA,DMBX1,PSAP,SLC9A6,SMURF1,L1CAM,ACTN3
GO:0035264	multicellular organism growth	0.366	0.366	1	IGF1,BBS2,STAT5A,SOD1,APP,PPIB,STAT5B
GO:0045926	negative regulation of growth	0.308	0.308	1	SEMA3F,SEMA3B,PPT1,NOV,PNPT1,CDKN2A,APBB2,PHB,BMPR2
GO:0030308	negative regulation of cell growth	0.225	0.225	1	SEMA3F,SEMA3B,PPT1,NOV,CDKN2A,APBB2,PHB,BMPR2
GO:0045927	positive regulation of growth	0.428	0.428	1	IGF1,RUFY3,SYT1,ACSL4,DERL2,NRP1,CPNE6,CSNK2A1,IL2,WFS1,OSBP,RASAL1,CPNE5,MACF1,INO80,UNC13A,AKT1,SYT2,CPNE9,GOLGA4,N6AMT1,SUPV3L1,MMP14,FXN,PPIB,INSR,BASP1,ERBB4,KIAA1598,NACA,SMURF1,L1CAM,FGFR1OP,DDX3X,ACTN3,TAF9,PRSS2
GO:0030307	positive regulation of cell growth	0.457	0.457	1	RUFY3,SYT1,ACSL4,DERL2,NRP1,CPNE6,CSNK2A1,IL2,RASAL1,CPNE5,MACF1,INO80,UNC13A,AKT1,SYT2,CPNE9,GOLGA4,N6AMT1,SUPV3L1,MMP14,FXN,KIAA1598,SMURF1,L1CAM,FGFR1OP,DDX3X,TAF9,PRSS2
GO:0001906	cell killing	1	1	1	NOS2,RAB27A,PVR,APOL1,CTSH,FCER2,C9,VAMP7,CD226,ALB,AP1G1,CADM1,LAMP1,HLA-A
GO:0031341	regulation of cell killing	0.962	0.962	1	FCER2,LAMP1
GO:0031342	negative regulation of cell killing	1	1	1	ARRB2,SERPINB9,SERPINB4,HLA-A
GO:0070841	inclusion body assembly	0.00337	0.00337	1	HDAC6,DNAJB6,CLU,HSPA2,APOE,DNAJB1,DNAJB2,SORL1,DNAJA4,DNAJB8,PARK2,HSPA1B,HSPA1A
GO:1902988	neurofibrillary tangle assembly	0.0864	0.0864	1	CLU,APOE
GO:0070842	aggresome assembly	1	1	1	HDAC6,PARK2
GO:0015669	gas transport	0.355	0.355	1	RHAG,NGB,HBA2,HBA1,HBB
GO:0015671	oxygen transport	0.232	0.232	1	NGB,HBA2,HBA1,HBB
GO:0018198	peptidyl-cysteine modification	1	1	1	GOLGA7,PRDX3
GO:0010799	regulation of peptidyl-threonine phosphorylation	1	1	1	UBE2K,TGFB1,SPRED2
GO:0010800	positive regulation of peptidyl-threonine phosphorylation	1	1	1	UBE2K,TGFB1
