Name	Description	pvalue	qvalue	phenotype	genes
GO:0060326	cell chemotaxis	0.0454	0.0454	1	CHGA,THBS4,EDN3,TRPM4,ARHGEF16,LGALS3,CXCL14,GREM1,LGALS9,CORO1B,SAA1,S100A14,AIF1,CCL15
GO:0006022	aminoglycan metabolic process	0.00293	0.00293	1	GPC4,OGN,UGDH,ST3GAL4,DSE,SDC4,CHST5,SLC26A2,B3GNT7,SDC3,CSPG4,FUCA1,B3GNT3,CHP
GO:0030203	glycosaminoglycan metabolic process	0.00169	0.00169	1	GPC4,OGN,UGDH,ST3GAL4,DSE,SDC4,CHST5,SLC26A2,B3GNT7,SDC3,CSPG4,FUCA1,B3GNT3,CHP
GO:1903510	mucopolysaccharide metabolic process	0.0075	0.0075	1	GPC4,OGN,ST3GAL4,DSE,SDC4,CHST5,B3GNT7,SDC3,CSPG4,B3GNT3,CHP
GO:0006027	glycosaminoglycan catabolic process	0.035	0.035	1	GPC4,OGN,SDC4,SDC3,CSPG4,FUCA1,CHP
GO:0006023	aminoglycan biosynthetic process	0.00817	0.00817	1	GPC4,OGN,UGDH,ST3GAL4,DSE,SDC4,CHST5,B3GNT7,SDC3,CSPG4,B3GNT3
GO:0006024	glycosaminoglycan biosynthetic process	0.0075	0.0075	1	GPC4,OGN,UGDH,ST3GAL4,DSE,SDC4,CHST5,B3GNT7,SDC3,CSPG4,B3GNT3
GO:0018146	keratan sulfate biosynthetic process	0.0375	0.0375	1	OGN,ST3GAL4,CHST5,B3GNT7,B3GNT3
GO:0030003	cellular cation homeostasis	0.0442	0.0442	1	LTF,ATP2B4,TRPC7,SCGN,NOS1,HEPH,SLC26A3,TF,JPH1,DMPK,PKD2,OPRL1,JPH2,SLC26A2,CLIC2,KCNMA1,ALAS2,C3AR1,SAA1,CHP,DMD,CCL15
GO:0061061	muscle structure development	0.00121	0.00121	1	FHL1,EHD2,MYLK,EVC,NOS1,MYLK2,DMPK,SGCE,MYH11,ITGA7,MYPN,ACTA1,TAGLN,DISP1,ACTC1,LMOD1,T,GREM1,HINFP,SMTN,SVIL,DMD
GO:0007517	muscle organ development	0.014	0.014	1	FHL1,MYLK,EVC,MYLK2,SGCE,ITGA7,ACTA1,TAGLN,DISP1,ACTC1,GREM1,SMTN,SVIL,DMD
GO:0090131	mesenchyme migration	2.75e-05	2.75e-05	1	ACTA2,ACTA1,ACTC1,ACTG2
GO:0033622	integrin activation	0.0379	0.0379	1	FERMT2,CDH17,FN1,MZB1
GO:0031589	cell-substrate adhesion	0.00107	0.00107	1	ITGA3,ACTN1,FERMT2,SORBS1,TRIOBP,AGR2,KANK1,CORO1C,FN1,SGCE,ITGA7,ADAM15,RSU1,ITGB1,ITGA5,ILK,LIMS1,ITGB3
GO:0007160	cell-matrix adhesion	0.0361	0.0361	1	ITGA3,ACTN1,FERMT2,SORBS1,CORO1C,SGCE,ITGA7,ADAM15,ITGB1,ILK,LIMS1,ITGB3
GO:0034446	substrate adhesion-dependent cell spreading	0.011	0.011	1	FERMT2,TRIOBP,KANK1,CORO1C,FN1,ILK,LIMS1,ITGB3
GO:0055082	cellular chemical homeostasis	0.014	0.014	1	LTF,ATP2B4,TRPC7,SCGN,NOS1,HEPH,SLC26A3,TF,JPH1,DMPK,GPLD1,GCG,PKD2,OPRL1,ANO1,JPH2,SLC26A2,CLIC2,KCNMA1,ALAS2,CARTPT,C3AR1,SAA1,CHP,DMD,CCL15
GO:0070085	glycosylation	0.00149	0.00149	1	ST6GALNAC1,NANS,GALNT7,ST3GAL4,GALNT3,TMEM59,MUC5B,GALNT12,GALNTL2,ADAMTSL4,MUC4,B3GNT7,GNE,ST6GALNAC6,FUT3,ADAMTSL1,FUCA1,B3GNT3,CHP,GFPT1,MUC5AC,ALG1L2,GALNT4
GO:0009100	glycoprotein metabolic process	0.000275	0.000275	1	ST6GALNAC1,GPC4,NANS,GALNT7,ST3GAL4,DSE,GALNT3,TMEM59,MUC5B,GALNT12,SDC4,GALNTL2,ADAMTSL4,MUC4,B3GNT7,GNE,ST6GALNAC6,SDC3,FUT3,CANT1,CSPG4,ADAMTSL1,FUCA1,B3GNT3,CHP,GFPT1,MUC5AC,ALG1L2,GALNT4
GO:0043413	macromolecule glycosylation	0.00116	0.00116	1	ST6GALNAC1,NANS,GALNT7,ST3GAL4,GALNT3,TMEM59,MUC5B,GALNT12,GALNTL2,ADAMTSL4,MUC4,B3GNT7,GNE,ST6GALNAC6,FUT3,ADAMTSL1,FUCA1,B3GNT3,CHP,GFPT1,MUC5AC,ALG1L2,GALNT4
GO:0009101	glycoprotein biosynthetic process	0.000989	0.000989	1	ST6GALNAC1,NANS,GALNT7,ST3GAL4,DSE,GALNT3,TMEM59,MUC5B,GALNT12,GALNTL2,ADAMTSL4,MUC4,B3GNT7,GNE,ST6GALNAC6,FUT3,CANT1,CSPG4,ADAMTSL1,FUCA1,B3GNT3,CHP,GFPT1,MUC5AC,ALG1L2,GALNT4
