Name	Description	pvalue	qvalue	phenotype	genes
GO:0006490	oligosaccharide-lipid intermediate biosynthetic process	0.0198	0.0198	1	ST6GALNAC1,NANS,ST3GAL4,SLC17A5,ALG5,GFPT2,PMM2,GNE,ST6GALNAC6,SLC35A1,GMPPB,GFPT1,ALG3
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	0.0198	0.0198	1	ST6GALNAC1,NANS,ST3GAL4,SLC17A5,ALG5,GFPT2,PMM2,GNE,ST6GALNAC6,SLC35A1,GMPPB,GFPT1,ALG3
GO:0007229	integrin-mediated signaling pathway	1.68e-09	1.68e-09	1	BCAR1,FERMT2,TXK,CDH17,CEACAM1,ITGB5,COL16A1,MYH9,TIMP1,ERBB2IP,PLEK,PTK2B,LAMA5,CD63,TEC,CCM2,ADAM10,ITGAV,ADAM15,FERMT3,ITGB1,DOCK1,DST,ZYX,ITGB2,ITGA2,SYK,ILK,COL3A1,ADAM9,PTK2,FLNA,SRC,PHACTR4,ITGB3
GO:2001044	regulation of integrin-mediated signaling pathway	0.269	0.269	1	CD63,FLNA
GO:2001046	positive regulation of integrin-mediated signaling pathway	0.0646	0.0646	1	CD63,FLNA
GO:0035455	response to interferon-alpha	0.48	0.48	1	OAS1,BST2,IFITM3,AXL,MX2,IFITM2
GO:0035457	cellular response to interferon-alpha	0.321	0.321	1	OAS1,AXL
GO:0071679	commissural neuron axon guidance	0.202	0.202	1	NRP1,EPHB2
GO:0045454	cell redox homeostasis	0.949	0.949	1	GCLC,TXNL1,TXN,GPX1
GO:0007274	neuromuscular synaptic transmission	1	1	1	KIF1B,DTNA
GO:0015949	nucleobase-containing small molecule interconversion	0.219	0.219	1	AK2,CTPS2,NME4,TXN,AK5,AKD1,GLRX,TXNRD1
GO:0070493	thrombin receptor signaling pathway	0.76	0.76	1	PLEK,IQGAP2,HPGD
GO:0034497	protein localization to pre-autophagosomal structure	0.567	0.567	1	WIPI1,MFN2,STX17,WDR45L,WDR45
GO:0045342	MHC class II biosynthetic process	1	1	1	PF4,AZU1
GO:0045346	regulation of MHC class II biosynthetic process	1	1	1	PF4,AZU1
GO:0097264	self proteolysis	0.0144	0.0144	1	CAPN3,CAPN7,TMPRSS6
GO:0038027	apolipoprotein A-I-mediated signaling pathway	0.00931	0.00931	1	ABCA7,ITGAV,ITGB3
GO:1903416	response to glycoside	0.0294	0.0294	1	ATP1A2,ATP1A3,ATP1A1
