Name	Description	pvalue	qvalue	phenotype	genes
GO:0048285	organelle fission	1	1	1	CDC27,TPX2,ZNF268,RAB11A,CAV2,RECQL5,NCAPG,CENPF,KIF18A,MAD2L1BP,CENPE,DPEP3,HORMAD1,TTN,KIF15,UBE2C,ERCC4,TOM1L2,ANAPC2,RRS1,FLNA,MARCH5,SMC5
GO:0000280	nuclear division	1	1	1	CDC27,TPX2,ZNF268,RAB11A,CAV2,RECQL5,NCAPG,CENPF,KIF18A,MAD2L1BP,CENPE,DPEP3,HORMAD1,TTN,KIF15,UBE2C,ERCC4,TOM1L2,ANAPC2,RRS1,FLNA,SMC5
GO:0050879	multicellular organismal movement	2.02e-14	2.02e-14	1	MYH7,SLC8A3,TNNC2,TNNT1,MYH3,TNNT3,TNNI2,MYH8,CASQ1,TNNI1,JSRP1,TCAP,CAV3,ATP2A1,ACTN3
GO:0050881	musculoskeletal movement	2.02e-14	2.02e-14	1	MYH7,SLC8A3,TNNC2,TNNT1,MYH3,TNNT3,TNNI2,MYH8,CASQ1,TNNI1,JSRP1,TCAP,CAV3,ATP2A1,ACTN3
GO:0050886	endocrine process	0.534	0.534	1	C1QTNF3,CMA1,CTSG,AGT,RAB11FIP1,ACE,CPA3,SERPINF2
GO:0098780	response to mitochondrial depolarisation	0.133	0.133	1	MAP3K12,KRT15,KRT73,KRT6A
GO:1904223	regulation of glucuronosyltransferase activity	9.51e-11	9.51e-11	1	UGT1A6,UGT1A9,UGT1A1,UGT1A8,UGT1A10,UGT1A3,UGT1A7,UGT1A4
GO:0007610	behavior	1	1	1	RASGRF1,SEMA5B,SLC8A3,HSPB1,S100A7,SHANK1,GRIN1,S100A14
GO:0007626	locomotory behavior	1	1	1	SOD1,SPTBN4
GO:0050795	regulation of behavior	1	1	1	SEMA5B,HSPB1,S100A7,S100A14
GO:0048520	positive regulation of behavior	1	1	1	HSPB1,S100A7,S100A14
GO:0071887	leukocyte apoptotic process	1	1	1	BAX,RAPGEF2,BCL6,LGALS3,BCL10,NOC2L
GO:0070227	lymphocyte apoptotic process	1	1	1	BAX,BCL6,LGALS3,BCL10,NOC2L
GO:0001783	B cell apoptotic process	0.176	0.176	1	BAX,BCL6,BCL10,NOC2L
GO:0097164	ammonium ion metabolic process	0.0511	0.0511	1	PON1,CROT,SLC44A1,AKR1B1,ACHE,TGFB2,CHKB,APOA4,SRM,ACADM,APOA1,PLBD1,SLC44A2,APOC1,LPIN3,SMPD2,AKR1C2,APOA2,ACER1,JMJD7-PLA2G4B,PLA2G2A,AKR1B10,AKR1C4
GO:0048511	rhythmic process	1	1	1	TGFB2,PROK2
GO:0090066	regulation of anatomical structure size	0.191	0.191	1	PLXND1,SCIN,PIK3C2A,ACTN2,SEMA5B,RAB11A,CAV1,SLC9A3R1,SOD2,SCPEP1,RAB22A,VIL1,CRP,AGT,PLXNC1,LRRC8A,SSH2,SOD1,GSN,TWF1,KCNMA1,ACE,ARF6,SERPINF2,RAB3B,FGG,FGA,FGB,BAIAP2,CAV3,NEB,KCNMB2,L1CAM,BMPR2,SMTNL1,AQP1
GO:0035150	regulation of tube size	0.00767	0.00767	1	PIK3C2A,CAV1,SOD2,SCPEP1,CRP,AGT,SOD1,ACE,SERPINF2,FGG,FGA,FGB,KCNMB2,BMPR2,SMTNL1
