Name	Description	pvalue	qvalue	phenotype	genes
GO:1903416	response to glycoside	6.56e-07	6.56e-07	1	ATP1A2,ATP1A3,ATP1A1
GO:0097242	beta-amyloid clearance	0.419	0.419	1	CLU,LRP1,APOE,MYOCD
GO:1900221	regulation of beta-amyloid clearance	0.818	0.818	1	CLU,APOE,MYOCD
GO:0097354	prenylation	0.0399	0.0399	1	CHM,CHML
GO:0018342	protein prenylation	0.0399	0.0399	1	CHM,CHML
GO:0018344	protein geranylgeranylation	0.0209	0.0209	1	CHM,CHML
GO:0008105	asymmetric protein localization	0.27	0.27	1	GOPC,RAB10,ERBB2IP,SHROOM2,VANGL2
GO:0045176	apical protein localization	0.599	0.599	1	GOPC,SHROOM2,VANGL2
GO:0036017	response to erythropoietin	0.362	0.362	1	MT2A,KIT,MT1X
GO:0036018	cellular response to erythropoietin	0.362	0.362	1	MT2A,KIT,MT1X
GO:0055094	response to lipoprotein particle	0.736	0.736	1	CD9,CD81,CDH13
GO:0055098	response to low-density lipoprotein particle	0.602	0.602	1	CD9,CD81,CDH13
GO:0071402	cellular response to lipoprotein particle stimulus	0.266	0.266	1	CD9,CD81,CDH13
GO:0071404	cellular response to low-density lipoprotein particle stimulus	0.266	0.266	1	CD9,CD81,CDH13
GO:0048102	autophagic cell death	0.707	0.707	1	CDKN1B,CDKN2D
GO:0010248	establishment or maintenance of transmembrane electrochemical gradient	2.05e-15	2.05e-15	1	ATP1A2,ATP12A,ATP1A3,ATP4A,ATP1B2,ATP1A4,ATP1B1,ATP1A1
GO:0070816	phosphorylation of RNA polymerase II C-terminal domain	1	1	1	CDK13,CDK12
GO:0032898	neurotrophin production	0.126	0.126	1	PCSK6,FURIN
GO:0071459	protein localization to chromosome, centromeric region	1	1	1	CASC5,CDK1
GO:0034501	protein localization to kinetochore	1	1	1	CASC5,CDK1
GO:0006002	fructose 6-phosphate metabolic process	0.371	0.371	1	PFKL,PFKM
GO:0043276	anoikis	0.514	0.514	1	DAPK2,STK11,PIK3CA,NOTCH1,PTK2,BCL2L1,SRC
GO:2000209	regulation of anoikis	0.994	0.994	1	PIK3CA,NOTCH1,PTK2,BCL2L1,SRC
GO:2000811	negative regulation of anoikis	0.38	0.38	1	PIK3CA,NOTCH1,PTK2,BCL2L1,SRC
GO:1990089	response to nerve growth factor	2e-04	2e-04	1	STMN2,RAPGEF1,RAPGEF2,EHD1,RAB35,ACAP2,RAP1A,SORT1,KIDINS220,MAGI2,NTRK1
GO:1990090	cellular response to nerve growth factor stimulus	2e-04	2e-04	1	STMN2,RAPGEF1,RAPGEF2,EHD1,RAB35,ACAP2,RAP1A,SORT1,KIDINS220,MAGI2,NTRK1
GO:0038179	neurotrophin signaling pathway	9.49e-27	9.49e-27	1	BAD,PRKAR2B,AP2B1,RALA,FYN,PPP5C,CUL3,TRIO,RTN4R,AP2S1,BCAR1,PIK3CB,RASGRF1,CAMK2B,ERBB3,NGEF,FGFR2,RHOA,FGFR3,SPTB,CAMK2A,RPS6KA2,PRKACA,RASAL2,MARK3,ACTN2,FGFR1,ARAF,ADCY2,ADCYAP1R1,PHLPP1,GSK3B,PSMC5,PEBP1,BRAP,PLEKHG2,MAPK1,DNAL4,RBX1,SOS2,PSMC6,PSMC1,RPS6KA5,PSMB5,ARHGEF7,MAPK3,PSMD7,TSC2,RIPK2,RASAL3,GRIN2D,MAG,GSK3A,RASA4,CASP2,RAPGEF1,SH3GL2,MAPK8,PSMD3,PSMD11,DUSP3,PRKAR1A,YWHAE,LAMTOR3,GAB1,IL2,RAPGEF2,CDKN1B,RASAL1,PPP2R5D,RASGRF2,FGF1,PDGFRB,PRKAR2A,ECT2,PDE1A,SPTBN1,RTN4,RAP1A,ARHGEF2,LAMTOR2,APH1A,RPS6KA1,FOXO3,MAPKAP1,ADCY7,PIK3CA,CLTA,ITPR2,PDE1B,PLCG1,MCF2L,PRKCG,OMG,MAP2K2,PSMA1,ADCY4,ARHGEF6,ARHGEF9,RAF1,DLG4,PTPRA,ARHGEF11,CASP9,KRAS,SORT1,KIDINS220,PDGFRA,SMPD2,ARHGEF4,RAC1,DAB2IP,PSMB7,ADCY3,APH1B,FGF2,PCSK6,NTRK3,FURIN,PDPK1,KSR1,ARHGDIA,ERBB2,PSMB6,PRKACB,RIT1,PSEN2,CALM2,RALB,CAMK2D,PIK3R1,RASA1,TIAM2,EGFR,NTRK2,SHC3,CAMK2G,NCAM1,FOXO1,ITPR1,RIT2,CAMK4,RASGRP3,PRKCA,OBSCN,PDE1C,ZFYVE27,ADCY8,RASA2,TIAM1,KIT,BRAF,PSMD4,THEM4,ABR,CALM3,KALRN,SPTBN4,FGFR4,SQSTM1,AP2M1,GRIN2C,ADCY9,PEA15,NCSTN,PRKCI,PRKCD,ADCY1,PRKACG,SPRED1,YWHAB,CRK,MAP2K1,IRS1,PTK2,LINGO1,PRKCE,PTEN,ADRBK1,ADCY5,PSMD1,SPTBN2,ADCY6,HRAS,TRAF6,PSMD2,GRIN1,GRB2,ERBB4,MAGED1,PTPN11,LCK,AP2A2,GRIN2A,MAPK11,IRS2,RASA3,MAGI2,PRKAR1B,NF1,ARHGEF12,AP2A1,SRC,SYNGAP1,SPTAN1,NTRK1,CALM1,MTOR,AKT1S1,PSENEN,ITSN1,NRAS,CHUK,PSMB11,GRIN2B,NEFL
GO:0048011	neurotrophin TRK receptor signaling pathway	3.58e-26	3.58e-26	1	BAD,PRKAR2B,AP2B1,RALA,FYN,PPP5C,CUL3,TRIO,RTN4R,AP2S1,BCAR1,PIK3CB,RASGRF1,CAMK2B,ERBB3,NGEF,FGFR2,RHOA,FGFR3,SPTB,CAMK2A,RPS6KA2,PRKACA,RASAL2,MARK3,ACTN2,FGFR1,ARAF,ADCY2,ADCYAP1R1,PHLPP1,GSK3B,PSMC5,PEBP1,BRAP,PLEKHG2,MAPK1,DNAL4,RBX1,SOS2,PSMC6,PSMC1,RPS6KA5,PSMB5,ARHGEF7,MAPK3,PSMD7,TSC2,RIPK2,RASAL3,GRIN2D,MAG,GSK3A,RASA4,CASP2,RAPGEF1,SH3GL2,MAPK8,PSMD3,PSMD11,DUSP3,PRKAR1A,YWHAE,LAMTOR3,GAB1,IL2,RAPGEF2,CDKN1B,RASAL1,PPP2R5D,RASGRF2,FGF1,PDGFRB,PRKAR2A,ECT2,PDE1A,SPTBN1,RTN4,RAP1A,ARHGEF2,LAMTOR2,APH1A,RPS6KA1,FOXO3,MAPKAP1,ADCY7,PIK3CA,CLTA,ITPR2,PDE1B,PLCG1,MCF2L,PRKCG,OMG,MAP2K2,PSMA1,ADCY4,ARHGEF6,ARHGEF9,RAF1,DLG4,PTPRA,ARHGEF11,CASP9,KRAS,SORT1,KIDINS220,PDGFRA,SMPD2,ARHGEF4,RAC1,DAB2IP,PSMB7,ADCY3,APH1B,FGF2,PCSK6,FURIN,PDPK1,KSR1,ARHGDIA,ERBB2,PSMB6,PRKACB,RIT1,PSEN2,CALM2,RALB,CAMK2D,PIK3R1,RASA1,TIAM2,EGFR,NTRK2,SHC3,CAMK2G,NCAM1,FOXO1,ITPR1,RIT2,CAMK4,RASGRP3,PRKCA,OBSCN,PDE1C,ZFYVE27,ADCY8,RASA2,TIAM1,KIT,BRAF,PSMD4,THEM4,ABR,CALM3,KALRN,SPTBN4,FGFR4,SQSTM1,AP2M1,GRIN2C,ADCY9,PEA15,NCSTN,PRKCI,PRKCD,ADCY1,PRKACG,SPRED1,YWHAB,CRK,MAP2K1,IRS1,PTK2,LINGO1,PRKCE,PTEN,ADRBK1,ADCY5,PSMD1,SPTBN2,ADCY6,HRAS,TRAF6,PSMD2,GRIN1,GRB2,ERBB4,MAGED1,PTPN11,LCK,AP2A2,GRIN2A,MAPK11,IRS2,RASA3,PRKAR1B,NF1,ARHGEF12,AP2A1,SRC,SYNGAP1,SPTAN1,NTRK1,CALM1,MTOR,AKT1S1,PSENEN,ITSN1,NRAS,CHUK,PSMB11,GRIN2B,NEFL
GO:0038180	nerve growth factor signaling pathway	0.00249	0.00249	1	RAPGEF1,RAPGEF2,RAP1A,SORT1,KIDINS220,MAGI2
GO:0042769	DNA damage response, detection of DNA damage	1	1	1	MRPS35,RBX1,RPA2,MRPS26,MRPS9,CUL4A,CUL4B,DDB1
GO:0014823	response to activity	0.926	0.926	1	METRNL,RYR2
GO:0014850	response to muscle activity	0.926	0.926	1	METRNL,RYR2
GO:0033483	gas homeostasis	1	1	1	NARFL,EGLN1
GO:0032364	oxygen homeostasis	1	1	1	NARFL,SOD2,EGLN1
GO:0007398	ectoderm development	1	1	1	STX2,SMURF1
GO:0097066	response to thyroid hormone	1	1	1	HPN,RDX,GAS2L1
GO:0097067	cellular response to thyroid hormone stimulus	1	1	1	RDX,CTSB,GAS2L1
GO:0070584	mitochondrion morphogenesis	0.013	0.013	1	DNM1L,NUBPL,MFF,MTM1,FIS1
GO:0009299	mRNA transcription	1	1	1	ZBTB1,HSF1
GO:0036015	response to interleukin-3	0.0336	0.0336	1	GSK3B,GSK3A
GO:0036016	cellular response to interleukin-3	0.0336	0.0336	1	GSK3B,GSK3A
GO:0035372	protein localization to microtubule	1	1	1	MID1,CRIPT
GO:0006927	transformed cell apoptotic process	0.121	0.121	1	FAM162A,DAB2IP,RHOB
GO:0097012	response to granulocyte macrophage colony-stimulating factor	0.0291	0.0291	1	PDE1B,PDE2A
GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus	0.0291	0.0291	1	PDE1B,PDE2A
GO:0007218	neuropeptide signaling pathway	0.78	0.78	1	NPFFR2,RAPGEF2,NPY,NPBWR2,SORT1,NPY2R
GO:0044321	response to leptin	1	1	1	MT3,LEPR
GO:0044320	cellular response to leptin stimulus	1	1	1	MT3,LEPR
GO:0033210	leptin-mediated signaling pathway	1	1	1	MT3,LEPR
GO:0018199	peptidyl-glutamine modification	1	1	1	QPCTL,QPCT
GO:0031163	metallo-sulfur cluster assembly	0.0042	0.0042	1	CIAPIN1,HSCB,NARFL,ISCA1,ISCU,MMS19,FXN,ISCA2,NFU1,SDHAF1,NFS1
GO:0016226	iron-sulfur cluster assembly	0.0042	0.0042	1	CIAPIN1,HSCB,NARFL,ISCA1,ISCU,MMS19,FXN,ISCA2,NFU1,SDHAF1,NFS1
GO:0036119	response to platelet-derived growth factor	0.948	0.948	1	HAS1,PDGFRB,CORO1B
GO:0036120	cellular response to platelet-derived growth factor stimulus	0.591	0.591	1	HAS1,PDGFRB,CORO1B
GO:0033555	multicellular organismal response to stress	1	1	1	NOS1,PRKCG,PTEN,RELN
GO:0048265	response to pain	1	1	1	PRKCG,RELN
GO:0035694	mitochondrial protein catabolic process	0.65	0.65	1	BNIP3L,BNIP3
GO:0034405	response to fluid shear stress	1	1	1	ABCA1,MTSS1
GO:0007220	Notch receptor processing	1	1	1	PSEN1,APH1A,ADAM10,APH1B,PSEN2,NOTCH1,NCSTN,PSENEN
GO:0030091	protein repair	0.746	0.746	1	PCMT1,MSRB2
GO:0048013	ephrin receptor signaling pathway	1.4e-11	1.4e-11	1	AP2B1,FYN,AP2S1,EPHA3,NGEF,RHOA,CDC42,PAK3,EPHA6,ARHGEF7,WASL,LIMK1,DNM1,GIT1,EFNB3,EPHA4,EFNB2,CHN1,EPHB2,ROCK2,EPHA7,RAC1,ADAM10,ACTR2,APH1B,PSEN2,EPHA5,RASA1,PAK1,EPHB1,TIAM1,KALRN,AP2M1,PTK2,HRAS,YES1,CDK5R1,GRIN1,PTPN11,AP2A2,EFNA5,AP2A1,SRC,SIPA1L1,PSENEN,ITSN1,ARPC1A,GRIN2B
GO:0045103	intermediate filament-based process	0.113	0.113	1	PKP2,ATXN3,PKP1,NEFH,NEFM,DNAJB6,ERBB2IP,CSNK1A1,TOR1A,SOD1,DST,MTM1,NEFL
GO:0045104	intermediate filament cytoskeleton organization	0.113	0.113	1	PKP2,ATXN3,PKP1,NEFH,NEFM,DNAJB6,ERBB2IP,CSNK1A1,TOR1A,SOD1,DST,MTM1,NEFL
GO:0060052	neurofilament cytoskeleton organization	0.0158	0.0158	1	NEFH,NEFM,NEFL
GO:0045109	intermediate filament organization	0.0584	0.0584	1	NEFH,NEFM,DNAJB6,MTM1,NEFL
GO:0045110	intermediate filament bundle assembly	0.0544	0.0544	1	PKP2,PKP1,NEFH,NEFM,NEFL
GO:0033693	neurofilament bundle assembly	0.00427	0.00427	1	NEFH,NEFM,NEFL
GO:0038007	netrin-activated signaling pathway	0.0223	0.0223	1	UNC5A,PTK2,KIAA1598
GO:0006975	DNA damage induced protein phosphorylation	0.3	0.3	1	ABL1,MAPK3,MAP2K6,CHEK2,MAPK12
GO:0030185	nitric oxide transport	0.668	0.668	1	AQP1,HBB
GO:0051775	response to redox state	0.0692	0.0692	1	SIRT2,FKBP1B,CLOCK,RYR2
GO:0007214	gamma-aminobutyric acid signaling pathway	5.16e-06	5.16e-06	1	GNAI2,GABBR2,GABRB2,GABRA2,GABBR1
GO:0032020	ISG15-protein conjugation	0.578	0.578	1	UBE2E1,UBE2E2,ISG15
GO:0003360	brainstem development	0.044	0.044	1	NLGN4X,SCN5A
GO:0007271	synaptic transmission, cholinergic	0.0305	0.0305	1	CHRM3,CHRNA5,CHRM4
