Name	Description	pvalue	qvalue	phenotype	genes
GO:0050795	regulation of behavior	0.0137	0.0137	1	SEMA3C,HSPB1,LEPR,NR4A3,S100A7,NOTCH1,ADAM17,IL6R,GREM1,GAS6
GO:1902882	regulation of response to oxidative stress	0.0244	0.0244	1	HSPB1,VNN1,NR4A3,FBLN5,HP
GO:1902883	negative regulation of response to oxidative stress	0.0281	0.0281	1	HSPB1,VNN1,NR4A3,HP
GO:1900407	regulation of cellular response to oxidative stress	0.0222	0.0222	1	HSPB1,VNN1,NR4A3,FBLN5,HP
GO:1900408	negative regulation of cellular response to oxidative stress	0.0281	0.0281	1	HSPB1,VNN1,NR4A3,HP
GO:0003183	mitral valve morphogenesis	0.0432	0.0432	1	NOTCH1,EFNA1
GO:0030048	actin filament-based movement	0.0263	0.0263	1	CAV1,MYH10,TPM1,TPM3,TPM4,MYL6B,TPM2
GO:0070252	actin-mediated cell contraction	0.0474	0.0474	1	CAV1,TPM1,TPM3,TPM4,MYL6B,TPM2
GO:0033275	actin-myosin filament sliding	0.00939	0.00939	1	TPM1,TPM3,TPM4,MYL6B,TPM2
GO:0030049	muscle filament sliding	0.00939	0.00939	1	TPM1,TPM3,TPM4,MYL6B,TPM2
GO:1903224	regulation of endodermal cell differentiation	0.0432	0.0432	1	COL5A1,COL5A2
GO:0051093	negative regulation of developmental process	0.00216	0.00216	1	SEMA3C,FBLN1,HOXA9,APOH,JAG1,AXIN1,CAV1,LFNG,EFEMP1,BHLHE41,COL5A1,ADAMTS7,SKIL,NOTCH1,C1QC,GREM1,EFNA1,F2,GAS6,COL5A2,TWIST2
GO:0009790	embryo development	0.00328	0.00328	1	PCSK5,AXIN1,LFNG,COL1A1,EFEMP1,NR4A3,SMO,COL5A1,LAMA5,CRB2,NOTCH1,PTPRR,FZD5,FBN1,FOXI1,GREM2,COL5A2,C1QTNF5
GO:0061053	somite development	0.0247	0.0247	1	AXIN1,LFNG,SMO,CRB2
GO:0045992	negative regulation of embryonic development	0.0317	0.0317	1	LFNG,COL5A1,COL5A2
GO:2000542	negative regulation of gastrulation	0.0432	0.0432	1	COL5A1,COL5A2
GO:0035282	segmentation	0.0318	0.0318	1	AXIN1,LFNG,CRB2,FZD5
GO:0001756	somitogenesis	0.0461	0.0461	1	AXIN1,LFNG,CRB2
GO:0045596	negative regulation of cell differentiation	0.00091	0.00091	1	SEMA3C,FBLN1,HOXA9,JAG1,AXIN1,CAV1,EFEMP1,BHLHE41,COL5A1,ADAMTS7,SKIL,NOTCH1,C1QC,GREM1,EFNA1,F2,COL5A2,TWIST2
GO:1903225	negative regulation of endodermal cell differentiation	0.0133	0.0133	1	COL5A1,COL5A2
GO:0061035	regulation of cartilage development	0.0216	0.0216	1	EFEMP1,LOXL2,ADAMTS7,GREM1
GO:0061037	negative regulation of cartilage development	0.0205	0.0205	1	EFEMP1,ADAMTS7,GREM1
GO:0032330	regulation of chondrocyte differentiation	0.007	0.007	1	EFEMP1,LOXL2,ADAMTS7,GREM1
GO:0032331	negative regulation of chondrocyte differentiation	0.016	0.016	1	EFEMP1,ADAMTS7,GREM1
GO:0061061	muscle structure development	0.0118	0.0118	1	EVC,CBY1,JAG1,AXIN1,CAV1,MYF6,BHLHE41,LARGE,SKIL,TPM1,NOTCH1,GREM1,SGCD,MYL6B
GO:0007517	muscle organ development	0.0143	0.0143	1	EVC,CAV1,MYF6,LARGE,SKIL,TPM1,NOTCH1,GREM1,SGCD,MYL6B
GO:0060538	skeletal muscle organ development	0.0412	0.0412	1	CAV1,MYF6,LARGE,SKIL,MYL6B
GO:0040017	positive regulation of locomotion	0.01	0.01	1	NTN1,SEMA3C,FBLN1,HSPB1,COL1A1,ENPP2,FGF7,CYR61,S100A7,NOTCH1,ADAM17,IL6R,GAS6,TMPRSS2,MYO1C
GO:0051272	positive regulation of cellular component movement	0.00823	0.00823	1	NTN1,SEMA3C,FBLN1,HSPB1,COL1A1,ENPP2,FGF7,CYR61,S100A7,NOTCH1,ADAM17,IL6R,PDPN,GAS6,MYO1C
GO:0030334	regulation of cell migration	0.0217	0.0217	1	SEMA3C,FBLN1,APOH,JAG1,HSPB1,COL1A1,RECK,ENPP2,FGF7,TPM1,CYR61,S100A7,NOTCH1,ADAM17,PTPRR,IL6R,GREM1,GAS6,MYO1C
