Name	Description	pvalue	qvalue	phenotype	genes
GO:0021675	nerve development	1	1	1	NRP2,SULF1
GO:0060384	innervation	1	1	1	NRP1,SULF1
GO:0006968	cellular defense response	0.3	0.3	1	CD5L,LGALS3BP,RAB23,NCF2,BECN1,LBP,LILRB2,ITGB1,LY96,MNDA
GO:0007274	neuromuscular synaptic transmission	1	1	1	KIF1B,DTNA
GO:0048012	hepatocyte growth factor receptor signaling pathway	0.0399	0.0399	1	HGF,BCAR1,NRP1,MET,PTPN2
GO:0030185	nitric oxide transport	0.0921	0.0921	1	AQP1,HBB
GO:0035726	common myeloid progenitor cell proliferation	0.0194	0.0194	1	NR4A3,FLT3
GO:0061635	regulation of protein complex stability	1	1	1	HSPA8,SQSTM1
GO:0097164	ammonium ion metabolic process	0.0273	0.0273	1	PON1,SMPD3,PLA2G4C,DAO,GPLD1,ACADL,BBOX1,LDLR,DMGDH,ENPP2,AKR1C2,PLA2G1B,SHMT1,TH,PLA2G6,AKR1C1,PLA2G2A,AKR1B10
GO:0001101	response to acid chemical	0.271	0.271	1	PDK4,ABCB4,EPHA3,TGFBR3,GNB1,HSD17B2,CTSH,SFRP1,CPEB4,WNT6,SH3BP4,CD36,RBP4,AKR1C2,PID1,UBR1,CAPN2,FOLR2,ADCY6,SHMT1,RXRA,AKR1C1,AKR1C4,AQP1,LYN
GO:0009753	response to jasmonic acid	0.0124	0.0124	1	AKR1C2,AKR1C1,AKR1C4
GO:0090066	regulation of anatomical structure size	2.2e-06	2.2e-06	1	ALS2,BAIAP2L1,SCIN,PIK3C2A,SEMA3B,RUFY3,CPS1,NTN1,PFN2,NCK2,SEMA3C,PAK3,ACTN2,CTTN,ABL1,NRP1,TRIOBP,CORO1A,MTPN,CAV1,LIMK1,KANK1,CXCL12,PFN1,VEGFA,WIPF1,PLEK,ECE1,PTK2B,WIPF3,NCKAP1L,VASP,VIL1,CDC42EP1,DOCK4,APOE,ACE2,ARPC1B,CRP,AGT,VAV1,SH3BGRL3,GOLGA4,MSN,GSN,FER,EPS8,JMY,KCNMA1,NCK1,VAV2,ALOX15,ARPC5,CLASP2,NOS3,CFL2,SERPINF2,SEMA4C,FGG,FGA,FGB,PTEN,CORO1B,SSH3,ADCY6,BAIAP2,ANO6,CDC42EP4,MYADM,HCLS1,CAV3,SLC8A1,L1CAM,PLXNA4,AQP1
GO:0035150	regulation of tube size	0.0197	0.0197	1	PIK3C2A,CPS1,CAV1,CRP,AGT,NOS3,SERPINF2,FGG,FGA,FGB
GO:0032535	regulation of cellular component size	2.94e-06	2.94e-06	1	ALS2,BAIAP2L1,SCIN,SEMA3B,RUFY3,NTN1,PFN2,NCK2,SEMA3C,PAK3,ACTN2,CTTN,ABL1,NRP1,TRIOBP,CORO1A,MTPN,LIMK1,KANK1,CXCL12,PFN1,VEGFA,WIPF1,PLEK,PTK2B,WIPF3,NCKAP1L,VASP,VIL1,CDC42EP1,APOE,ARPC1B,VAV1,SH3BGRL3,GOLGA4,MSN,GSN,FER,EPS8,JMY,KCNMA1,NCK1,VAV2,ALOX15,ARPC5,CLASP2,CFL2,SEMA4C,PTEN,CORO1B,SSH3,BAIAP2,ANO6,CDC42EP4,MYADM,HCLS1,CAV3,L1CAM,PLXNA4,AQP1
GO:0008361	regulation of cell size	0.0237	0.0237	1	SEMA3B,RUFY3,NTN1,SEMA3C,CTTN,ABL1,NRP1,LIMK1,VEGFA,PLEK,APOE,VAV1,GOLGA4,MSN,KCNMA1,VAV2,CLASP2,SEMA4C,PTEN,ANO6,CAV3,L1CAM,PLXNA4,AQP1
GO:0045792	negative regulation of cell size	0.231	0.231	1	PTEN,CAV3
GO:0017014	protein nitrosylation	0.107	0.107	1	ATP2B4,SNTA1,S100A8,S100A9,DMD
GO:0072511	divalent inorganic cation transport	1	1	1	SLC11A1,TF,CAV1,PKDREJ,PLA2G1B,F2,CAV3,GAS6,PLN
GO:0070838	divalent metal ion transport	1	1	1	SLC11A1,TF,CAV1,PKDREJ,PLA2G1B,F2,CAV3,GAS6,PLN
GO:0006816	calcium ion transport	1	1	1	CAV1,PKDREJ,PLA2G1B,F2,CAV3,GAS6,PLN
GO:0002115	store-operated calcium entry	1	1	1	HOMER1,ORAI1
GO:0070509	calcium ion import	1	1	1	CXCL12,PDGFRB,CASQ1,JPH2,F2,CAV3,SLC8A1,TRDN,PLCG2,PLN,DMD
GO:0060401	cytosolic calcium ion transport	1	1	1	CAV1,F2
GO:0070296	sarcoplasmic reticulum calcium ion transport	1	1	1	CASQ1,SLC8A1,TRDN,PLN,DMD
GO:0036005	response to macrophage colony-stimulating factor	0.0343	0.0343	1	PDE1B,FER,MST1R,PTPN2,CSF1R
GO:0036006	cellular response to macrophage colony-stimulating factor stimulus	0.0343	0.0343	1	PDE1B,FER,MST1R,PTPN2,CSF1R
GO:0019184	nonribosomal peptide biosynthetic process	0.0151	0.0151	1	GGCT,MGST2,GGT1,GGT2,BDH2,OPLAH
GO:0046148	pigment biosynthetic process	1	1	1	ZEB2,SHMT1,ADA
GO:0033002	muscle cell proliferation	2.09e-05	2.09e-05	1	OGN,PDGFRB,FOXP1,IGFBP5,NR4A3,TBX2,RBP4,TPM1,CDH13,NOTCH1,IL6R,TBX20,SERPINF2,ADIPOQ,APOD,ANG
GO:0014855	striated muscle cell proliferation	0.199	0.199	1	TGFBR3,MEF2C,TBX2,RBP4,FGF2,NOTCH1,TBX20
GO:0048659	smooth muscle cell proliferation	0.000101	0.000101	1	OGN,PDGFRB,FOXP1,IGFBP5,NR4A3,TPM1,CDH13,IL6R,SERPINF2,ADIPOQ,APOD,ANG
GO:0018198	peptidyl-cysteine modification	1	1	1	ATP2B4,SNTA1,S100A8,S100A9,DMD
GO:0018119	peptidyl-cysteine S-nitrosylation	0.107	0.107	1	ATP2B4,SNTA1,S100A8,S100A9,DMD
GO:1900115	extracellular regulation of signal transduction	0.0115	0.0115	1	LTBP1,CD46,FBN1
GO:0008213	protein alkylation	1	1	1	SETD7,PRMT3
GO:0098732	macromolecule deacylation	1	1	1	HDAC4,KDM5A,SIRT1,EP300,BRMS1L,PRKD2,HDAC5,VEGFA,SIRT5,NACC2,NIPBL
GO:0035601	protein deacylation	1	1	1	HDAC4,KDM5A,SIRT1,EP300,BRMS1L,PRKD2,HDAC5,VEGFA,SIRT5,NACC2,NIPBL
GO:0006476	protein deacetylation	1	1	1	HDAC4,KDM5A,SIRT1,EP300,BRMS1L,PRKD2,HDAC5,VEGFA,SIRT5,NACC2,NIPBL
GO:0090311	regulation of protein deacetylation	1	1	1	KDM5A,EP300,PRKD2,VEGFA,NIPBL
GO:0060249	anatomical structure homeostasis	0.0721	0.0721	1	LTF,ACTB,TF,CHMP4B,CTSH,HSPB1,CUBN,VEGFA,BBS2,IGJ,LARGE,RBP4,DNA2,BARD1,PRIM2,TNKS1BP1,ADAM8,AZGP1,PIGR,ALB,B2M,FGGY,CD34,DHX36,ERCC4,POLE,MAPK15,CAV3,CSF1R,ACTG1,SGCZ,POTEE,POTEF,POTEI,DMD,POTEJ,ITGB3
GO:0046716	muscle cell cellular homeostasis	0.0568	0.0568	1	LARGE,CAV3,SGCZ
GO:0070050	neuron cellular homeostasis	0.388	0.388	1	CHMP2B,HAAO,FGGY
GO:0060191	regulation of lipase activity	0.0167	0.0167	1	ARHGAP6,TXK,APOH,ABL1,FLT1,APOA4,PDGFRB,PDE1A,PDE1B,LRP1,PRKCG,SORT1,PDGFRA,FGF2,ITPR1,KIT,ADCY9,ANGPTL4,PLA2G1B,ADCY5,ADCY6,PNLIP,ANG,ANXA8
GO:0051004	regulation of lipoprotein lipase activity	0.0323	0.0323	1	APOH,ANGPTL4
GO:0010517	regulation of phospholipase activity	0.0821	0.0821	1	ARHGAP6,TXK,ABL1,FLT1,PDGFRB,PDE1A,PDE1B,LRP1,PRKCG,PDGFRA,FGF2,ITPR1,KIT,ADCY9,PLA2G1B,ADCY5,ADCY6,ANG,ANXA8
GO:1900274	regulation of phospholipase C activity	0.0722	0.0722	1	ARHGAP6,TXK,ABL1,FLT1,PDGFRB,PDE1A,PDE1B,PRKCG,PDGFRA,FGF2,ITPR1,KIT,ADCY9,ADCY5,ADCY6,ANG
GO:0032429	regulation of phospholipase A2 activity	0.00514	0.00514	1	LRP1,PLA2G1B,ANG,ANXA8
GO:0044266	multicellular organismal macromolecule catabolic process	0.224	0.224	1	ACE2,ENPEP
GO:0090077	foam cell differentiation	0.00014	0.00014	1	MSR1,APOB,NFKB1,CRP,CD36,AGT,ITGAV,PF4,ABCA1,ADIPOQ,PLA2G2A,ITGB3
GO:0010742	macrophage derived foam cell differentiation	0.00014	0.00014	1	MSR1,APOB,NFKB1,CRP,CD36,AGT,ITGAV,PF4,ABCA1,ADIPOQ,PLA2G2A,ITGB3
GO:0090130	tissue migration	8.56e-12	8.56e-12	1	KRIT1,GPR124,FLT4,BCAR1,HDAC7,PKN2,PFN2,PTGS2,FAP,FAT2,APOH,NRP1,MYH9,MMP9,FERMT1,SRPX2,CTSH,PRKD2,TGFB1,MET,HSPB1,ACTA2,PFN1,HDAC5,CORO1C,SASH1,GPLD1,VEGFA,SPARC,FGF1,FOXP1,NRP2,PTK2B,PIK3CA,VIL1,AAMP,KDR,APOE,STARD13,LOXL2,AGT,DAB2IP,ENPP2,THBS1,FGF2,ANXA3,FGF7,CDH13,AKT1,SH3BGRL3,ACTA1,PTPRG,NOTCH1,PTPRR,KIT,ACTC1,PPAP2B,ACTG2,CLASP2,NOS3,GREM1,ADAM9,ZEB2,CORO1B,MMRN2,PTPRM,TACSTD2,NR2F2,KRT16,DPP4,ITGB3
