Name	Description	pvalue	qvalue	phenotype	genes
GO:0010644	cell communication by electrical coupling	0.00413	0.00413	1	PKP2,CASQ2,HRC,RYR2
GO:0086065	cell communication involved in cardiac conduction	0.0327	0.0327	1	PKP2,CASQ2,HRC,RYR2
GO:0086068	Purkinje myocyte to ventricular cardiac muscle cell communication	0.0188	0.0188	1	CASQ2,RYR2
GO:0086019	cell-cell signaling involved in cardiac conduction	0.0197	0.0197	1	PKP2,CASQ2,RYR2
GO:0086029	Purkinje myocyte to ventricular cardiac muscle cell signaling	0.0188	0.0188	1	CASQ2,RYR2
GO:0086064	cell communication by electrical coupling involved in cardiac conduction	0.0356	0.0356	1	PKP2,HRC,RYR2
GO:0031033	myosin filament organization	0.00576	0.00576	1	TTN,TCAP
GO:0031034	myosin filament assembly	0.00576	0.00576	1	TTN,TCAP
GO:0060537	muscle tissue development	4.91e-11	4.91e-11	1	PKP2,NEBL,MYH7,SGCG,MYL2,CENPF,TNNI3,MYBPC3,ANKRD1,TTN,MYL3,TCAP,NDUFV2,SGCZ,RYR1,MYH6,RYR2,ACTN3
GO:0014706	striated muscle tissue development	1.85e-11	1.85e-11	1	PKP2,NEBL,MYH7,SGCG,MYL2,CENPF,TNNI3,MYBPC3,ANKRD1,TTN,MYL3,TCAP,NDUFV2,SGCZ,RYR1,MYH6,RYR2,ACTN3
GO:0061061	muscle structure development	1.58e-13	1.58e-13	1	PKP2,ACTN2,NEBL,MYH7,SGCG,SGCA,MYH3,MYL2,CENPF,TNNI3,MYBPC3,MYPN,ANKRD1,OBSCN,TTN,MYL3,LMOD3,FBXO40,ANKRD2,CDH2,TCAP,SGCZ,RYR1,MYH6,RYR2,DMD,ACTN3
GO:0010927	cellular component assembly involved in morphogenesis	2.73e-05	2.73e-05	1	ACTN2,NEBL,ABLIM1,MYH3,MYL2,MYPN,ANKRD1,OBSCN,TTN,DZIP1L,LMOD3,TCAP,MYH6,DMD
GO:0070925	organelle assembly	0.0108	0.0108	1	ACTN2,NEBL,ABLIM1,MYH3,MYL2,CENPF,MYPN,ANKRD1,OBSCN,TTN,DZIP1L,LMOD3,TCAP,MYH6,DMD,PATL2
GO:0048729	tissue morphogenesis	0.00599	0.00599	1	PKP2,MYH7,MYL2,SOX4,TNNI3,MYBPC3,ANKRD1,TTN,MYL3,TCAP,MYH6,RYR2
