Name	Description	pvalue	qvalue	phenotype	genes
GO:0015949	nucleobase-containing small molecule interconversion	0.716	0.716	1	AK1,AK5,GLRX
GO:0070841	inclusion body assembly	0.241	0.241	1	DNAJB6,TRIM37,BAG5
GO:0090083	regulation of inclusion body assembly	0.657	0.657	1	DNAJB6,BAG5,DNAJB8
GO:0090084	negative regulation of inclusion body assembly	1	1	1	DNAJB6,DNAJB8
GO:0070098	chemokine-mediated signaling pathway	1	1	1	CXCL12,PPBP
GO:0018065	protein-cofactor linkage	0.0719	0.0719	1	NDUFAB1,SDHAF2
GO:0051775	response to redox state	0.455	0.455	1	RNF7,RYR2
GO:0031163	metallo-sulfur cluster assembly	0.000193	0.000193	1	HSCB,ISCA1,ISCU,FXN,ISCA2,NFU1,SDHAF1,NFS1
GO:0016226	iron-sulfur cluster assembly	0.000193	0.000193	1	HSCB,ISCA1,ISCU,FXN,ISCA2,NFU1,SDHAF1,NFS1
GO:0038026	reelin-mediated signaling pathway	0.0984	0.0984	1	VLDLR,LRP8
GO:0006002	fructose 6-phosphate metabolic process	0.466	0.466	1	PFKM,FBP1
GO:0071941	nitrogen cycle metabolic process	1	1	1	ARG1,ISCU
GO:1903416	response to glycoside	0.0914	0.0914	1	ATP1A2,ATP1A3
GO:0042769	DNA damage response, detection of DNA damage	0.455	0.455	1	SOX4,DTL
GO:0000209	protein polyubiquitination	0.528	0.528	1	RNF19A,RNF125,RNF19B,DTL,RNF145
GO:0070534	protein K63-linked ubiquitination	1	1	1	UBE2D4,UBE2B,UBE2G1,MAGEL2
GO:0070979	protein K11-linked ubiquitination	1	1	1	UBE2D4,UBE2B
GO:0070936	protein K48-linked ubiquitination	1	1	1	UBE2D1,UBE2D4,UBE2B,UBE2G1
GO:0043276	anoikis	1	1	1	PDK4,CAV1,PIK3CA
GO:2000209	regulation of anoikis	1	1	1	PDK4,CAV1,PIK3CA
GO:2000811	negative regulation of anoikis	0.95	0.95	1	PDK4,CAV1,PIK3CA
GO:0002931	response to ischemia	0.0877	0.0877	1	CAMK2A,MLYCD,PPIF
GO:0007168	receptor guanylyl cyclase signaling pathway	0.586	0.586	1	GUCY2C,NPPA
GO:0015851	nucleobase transport	0.0121	0.0121	1	SLC25A5,VDAC3,SLC25A4
GO:0006863	purine nucleobase transport	0.00456	0.00456	1	SLC25A5,VDAC3,SLC25A4
GO:0015853	adenine transport	0.000246	0.000246	1	SLC25A5,VDAC3,SLC25A4
GO:0045116	protein neddylation	0.721	0.721	1	RNF7,DCUN1D2
GO:0010248	establishment or maintenance of transmembrane electrochemical gradient	0.00243	0.00243	1	ATP1A2,ATP12A,ATP1A3,ATP4A,ATP1A4,ATP1B1
GO:0097354	prenylation	0.416	0.416	1	MUSK,PTAR1
GO:0018342	protein prenylation	0.416	0.416	1	MUSK,PTAR1
GO:1903830	magnesium ion transmembrane transport	0.635	0.635	1	MRS2,MMGT1
GO:0010501	RNA secondary structure unwinding	1	1	1	DDX49,TDRD12,DDX28
GO:0034389	lipid particle organization	0.243	0.243	1	FITM2,PLIN5
GO:0015669	gas transport	0.349	0.349	1	RHAG,AQP1,HBB
GO:0019755	one-carbon compound transport	1	1	1	RHAG,AQP1
GO:0015670	carbon dioxide transport	0.227	0.227	1	RHAG,AQP1
GO:0030185	nitric oxide transport	0.12	0.12	1	AQP1,HBB
GO:0036017	response to erythropoietin	0.137	0.137	1	MT2A,MT1X
GO:0036018	cellular response to erythropoietin	0.137	0.137	1	MT2A,MT1X
GO:0042493	response to drug	0.256	0.256	1	CENPF,ADIPOQ
GO:0015893	drug transport	0.489	0.489	1	ABCG2,SLC47A2
GO:0006855	drug transmembrane transport	0.271	0.271	1	ABCG2,SLC47A2
GO:0033483	gas homeostasis	0.773	0.773	1	CAV1,SOD2
GO:0043094	cellular metabolic compound salvage	1	1	1	GOT1,ADAL
GO:0060191	regulation of lipase activity	0.226	0.226	1	PRKACA,APOA4,APOC3,PDE1A,APOA1,PDE1B,APOC1,ANGPTL3,ABL2,PDE1C,APOA2,ADCY5,ADCY6,ANG,PLIN5,APOC2
GO:0051004	regulation of lipoprotein lipase activity	0.00406	0.00406	1	APOA4,APOC3,APOA1,APOC1,ANGPTL3,APOC2
GO:0010517	regulation of phospholipase activity	1	1	1	PDE1A,PDE1B,ANGPTL3,PDE1C,ADCY5,ADCY6,ANG,APOC2
GO:1900274	regulation of phospholipase C activity	1	1	1	PDE1A,PDE1B,PDE1C,ADCY5,ADCY6,ANG
GO:0040007	growth	0.152	0.152	1	ACVR1B,ACTN3
GO:0035265	organ growth	0.718	0.718	1	SORBS2,PDLIM5,PSAP
GO:0097034	mitochondrial respiratory chain complex IV biogenesis	3.09e-06	3.09e-06	1	BCS1L,C18ORF55,COX14,CHCHD8,CCDC56,FAM36A,COX19
GO:0061641	CENP-A containing chromatin organization	0.869	0.869	1	CENPI,MIS18BP1,CASC5,CENPH
GO:0061008	hepaticobiliary system development	1	1	1	HPN,COBL
GO:0071826	ribonucleoprotein complex subunit organization	1	1	1	MTIF3,PATL2
GO:0048285	organelle fission	1	1	1	CENPF,BNIP3
GO:0000280	nuclear division	1	1	1	RAD54L,CENPF,TTN,KIF15,SIRT7
GO:0050879	multicellular organismal movement	5.84e-09	5.84e-09	1	MYH7,TNNT1,MYH3,TNNI3,MYH8,CCDC78,TCAP,DMD,ACTN3
GO:0050881	musculoskeletal movement	5.84e-09	5.84e-09	1	MYH7,TNNT1,MYH3,TNNI3,MYH8,CCDC78,TCAP,DMD,ACTN3
GO:0046530	photoreceptor cell differentiation	0.569	0.569	1	RP1,AHI1
GO:0034508	centromere complex assembly	0.595	0.595	1	CENPI,CENPF,MIS18BP1,CASC5,CENPH
GO:0019748	secondary metabolic process	0.142	0.142	1	DCT,COQ6,PGAM2,CYP11B2
GO:0044550	secondary metabolite biosynthetic process	0.0513	0.0513	1	DCT,COQ6,CYP11B2
GO:0071496	cellular response to external stimulus	0.212	0.212	1	ANKRD1,BNIP3
GO:0006818	hydrogen transport	1.45e-24	1.45e-24	1	UQCRC1,ATP5D,ATP5B,NNT,ATP5F1,ATP5E,COX6B1,COX4I1,COX7B,ATP5G2,COX5B,ADHFE1,ATP5A1,ATP5G3,ATP5G1,COX7A1,ATP5C1,ATP5L,ATP5H,ATP5I,UQCRH,COX8A,COX5A,UQCR10,NDUFA4,COX2,CYTB,COX1,ATP6,ATP8,ATP5J2,ATP5O
GO:1904238	pericyte cell differentiation	0.152	0.152	1	ACTA2,CD34
GO:0072348	sulfur compound transport	0.666	0.666	1	SLC26A4,SLC26A9,SLC26A11
GO:0018212	peptidyl-tyrosine modification	1	1	1	MUSK,TNK2,PIBF1,ARL2BP,SFRP1,CAV1,VTN,THBS4,HRG,EPHA4,SH3BP5,EPHA2,ABL2,MERTK,TTN,LRP8,ROR2,AFAP1L2,PEAK1,FES,ZGPAT
GO:1903513	endoplasmic reticulum to cytosol transport	0.00182	0.00182	1	ATP1A2,PRKACA,CASQ2,FKBP1B,HRC,NOL3,CAMK2D,ANK2,GSTO1,SLC8A1,TRDN,RYR1,SVIP,RYR2,DMD
GO:0000959	mitochondrial RNA metabolic process	1	1	1	EARS2,TFAM,MRPL12
GO:1901615	organic hydroxy compound metabolic process	0.0913	0.0913	1	ACADVL,ACTN3
GO:0090130	tissue migration	0.269	0.269	1	KRIT1,ANLN,BCAR1,FAT2,EPB41L4B,FERMT1,HSPB1,ACTA2,ARSB,FGF1,HRG,PIK3CA,DLL4,STARD13,THBS1,ANXA3,CDH13,EPHA2,ACTA1,ACTC1,ACTG2,S100P,MCC,SCG2,MMRN2,SYNJ2BP
GO:0090132	epithelium migration	1	1	1	KRIT1,ANLN,BCAR1,FAT2,EPB41L4B,FERMT1,HSPB1,ARSB,FGF1,HRG,PIK3CA,DLL4,STARD13,THBS1,ANXA3,CDH13,EPHA2,S100P,MCC,SCG2,MMRN2,SYNJ2BP
GO:0035150	regulation of tube size	1	1	1	CAV1,SOD2,ACE2,CRP,SOD1,ADCY6,SLC8A1
GO:0051340	regulation of ligase activity	1	1	1	UBE2D1,DCUN1D2,BTRC,BAG5
GO:0042440	pigment metabolic process	0.986	0.986	1	FECH,DCT,BLVRB,TSPO,ATPIF1,PPOX,FXN
GO:1904892	regulation of STAT cascade	1	1	1	PIBF1,ARL2BP,CAV1
GO:1904894	positive regulation of STAT cascade	1	1	1	PIBF1,ARL2BP
GO:0046425	regulation of JAK-STAT cascade	1	1	1	PIBF1,ARL2BP,CAV1
GO:0046427	positive regulation of JAK-STAT cascade	1	1	1	PIBF1,ARL2BP
GO:1902224	ketone body metabolic process	0.000635	0.000635	1	ACAT1,OXCT1,HMGCS2,HMGCLL1,BDH1
GO:0018198	peptidyl-cysteine modification	0.131	0.131	1	SNTA1,NOS1AP,DMD
GO:0043632	modification-dependent macromolecule catabolic process	1	1	1	RNF19A,RNF125,RNF19B,CENPF,DTL,UBR3,RNF145,UBAP1,RNF222
GO:0033002	muscle cell proliferation	0.0731	0.0731	1	CDH13,ADIPOQ
GO:0048659	smooth muscle cell proliferation	0.0338	0.0338	1	CDH13,ADIPOQ
GO:0070482	response to oxygen levels	0.565	0.565	1	DDIT4,BNIP3,RYR1,RYR2
GO:0036293	response to decreased oxygen levels	0.522	0.522	1	DDIT4,BNIP3,RYR1,RYR2
GO:0019184	nonribosomal peptide biosynthetic process	1	1	1	HAGH,MGST2
GO:0017014	protein nitrosylation	0.02	0.02	1	SNTA1,NOS1AP,DMD
GO:0018119	peptidyl-cysteine S-nitrosylation	0.02	0.02	1	SNTA1,NOS1AP,DMD
GO:2000169	regulation of peptidyl-cysteine S-nitrosylation	0.00188	0.00188	1	SNTA1,NOS1AP,DMD
GO:1901678	iron coordination entity transport	0.325	0.325	1	HRG,ABCG2,ABCB7
GO:0001101	response to acid chemical	1	1	1	PDK4,TMEM161A,WNT6,LAMTOR2,CD36,ADCY6,NDUFA13
GO:0032922	circadian regulation of gene expression	1	1	1	NAMPT,NRIP1
GO:0072577	endothelial cell apoptotic process	1	1	1	KRIT1,THBS1,COL4A3,SCG2
GO:0001906	cell killing	1	1	1	PVR,APOL1,FCER2,LYST,AZU1
GO:0031341	regulation of cell killing	1	1	1	PVR,FCER2
GO:0031343	positive regulation of cell killing	1	1	1	PVR,FCER2
GO:1900115	extracellular regulation of signal transduction	1	1	1	FBN1,ADH7
GO:1900116	extracellular negative regulation of signal transduction	1	1	1	FBN1,ADH7
GO:0007610	behavior	0.398	0.398	1	MUSK,CREB3,CUX2,CDH13,MTNR1A
GO:0051705	multi-organism behavior	0.402	0.402	1	UBR3,MTNR1A
GO:0044708	single-organism behavior	1	1	1	MUSK,CUX2
GO:0050795	regulation of behavior	0.754	0.754	1	CREB3,CDH13
GO:0048520	positive regulation of behavior	0.305	0.305	1	CREB3,CDH13
GO:0051339	regulation of lyase activity	1	1	1	PHPT1,RAF1,LHCGR,FXN,GRM7
GO:0051349	positive regulation of lyase activity	1	1	1	LHCGR,FXN
GO:0008213	protein alkylation	1	1	1	SMYD2,CTNNB1,MTHFR,PRMT3
GO:2000983	regulation of ATP citrate synthase activity	0.000365	0.000365	1	PHPT1,GBAS,CHCHD10
GO:0050886	endocrine process	1	1	1	RAB11FIP3,CMA1,CTSZ,ACE2,CPA3,CYP11B2
GO:0070272	proton-transporting ATP synthase complex biogenesis	5.2e-05	5.2e-05	1	ATPAF1,OXA1L,ATPAF2,TMEM70
GO:0006473	protein acetylation	1	1	1	SOX4,MDH2
GO:0060249	anatomical structure homeostasis	1	1	1	SGCZ,SLX4,DMD
GO:0018210	peptidyl-threonine modification	0.187	0.187	1	ACVR1B,DDIT4
GO:0018107	peptidyl-threonine phosphorylation	0.168	0.168	1	ACVR1B,DDIT4
GO:0010800	positive regulation of peptidyl-threonine phosphorylation	1	1	1	PRKAG2,TRIM6,AZU1
GO:0098732	macromolecule deacylation	1	1	1	SIRT5,SIRT3,LYPLAL1,SIRT7
GO:0035601	protein deacylation	1	1	1	SIRT5,SIRT3,LYPLAL1,SIRT7
GO:0006476	protein deacetylation	1	1	1	SIRT3,SIRT7
GO:0097164	ammonium ion metabolic process	0.812	0.812	1	MAOB,AKR1B1,ACHE,CRAT,APOA4,LPCAT3,ACADM,APOA1,APOC1,SLC27A1,DBI,APOA2,PLB1,JMJD7-PLA2G4B,TMLHE,PLA2G2A,MAOA
GO:0018209	peptidyl-serine modification	0.703	0.703	1	HRC,DDIT4,DMD
GO:0072511	divalent inorganic cation transport	0.034	0.034	1	ATP1A2,CAMK2B,CAMK2A,ATP2A3,JPH1,CAV1,CREB3,CASQ2,TRPM6,SEMG1,MRS2,HRC,NOL3,ATP1B1,GSTO1,JPH2,CACNA2D4,HOMER1,JPH3,PACSIN3,LOXHD1,CTNNB1,MMGT1,ATP2A2,NPPA,CAV3,SLC8A1,TRDN,RYR1,ATP2A1,PLN,RYR2,RYR3,NOS1AP,DMD
