Name	Description	pvalue	qvalue	phenotype	genes
GO:0045880	positive regulation of smoothened signaling pathway	0.00826	0.00826	1	SFRP1,IHH,SHH
GO:0003014	renal system process	0.00289	0.00289	1	SLC9A3R1,IGJ,OR51E2,AQP2,SLC4A5,SLC22A6,AQP1,HBB
GO:0055072	iron ion homeostasis	0.0389	0.0389	1	TF,ATP6V1B1,SOD1,ATP6V0D2,ATP6V1G3,BDH2
GO:0072350	tricarboxylic acid metabolic process	0.05	0.05	1	SDHB,ACO1,SUCLG2,IDH2
GO:0006101	citrate metabolic process	0.0304	0.0304	1	SDHB,ACO1,SUCLG2,IDH2
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	0.0241	0.0241	1	PCDHB4,PCDHB3,PCDHB5,CLDN8,CLDN2,UMOD,PCDHB13,PCDHB11
GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	0.000874	0.000874	1	PCDHB4,PCDHB3,PCDHB5,PCDHB13,PCDHB11
GO:1904223	regulation of glucuronosyltransferase activity	0.00559	0.00559	1	UGT1A9,UGT1A8,UGT1A7
GO:1904224	negative regulation of glucuronosyltransferase activity	0.00559	0.00559	1	UGT1A9,UGT1A8,UGT1A7
GO:0015695	organic cation transport	0.00817	0.00817	1	SLC22A2,SLC22A13,SLC22A4,SLC22A5
GO:0055088	lipid homeostasis	0.00649	0.00649	1	ACSM3,ACAD10,ACADL,ACADM,NPC2,ETFA,ACAD8,ACSM2A
GO:0007548	sex differentiation	0.00287	0.00287	1	DMRT3,VEGFA,RBP4,DMRTC2,SOD1,DMRTA2,SHH,DMRT2,DMRTA1
GO:0015889	cobalamin transport	0.0157	0.0157	1	CUBN,AMN
GO:0044266	multicellular organismal macromolecule catabolic process	0.0157	0.0157	1	ENPEP,ACE
GO:0050886	endocrine process	0.048	0.048	1	ENPEP,ACE,ANPEP,OR51E2,MME
GO:0097164	ammonium ion metabolic process	0.00133	0.00133	1	AKR7A2,SNCAIP,DAO,ACADL,ACADM,AMD1,BBOX1,DMGDH,PLA2G4F,SLC22A4,SLC22A5
GO:0019184	nonribosomal peptide biosynthetic process	0.000644	0.000644	1	GGT1,CNDP2,GGT2,BDH2
GO:1902224	ketone body metabolic process	0.000143	0.000143	1	ACAT1,HMGCL,HMGCLL1,BDH2
GO:1901615	organic hydroxy compound metabolic process	8.07e-05	8.07e-05	1	SNCAIP,LRP2,MIOX,PGCP,CUBN,DAO,ACADL,ACADM,PCK1,BBOX1,DDC,DMGDH,RBP4,IMPA2,SOD1,DHRS4,ACAA2,PLA2G4F,PDDC1,SLC22A4,SLC22A5,GK,AMACR
GO:0044282	small molecule catabolic process	1.43e-18	1.43e-18	1	ACAT1,BCKDHB,MIOX,RENBP,QPRT,DAO,ACAD10,AGXT2,PCCB,ACADL,KMO,ACADM,HMGCL,AKR1A1,ALDH6A1,ECHS1,BBOX1,MCCC2,ALDOB,KHK,SUOX,ETFA,IMPA2,PKLR,ACAD8,MMAA,ACMSD,ALDH4A1,BDH2,ALDH7A1,CRYL1,PCCA,PDDC1,HIBCH,HOGA1,AMACR,BCKDHA
GO:0044283	small molecule biosynthetic process	2.12e-05	2.12e-05	1	ACAT1,GGT1,GGTLC2,AGXT2,ACADL,ACADM,HMGCL,PCK1,ATF4,BBOX1,BHMT2,GGT2,ALDOB,RBP4,SOD1,HMGCLL1,ADM,BDH2,PDSS2,ACAA2,GATM,PDDC1,HOGA1,AMACR
GO:0016053	organic acid biosynthetic process	0.0138	0.0138	1	GGT1,GGTLC2,AGXT2,ACADL,ACADM,BBOX1,BHMT2,GGT2,GATM,PDDC1,HOGA1,AMACR
GO:0046394	carboxylic acid biosynthetic process	0.0138	0.0138	1	GGT1,GGTLC2,AGXT2,ACADL,ACADM,BBOX1,BHMT2,GGT2,GATM,PDDC1,HOGA1,AMACR
GO:1901565	organonitrogen compound catabolic process	1.21e-09	1.21e-09	1	ACAT1,BCKDHB,GGT1,QPRT,CTSH,PGCP,NAGLU,DAO,AGXT2,ACADL,KMO,HMGCL,ALDH6A1,BBOX1,MCCC2,ENPEP,SUOX,ACAD8,ACMSD,ALDH4A1,ACE,PDE9A,ALDH7A1,ANPEP,HIBCH,HOGA1,BCKDHA
GO:0043171	peptide catabolic process	5.04e-05	5.04e-05	1	GGT1,CTSH,PGCP,ENPEP,ACE,ANPEP
GO:0009812	flavonoid metabolic process	0.0197	0.0197	1	UGT2A3,UGT1A9,UGT1A8,UGT1A7
GO:0009410	response to xenobiotic stimulus	2.65e-06	2.65e-06	1	FMO1,DPEP1,AKR7A2,ACSM2B,GGT1,CRYZ,AKR1A1,ACY3,CNDP2,GGT2,TPMT,GLYAT,SULT1C2,UGT1A9,UGT1A8,ACY1,UGT1A7
