Name	Description	pvalue	qvalue	phenotype	genes
GO:1903416	response to glycoside	0.00164	0.00164	1	ATP1A2,ATP1A3,ATP1A1
GO:0090611	ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway	1	1	1	VPS4A,CHMP4C
GO:0035726	common myeloid progenitor cell proliferation	0.455	0.455	1	GSTP1,FLT3
GO:0002181	cytoplasmic translation	1	1	1	RPL31,RPL7,RPL36A
GO:0007213	G-protein coupled acetylcholine receptor signaling pathway	1	1	1	GNB1,GNA11,AGRN
GO:0048013	ephrin receptor signaling pathway	1	1	1	AP2S1,NGEF,MMP2,EFNB1,MYH9,MMP9,MYL9,MYH14,EFNB2,ARPC1B,MYH10,MYH11,SDCBP,EPHA2,AP2M1,NCSTN,ARPC2,HRAS,ARPC4,ARPC1A
GO:0009838	abscission	1	1	1	VPS4A,CHMP4C
GO:0002251	organ or tissue specific immune response	0.699	0.699	1	LTF,APOA4,RAB17,PIGR,DEFA1,DEFA3,DEFA1B
GO:0002385	mucosal immune response	0.535	0.535	1	LTF,APOA4,RAB17,PIGR,DEFA1,DEFA3,DEFA1B
GO:0002227	innate immune response in mucosa	0.724	0.724	1	LTF,APOA4
GO:0045056	transcytosis	0.151	0.151	1	FCGRT,RAB17,PIGR
GO:0002414	immunoglobulin transcytosis in epithelial cells	0.00595	0.00595	1	FCGRT,RAB17,PIGR
GO:0038027	apolipoprotein A-I-mediated signaling pathway	0.186	0.186	1	ABCA7,ITGAV,ITGB3
GO:0034367	macromolecular complex remodeling	0.0021	0.0021	1	PLTP,APOA4,APOC3,APOA1,APOE,APOC1,AGT,APOM
GO:0071825	protein-lipid complex subunit organization	0.00224	0.00224	1	ABCA7,PLTP,APOA4,APOC3,APOA1,APOE,APOC1,AGT,MTTP,APOM
GO:0034368	protein-lipid complex remodeling	0.0021	0.0021	1	PLTP,APOA4,APOC3,APOA1,APOE,APOC1,AGT,APOM
GO:0097006	regulation of plasma lipoprotein particle levels	0.0076	0.0076	1	ABCA7,APOB,HMOX1,PLTP,APOA4,APOC3,APOA1,APOE,APOC1,AGT,MTTP,LRPAP1,ADIPOQ,DGAT1,PLA2G2A,APOM,APOC2,CNPY2
GO:0071827	plasma lipoprotein particle organization	0.00129	0.00129	1	ABCA7,PLTP,APOA4,APOC3,APOA1,APOE,APOC1,AGT,MTTP,APOM
GO:0034369	plasma lipoprotein particle remodeling	0.0021	0.0021	1	PLTP,APOA4,APOC3,APOA1,APOE,APOC1,AGT,APOM
GO:0034374	low-density lipoprotein particle remodeling	1	1	1	APOB,AGT,PLA2G2A
GO:0034370	triglyceride-rich lipoprotein particle remodeling	0.0459	0.0459	1	APOA4,APOC3,APOA1,APOE
GO:0034371	chylomicron remodeling	0.257	0.257	1	APOA4,APOC2
GO:0034372	very-low-density lipoprotein particle remodeling	0.0459	0.0459	1	APOA4,APOC3,APOA1,APOE
GO:0010901	regulation of very-low-density lipoprotein particle remodeling	0.102	0.102	1	APOC3,APOA1,APOC2
GO:0034375	high-density lipoprotein particle remodeling	0.000415	0.000415	1	PLTP,APOA4,APOC3,APOA1,APOE,APOC1,APOM
GO:0034381	plasma lipoprotein particle clearance	0.0207	0.0207	1	APOB,HMOX1,APOC3,APOA1,APOE,APOC1,LRPAP1,ADIPOQ,APOM,APOC2
GO:0071830	triglyceride-rich lipoprotein particle clearance	0.0202	0.0202	1	APOC3,APOE,APOC1,APOC2
GO:0034382	chylomicron remnant clearance	0.0202	0.0202	1	APOC3,APOE,APOC1,APOC2
GO:0010984	regulation of lipoprotein particle clearance	0.175	0.175	1	APOC3,APOC1,LRPAP1,APOC2,CNPY2
GO:0010985	negative regulation of lipoprotein particle clearance	0.00752	0.00752	1	APOC3,APOC1,LRPAP1,APOC2
GO:0034384	high-density lipoprotein particle clearance	0.0178	0.0178	1	APOC3,APOA1,APOE,APOM,APOC2
GO:0034447	very-low-density lipoprotein particle clearance	0.0012	0.0012	1	APOC3,APOE,APOC1,LRPAP1,APOC2
GO:0010915	regulation of very-low-density lipoprotein particle clearance	0.00168	0.00168	1	APOC3,APOC1,LRPAP1,APOC2
GO:0010916	negative regulation of very-low-density lipoprotein particle clearance	0.00168	0.00168	1	APOC3,APOC1,LRPAP1,APOC2
GO:0034383	low-density lipoprotein particle clearance	0.61	0.61	1	APOB,HMOX1,APOC3,ADIPOQ,CNPY2
GO:0010988	regulation of low-density lipoprotein particle clearance	1	1	1	APOC3,CNPY2
GO:0065005	protein-lipid complex assembly	0.000507	0.000507	1	ABCA7,APOA4,APOC3,APOA1,APOE,APOC1,MTTP,APOM
GO:0034377	plasma lipoprotein particle assembly	0.000191	0.000191	1	ABCA7,APOA4,APOC3,APOA1,APOE,APOC1,MTTP,APOM
GO:0034379	very-low-density lipoprotein particle assembly	0.0878	0.0878	1	APOB,APOC3,APOC1,DGAT1
GO:0034380	high-density lipoprotein particle assembly	0.00081	0.00081	1	ABCA7,APOA4,APOA1,APOE,APOM
GO:0010903	negative regulation of very-low-density lipoprotein particle remodeling	0.0966	0.0966	1	APOC3,APOA1
GO:0007205	protein kinase C-activating G-protein coupled receptor signaling pathway	1	1	1	PPAP2A,PRKD3,AZU1
GO:0033483	gas homeostasis	0.402	0.402	1	GSTP1,SOD2
GO:0097066	response to thyroid hormone	0.00999	0.00999	1	CTSH,CTSB
GO:0097067	cellular response to thyroid hormone stimulus	0.0082	0.0082	1	CTSH,CTSB
GO:0034389	lipid particle organization	1	1	1	RAB18,FAF2,FITM2
GO:1902947	regulation of tau-protein kinase activity	0.0479	0.0479	1	CLU,APOE
GO:0090077	foam cell differentiation	0.345	0.345	1	MAPK9,APOB,CRP,AGT,ITGAV,PF4,ADIPOQ,PLA2G2A,ITGB3
GO:0010742	macrophage derived foam cell differentiation	0.345	0.345	1	MAPK9,APOB,CRP,AGT,ITGAV,PF4,ADIPOQ,PLA2G2A,ITGB3
GO:0072665	protein localization to vacuole	1	1	1	SH3BP4,VPS25,SNF8,VPS28
GO:0072666	establishment of protein localization to vacuole	1	1	1	VPS25,SNF8,VPS28
GO:0071496	cellular response to external stimulus	0.429	0.429	1	ATF4,AQP1
GO:0019184	nonribosomal peptide biosynthetic process	3.47e-06	3.47e-06	1	GGCT,HAGH,GGT1,GSS,CNDP2,GGT2,BDH2
GO:0051339	regulation of lyase activity	1	1	1	GNAS,PARK7,GRM2,GRM7
GO:0051350	negative regulation of lyase activity	1	1	1	GRM2,GRM7
GO:0051349	positive regulation of lyase activity	1	1	1	GNAS,PARK7
GO:0043094	cellular metabolic compound salvage	0.0042	0.0042	1	GMPR2,GOT1,UCK1,BHMT2,GMPR,BHMT,PDXK,TK2,ADI1,UPP1,PNP
GO:0044266	multicellular organismal macromolecule catabolic process	0.000844	0.000844	1	ENPEP,ACE
GO:0033002	muscle cell proliferation	1	1	1	NOX1,TGFB2,HMOX1,FOXP1,IGFBP5,RBP4,CDH13,SERPINF2,ADIPOQ,APOD,ANG
GO:0014855	striated muscle cell proliferation	1	1	1	TGFB2,RBP4
GO:0048659	smooth muscle cell proliferation	0.932	0.932	1	NOX1,HMOX1,FOXP1,IGFBP5,TPM1,CDH13,SERPINF2,ADIPOQ,APOD,ANG
GO:0048660	regulation of smooth muscle cell proliferation	0.75	0.75	1	NOX1,HMOX1,FOXP1,IGFBP5,TPM1,CDH13,SERPINF2,ADIPOQ,APOD,ANG
GO:0018200	peptidyl-glutamic acid modification	0.698	0.698	1	FOLH1,F9,GGCX,F10,VKORC1,TTLL6,F2,PROS1
GO:1902224	ketone body metabolic process	2.75e-06	2.75e-06	1	ACAT1,HMGCL,HMGCLL1,BDH2
GO:0051095	regulation of helicase activity	1	1	1	CHTOP,IFIT1
GO:0072348	sulfur compound transport	0.085	0.085	1	SLC1A1,SLC9A3R1,SLC6A6,SLC3A1,SLC26A1
GO:0000959	mitochondrial RNA metabolic process	0.215	0.215	1	TRMU,EARS2,DARS2,TFB2M,MRPL12
GO:0018195	peptidyl-arginine modification	1	1	1	PADI2,PRMT1
GO:0042440	pigment metabolic process	1.16e-07	1.16e-07	1	COX15,FECH,BLVRB,HMOX1,AMBP,ATPIF1,PPOX,ALAD,BDH2,SHMT1,UGT1A9,UGT1A1,UGT1A8,UGT1A10,UGT1A7,UGT1A4
GO:0018214	protein carboxylation	0.0853	0.0853	1	F9,GGCX,F10,VKORC1,F2,PROS1
GO:0017187	peptidyl-glutamic acid carboxylation	0.0853	0.0853	1	F9,GGCX,F10,VKORC1,F2,PROS1
GO:0036260	RNA capping	1	1	1	ERCC2,NCBP2,CDK7,GTF2H2,POLR2L,GTF2H4
GO:0009452	7-methylguanosine RNA capping	1	1	1	ERCC2,NCBP2,CDK7,GTF2H2,POLR2L,GTF2H4
