Name	Description	pvalue	qvalue	phenotype	genes
GO:0072531	pyrimidine-containing compound transmembrane transport	0.00627	0.00627	1	AQP9,SLC35A3,SLC19A3
GO:0046968	peptide antigen transport	0.00917	0.00917	1	CD209,CLEC4M
GO:0044406	adhesion of symbiont to host	0.0112	0.0112	1	CD209,CLEC4M,LRRC15
GO:0044650	adhesion of symbiont to host cell	0.00445	0.00445	1	CD209,CLEC4M,LRRC15
GO:0019062	virion attachment to host cell	0.00445	0.00445	1	CD209,CLEC4M,LRRC15
GO:0072593	reactive oxygen species metabolic process	0.0352	0.0352	1	MAOB,EPHX2,ASS1,GLS2,AOX1,TP53,XDH,BCO2,TNF
GO:0070627	ferrous iron import	0.0298	0.0298	1	TFR2,SLC11A2
GO:0046717	acid secretion	0.0296	0.0296	1	ABCB11,SLC38A2,GLS2,CYP4F2,CYP4A11
GO:0009636	response to toxic substance	0.00908	0.00908	1	PON1,MGST1,PON3,EPHX2,MPST,TP53,CES1,TNF
GO:0003071	renal system process involved in regulation of systemic arterial blood pressure	0.0222	0.0222	1	CYP4F2,CYP4F12,CYP4A11
GO:0001977	renal system process involved in regulation of blood volume	0.00627	0.00627	1	CYP4F2,CYP4F12,CYP4A11
GO:0003095	pressure natriuresis	5.76e-05	5.76e-05	1	CYP4F2,CYP4F12,CYP4A11
GO:0009820	alkaloid metabolic process	0.00445	0.00445	1	CYP2D6,NAMPT,CYP1A2
GO:0042493	response to drug	0.0043	0.0043	1	CYP2C9,CYP2C8,CYP1A2,TP53,FBP1,CYP2C19,SLC22A1,CYP2B6,CYP2A6
GO:0017144	drug metabolic process	3.53e-22	3.53e-22	1	FMO4,FMO2,CYP2D6,EPHX2,CYP2E1,FMO5,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP2C19,VKORC1,CYP4F2,CYP4F12,ADH1A,CYP2B6,UGT1A1,CYP2A6
GO:0042737	drug catabolic process	4.91e-09	4.91e-09	1	CYP2D6,CYP2C9,CYP2C8,CYP1A2,CYP2C19,CYP2B6,CYP2A6
GO:0042738	exogenous drug catabolic process	7.2e-08	7.2e-08	1	CYP2C9,CYP2C8,CYP1A2,CYP2C19,CYP2B6,CYP2A6
GO:0015840	urea transport	0.0442	0.0442	1	AQP9,SLC14A2
GO:0015849	organic acid transport	6.69e-11	6.69e-11	1	SLC7A2,SLC25A13,ABCB11,ACACB,SLC27A5,SLC25A1,SLC10A1,SLC25A15,AQP9,SLC6A12,SLCO1B3,SLC38A2,GLS2,BAAT,SLC27A2,SLC13A5,ACSL1,CPT2,SLC16A5,SLC25A20,SLC25A10,CYP4F2,CYP4A11,AKR1C4
GO:0015850	organic hydroxy compound transport	3.52e-05	3.52e-05	1	PON1,ABCB11,ACACB,SLC27A5,SLC10A1,AQP9,SLCO1B3,SCP2,BAAT,CPT2,SLC16A5,SLC22A1,SLC25A20,AKR1C4
GO:0010876	lipid localization	6.72e-07	6.72e-07	1	PON1,ABCB11,ACACB,SLC27A5,SLC10A1,SLCO1B3,SCP2,BAAT,SLC27A2,ACSL1,ABCA6,ABCA10,CPT2,SLC25A20,CYP4F2,CYP4A11,AKR1C4,ATP10A,TNF
