Name	Description	pvalue	qvalue	phenotype	genes
GO:1904019	epithelial cell apoptotic process	1	1	1	ICAM1,ANGPT1,FGG,FGA,FGB,SCG2
GO:1904035	regulation of epithelial cell apoptotic process	1	1	1	ICAM1,ANGPT1,FGG,FGA,FGB,SCG2
GO:0072577	endothelial cell apoptotic process	0.84	0.84	1	ICAM1,ANGPT1,FGG,FGA,FGB,SCG2
GO:2000351	regulation of endothelial cell apoptotic process	0.543	0.543	1	ICAM1,ANGPT1,FGG,FGA,FGB,SCG2
GO:1904036	negative regulation of epithelial cell apoptotic process	0.228	0.228	1	ICAM1,ANGPT1,FGG,FGA,FGB,SCG2
GO:2000352	negative regulation of endothelial cell apoptotic process	0.082	0.082	1	ICAM1,ANGPT1,FGG,FGA,FGB,SCG2
GO:0045454	cell redox homeostasis	0.857	0.857	1	GCLC,TXN2,EGLN2
GO:0038127	ERBB signaling pathway	1	1	1	PHLPP2,AP2S1,PIK3CB,RASGRF1,SPTB,ACTN2,TNRC6C,KIF16B,PSME1,PSME2,MMP9,VIL1,AGT,ERBB2,EGFR,PTPRJ,ANGPT1,GRIN2C,PIGR,SPTA1,PIK3CD,SPTBN2,ERBB4,SPTAN1,ITGA1
GO:0007173	epidermal growth factor receptor signaling pathway	1	1	1	PHLPP2,AP2S1,PIK3CB,RASGRF1,SPTB,ACTN2,TNRC6C,KIF16B,PSME1,PSME2,MMP9,VIL1,AGT,ERBB2,EGFR,PTPRJ,ANGPT1,GRIN2C,PIGR,SPTA1,PIK3CD,SPTBN2,ERBB4,SPTAN1,ITGA1
GO:1901184	regulation of ERBB signaling pathway	1	1	1	AP2S1,MMP9,AGT,EGFR,PTPRJ,ITGA1
GO:0042058	regulation of epidermal growth factor receptor signaling pathway	1	1	1	AP2S1,MMP9,AGT,EGFR,PTPRJ,ITGA1
GO:1901185	negative regulation of ERBB signaling pathway	1	1	1	AP2S1,EGFR,PTPRJ,ITGA1
GO:0042059	negative regulation of epidermal growth factor receptor signaling pathway	1	1	1	AP2S1,EGFR,PTPRJ,ITGA1
GO:1901186	positive regulation of ERBB signaling pathway	1	1	1	MMP9,AGT
GO:0045742	positive regulation of epidermal growth factor receptor signaling pathway	1	1	1	MMP9,AGT
GO:0044872	lipoprotein localization	1	1	1	LRP1,CD36
GO:0042953	lipoprotein transport	1	1	1	LRP1,CD36
GO:0060021	palate development	1	1	1	WNT7A,CHD7
GO:0009651	response to salt stress	0.167	0.167	1	KMO,TNF
GO:0002251	organ or tissue specific immune response	0.0267	0.0267	1	LTF,RAB17,FAU,PIGR,RNASE3,RPL39,DEFA1,DEFA3,DEFA1B
GO:0002385	mucosal immune response	0.0165	0.0165	1	LTF,RAB17,FAU,PIGR,RNASE3,RPL39,DEFA1,DEFA3,DEFA1B
GO:0045056	transcytosis	0.0129	0.0129	1	FCGRT,RAB17,USO1,PIGR
GO:0002414	immunoglobulin transcytosis in epithelial cells	0.00461	0.00461	1	FCGRT,RAB17,PIGR
