Name	Description	pvalue	qvalue	phenotype	genes
GO:0002443	leukocyte mediated immunity	0.000619	0.000619	1	SLC11A1,ICAM1,STX4,CTSH,ANXA3,CD8A,ACE,TNFSF13,AZU1,LAMP1,HLA-DRB1,CD55,EMP2
GO:0032943	mononuclear cell proliferation	0.0343	0.0343	1	SLC11A1,SFTPD,ACE,C1ORF177,HLA-DRB1,CD55,HLA-DPB1,HLA-DPA1,HLA-DMB
GO:0002291	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	0.0427	0.0427	1	ICAM1,HLA-DMB
GO:0050918	positive chemotaxis	0.00229	0.00229	1	ANGPT2,NRP1,SAA2,FGF2,AZU1,SAA1
GO:0048552	regulation of metalloenzyme activity	0.000526	0.000526	1	TIMP3,CAV1,TMBIM1,CIB1
GO:0048554	positive regulation of metalloenzyme activity	0.0427	0.0427	1	CAV1,CIB1
GO:0007492	endoderm development	0.0461	0.0461	1	LAMA3,MMP9,LAMC1,COL8A1,LAMB3
GO:0060541	respiratory system development	0.0461	0.0461	1	ITGA3,CTSH,SFTPD,CCDC39,CHD7
GO:0006954	inflammatory response	0.0208	0.0208	1	NOX1,SLC11A1,APOA1,APOL2,AOC3,APCS,SERPING1,CXCL13,ALOX15,PTX3,AZU1,SAA1,A2M,HLA-DRB1,CD55,ELANE,ORM1
GO:0002526	acute inflammatory response	0.00789	0.00789	1	APOL2,APCS,SERPING1,SAA1,A2M,CD55,ELANE
GO:0043562	cellular response to nitrogen levels	0.0411	0.0411	1	RHAG,RHD,RHCE
GO:0006995	cellular response to nitrogen starvation	0.0411	0.0411	1	RHAG,RHD,RHCE
GO:1904729	regulation of intestinal lipid absorption	0.0427	0.0427	1	APOA1,ABCG8
GO:0030300	regulation of intestinal cholesterol absorption	0.0427	0.0427	1	APOA1,ABCG8
GO:0009790	embryo development	0.0203	0.0203	1	ITGA3,LAMA3,MMP9,HPN,FOLR1,CLIC5,TBX18,APOA1,FLRT3,LAMA5,SCEL,FGF2,COL8A1,CCDC39,CHD7,MYADM,LAMB3
GO:0048598	embryonic morphogenesis	0.00436	0.00436	1	ITGA3,LAMA3,MMP9,HPN,FOLR1,CLIC5,APOA1,FLRT3,FGF2,COL8A1,CCDC39,CHD7,MYADM,LAMB3
GO:0007369	gastrulation	0.0451	0.0451	1	ITGA3,LAMA3,MMP9,APOA1,COL8A1,MYADM,LAMB3
GO:0044058	regulation of digestive system process	0.0275	0.0275	1	APOA1,ABCG8,AQP1
GO:0032102	negative regulation of response to external stimulus	0.0119	0.0119	1	LZTS1,ANGPT2,HRG,APOA1,APCS,FGF2,CXCL13,KRT1,SAA1,TMPRSS6,ELANE
GO:1903035	negative regulation of response to wounding	0.00681	0.00681	1	HRG,APOA1,APCS,FGF2,KRT1,SAA1,TMPRSS6,ELANE
GO:0061045	negative regulation of wound healing	0.0272	0.0272	1	HRG,APCS,FGF2,KRT1,TMPRSS6
GO:0060353	regulation of cell adhesion molecule production	0.0427	0.0427	1	CAV1,APOA1
GO:1900084	regulation of peptidyl-tyrosine autophosphorylation	0.026	0.026	1	CAV1,ACE
GO:1900120	regulation of receptor binding	0.0275	0.0275	1	NRP1,MMP9,ANXA2
GO:0051099	positive regulation of binding	0.0472	0.0472	1	ABL1,NRP1,MMP9,CAV1,CLIC2,TERT
GO:0032092	positive regulation of protein binding	0.0224	0.0224	1	ABL1,NRP1,MMP9,CAV1,TERT
GO:1900122	positive regulation of receptor binding	0.026	0.026	1	NRP1,MMP9
GO:0043903	regulation of symbiosis, encompassing mutualism through parasitism	0.0235	0.0235	1	HPN,CAV2,CAV1,SLPI,APCS,IFITM3,FCN3,PTX3,JUN,IFITM2,SUPT4H1
GO:0048875	chemical homeostasis within a tissue	0.000351	0.000351	1	CTSH,NAPSA,SFTPD
GO:0043129	surfactant homeostasis	0.000351	0.000351	1	CTSH,NAPSA,SFTPD
