Name	Description	pvalue	qvalue	phenotype	genes
GO:0010501	RNA secondary structure unwinding	1	1	1	DDX24,DDX49,DDX25,DDX23
GO:0015695	organic cation transport	0.00223	0.00223	1	RHAG,RHD,RHCE
GO:0048009	insulin-like growth factor receptor signaling pathway	1	1	1	CDH3,CILP,IGFBP6
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	1	1	1	CDH3,CILP,IGFBP6
GO:0017144	drug metabolic process	1	1	1	CYP3A5,FMO5,ADH1A
GO:0038001	paracrine signaling	0.0587	0.0587	1	SERPINB3,CD34
GO:0090520	sphingolipid mediated signaling pathway	0.00848	0.00848	1	S1PR1,S1PR2
GO:0003376	sphingosine-1-phosphate signaling pathway	0.00848	0.00848	1	S1PR1,S1PR2
GO:0000002	mitochondrial genome maintenance	1	1	1	TYMP,MPV17,SLC25A4
GO:0035456	response to interferon-beta	0.00586	0.00586	1	HTRA2,STAT1,BST2,IFITM3,UBE2G2,IFITM2,IFITM1,PLSCR1
GO:0035458	cellular response to interferon-beta	0.804	0.804	1	HTRA2,STAT1,UBE2G2
GO:0097384	cellular lipid biosynthetic process	0.438	0.438	1	AGPS,GNPAT
GO:0018904	ether metabolic process	0.987	0.987	1	AGPS,GNPAT
GO:0006662	glycerol ether metabolic process	0.795	0.795	1	AGPS,GNPAT
GO:1901503	ether biosynthetic process	0.438	0.438	1	AGPS,GNPAT
GO:0046504	glycerol ether biosynthetic process	0.438	0.438	1	AGPS,GNPAT
GO:0046485	ether lipid metabolic process	0.795	0.795	1	AGPS,GNPAT
GO:0008611	ether lipid biosynthetic process	0.438	0.438	1	AGPS,GNPAT
GO:0031647	regulation of protein stability	0.112	0.112	1	LAMP2,ISOC2,SEL1L,NLK,TF,XBP1,FBXO7,STK4,STUB1,PYCARD,CTSH,WFS1,CD81,TSPAN1,STX12,APOA1,CREB1,CLU,NCLN,TRIM21,DSG1,DSC3,COG3,PML,ATP1B1,GNAQ,APOA2,PPAP2B,TERT,HDAC3,CPN2,DPM3,HIST1H1B,LAMP1,FLNA
GO:0050821	protein stabilization	0.47	0.47	1	LAMP2,SEL1L,NLK,STK4,WFS1,TSPAN1,STX12,APOA1,CREB1,CLU,DSG1,DSC3,COG3,PML,ATP1B1,GNAQ,PPAP2B,CPN2,HIST1H1B,LAMP1,FLNA
GO:0031648	protein destabilization	0.677	0.677	1	ISOC2,XBP1,CTSH,NCLN,TRIM21
GO:0019740	nitrogen utilization	4.24e-05	4.24e-05	1	RHAG,RHD,RHCE
GO:0060352	cell adhesion molecule production	0.00515	0.00515	1	CAV1,APOA1,COLEC12
GO:0060353	regulation of cell adhesion molecule production	0.00155	0.00155	1	CAV1,APOA1,COLEC12
GO:0060355	positive regulation of cell adhesion molecule production	0.0286	0.0286	1	CAV1,COLEC12
GO:0009266	response to temperature stimulus	1	1	1	CAMK2B,NUP133,NUP37,HMOX1,RPA3,NUP107,HTRA2,EIF2B2,GMPR,THBS1,SOD1,ACOT11,CD34,TRPV2,ERO1L,AKT1S1,HSBP1
GO:0009408	response to heat	1	1	1	CAMK2B,NUP133,NUP37,MAP2K7,HMOX1,RPA3,NUP107,HTRA2,EIF2B2,THBS1,SOD1,CD34,AKT1S1,HSBP1
GO:0034605	cellular response to heat	1	1	1	CAMK2B,NUP133,NUP37,HMOX1,RPA3,NUP107,HTRA2,THBS1,CD34,AKT1S1,HSBP1
GO:0009409	response to cold	1	1	1	GMPR,ACOT11
GO:1900034	regulation of cellular response to heat	1	1	1	RPA3,CD34
GO:0010657	muscle cell apoptotic process	1	1	1	LRP6,APOH
GO:0034390	smooth muscle cell apoptotic process	0.917	0.917	1	LRP6,APOH
GO:0010660	regulation of muscle cell apoptotic process	1	1	1	LRP6,APOH
GO:0034391	regulation of smooth muscle cell apoptotic process	0.917	0.917	1	LRP6,APOH
GO:0010656	negative regulation of muscle cell apoptotic process	1	1	1	LRP6,APOH
