Name	Description	pvalue	qvalue	phenotype	genes
GO:0010501	RNA secondary structure unwinding	9.62e-10	9.62e-10	1	DDX20,DDX3Y,DDX1,DDX43,DDX18,DDX24,DDX17,DDX50,DDX25,DDX6,DDX59,DDX54,DDX39A,DDX27,DDX31,DDX56,EIF4A3,DDX46,DDX4,EIF4A2,DDX19B,EIF4A1,DDX21,DDX19A,DDX23,DHX36,DDX41,DDX53,DDX51,DDX42,DDX39B,DDX47,DDX3X,DDX52
GO:0007229	integrin-mediated signaling pathway	0.136	0.136	1	CUL3,COL16A1,ITGAV,PRKD1
GO:2001046	positive regulation of integrin-mediated signaling pathway	1	1	1	CD63,FLNA
GO:0051342	regulation of cyclic-nucleotide phosphodiesterase activity	1	1	1	GNAT1,EGLN1,MAPK7
GO:0043094	cellular metabolic compound salvage	0.0513	0.0513	1	CECR1,UPRT,MTAP,GMPR2,DGUOK,AMPD2,GOT1,UCK1,GMPR,UCK2,ENOPH1,APIP,ADK,DCK,PDXK,HPRT1,TK2,ADAL,ADI1,ADA,UCKL1,APRT
GO:0071826	ribonucleoprotein complex subunit organization	1.95e-22	1.95e-22	1	RBM5,LUC7L,STRAP,GEMIN8,SFSWAP,U2AF2,DDX20,SART3,XAB2,DDX1,GEMIN5,RPS5,YTHDC1,MTIF2,RBM22,OGFOD1,RPL6,CIRBP,SF3A1,SNRPD3,TFIP11,RPL3,PRMT5,SRSF5,PRPF6,CRNKL1,PQBP1,RPS19,PRPF31,SETX,EIF3A,C1QBP,LUC7L3,PRPF19,DDX6,CNOT2,SRSF9,HBS1L,BRIX1,USP4,RPL24,NCBP2,SF3B1,WDR77,PRPF3,FASTKD2,MTIF3,RPL5,SRSF6,SNRPC,RPS10,CNOT1,MRPS7,SNRPD2,SNRPB,KLC1,SBDS,LSM4,EIF2S3,PPAN,DHX30,ERAL1,SRPK2,SRSF1,NCBP1,TGS1,RSL24D1,SCAF11,DENR,EFTUD1,TXNL4B,NOL3,RPL3L,GRB7,TXNL4A,RPL13A,RPL11,EIF2D,SNRNP200,POLR2D,SHQ1,LIMD1,ABT1,LUC7L2,RPL10,MRRF,CELF1,CDC123,GEMIN6,SRSF12,ADAR,GFM2,RPS14,SLU7,PHAX,PSIP1,RPL10L,PRPF18,BMS1,PATL1,SNRPD1,TSR1,RPSA,SF1,CDC40,ATXN2L,USP39,CD2BP2,SNUPN,KIF5B,LSM3,SMN1,CLP1,RPL38,PRPF8,DDX23,MRPL11,SART1,RPS27,EDC3,GEMIN4,PLD6,NPM1,MRPS11,SNRPE,VCX,RPS17,DDX28,SF3A3,RPS27L,PRPF39,SRSF10,RRP7A,DYNC1H1,RPL12,RPL23A,DDX39B,SMN2,DDX3X,MCTS1,ISY1,PWP2,MRPL20,LSM14A,RPS10-NUDT3
GO:0061008	hepaticobiliary system development	0.0413	0.0413	1	TGFBR3,PKD2,WNT4,PHF2
GO:0036260	RNA capping	0.000333	0.000333	1	MNAT1,METTL1,POLR2B,POLR2E,POLR2F,RNMT,ERCC2,POLR2I,RNGTT,NCBP2,GTF2F1,CDK7,CCNH,NCBP1,TGS1,POLR2D,GTF2H2,POLR2K,ERCC3,POLR2H,POLR2G,TRMT112,POLR2L,POLR2A,GTF2F2,SUPT5H,GTF2H4
GO:0009452	7-methylguanosine RNA capping	0.000596	0.000596	1	MNAT1,METTL1,POLR2B,POLR2E,POLR2F,RNMT,ERCC2,POLR2I,RNGTT,NCBP2,GTF2F1,CDK7,CCNH,NCBP1,POLR2D,GTF2H2,POLR2K,ERCC3,POLR2H,POLR2G,TRMT112,POLR2L,POLR2A,GTF2F2,SUPT5H,GTF2H4
GO:0070265	necrotic cell death	1	1	1	FAS,CSDA,CYLD,DNM1L,TRADD,PPIF,ALKBH7,TRAF2,RIPK1,RPS27A,UBC,SLC25A4,TMEM123,FADD,UBB,UBA52
GO:0097300	programmed necrotic cell death	1	1	1	FAS,CSDA,CYLD,DNM1L,TRADD,PPIF,ALKBH7,TRAF2,RIPK1,RPS27A,UBC,SLC25A4,FADD,UBB,UBA52
GO:0070266	necroptotic process	1	1	1	FAS,CSDA,RPS27A,UBC,UBB,UBA52
GO:0039703	RNA replication	0.156	0.156	1	ATG16L1,SMARCB1,APOBEC3F,TOP2A,INPP5K,SUPT5H,APOBEC3G,APOBEC3D
GO:1990267	response to transition metal nanoparticle	1	1	1	HFE,TF,SLC11A2,SLC30A3,ACO1,HVCN1,SLC30A6,FXN,ADAM9,BCL2,PRNP,PARK2,CRIP1
GO:0036005	response to macrophage colony-stimulating factor	1	1	1	PDE1B,FER,PTPN2,PDE2A
GO:0036006	cellular response to macrophage colony-stimulating factor stimulus	1	1	1	PDE1B,FER,PTPN2,PDE2A
