Name	Description	pvalue	qvalue	phenotype	genes
GO:0009225	nucleotide-sugar metabolic process	0.000106	0.000106	1	TSTA3,GFPT2,UGGT1,PMM2,GMPPA,GMPPB,GFPT1
GO:0009226	nucleotide-sugar biosynthetic process	7.96e-05	7.96e-05	1	TSTA3,GFPT2,PMM2,GMPPA,GMPPB,GFPT1
GO:0019673	GDP-mannose metabolic process	0.000568	0.000568	1	TSTA3,PMM2,GMPPA,GMPPB
GO:0009298	GDP-mannose biosynthetic process	0.00616	0.00616	1	PMM2,GMPPA,GMPPB
GO:0006413	translational initiation	1.77e-09	1.77e-09	1	RPS5,RPL3,EIF3D,DNAJC3,EIF3J,RPL28,RPL19,RPL34,EIF2B2,RPL23,EIF2S2,RPL36,MRPL35,RPS6,EIF2D,RPS27A,EIF2B5,RPS3A,RPL37,RPL30,RPL8,EIF1AX,GADD45GIP1,RPL35A,EIF4EBP1,RPL37A,MRPL38,RPS29,DDX3X
GO:0043087	regulation of GTPase activity	0.0178	0.0178	1	ARHGEF5,ARHGEF10L,SGSM3,HERC1,RASA4,TBC1D30,RTKN,ERRFI1,EIF2B2,CDC42EP1,SNX9,ARHGEF16,EIF2B5,RASA4B,EPS8L2,JUN,FGD6,SCRIB,SIPA1L1,RGL2,CCL14
GO:0043547	positive regulation of GTPase activity	0.0277	0.0277	1	ARHGEF10L,SGSM3,HERC1,RASA4,TBC1D30,ERRFI1,EIF2B2,CDC42EP1,SNX9,ARHGEF16,EIF2B5,RASA4B,EPS8L2,JUN,FGD6,SCRIB,SIPA1L1,RGL2,CCL14
GO:1902532	negative regulation of intracellular signal transduction	0.023	0.023	1	DCN,WWC3,PHLPP1,TRIP6,XBP1,RASA4,ASPN,CDK5RAP3,RGS4,PODNL1,SFRP2,HYOU1,SPRY1,RASA4B,PTEN,DAG1,PODN,BGN,CIB1,DDX3X,INS
GO:0043062	extracellular structure organization	7.17e-05	7.17e-05	1	DCN,PHLDB1,TIMP2,CDH1,COL11A1,FAP,MMP2,LAMB1,TGFBR1,LOX,TTR,COL10A1,COL5A1,COL8A1,ADAMTS4,COL3A1,CTRB1,CTRB2,COL8A2,DAG1,BGN,COL4A5,PRSS1,MMP12,PRSS2
GO:0030198	extracellular matrix organization	6.77e-05	6.77e-05	1	DCN,PHLDB1,TIMP2,CDH1,COL11A1,FAP,MMP2,LAMB1,TGFBR1,LOX,TTR,COL10A1,COL5A1,COL8A1,ADAMTS4,COL3A1,CTRB1,CTRB2,COL8A2,DAG1,BGN,COL4A5,PRSS1,MMP12,PRSS2
GO:0022617	extracellular matrix disassembly	6.39e-08	6.39e-08	1	DCN,TIMP2,CDH1,COL11A1,FAP,MMP2,LAMB1,COL10A1,COL5A1,COL8A1,ADAMTS4,COL3A1,CTRB1,CTRB2,COL8A2,COL4A5,PRSS1,MMP12,PRSS2
GO:0006418	tRNA aminoacylation for protein translation	0.0368	0.0368	1	TARS,LARS,NARS,EPRS,QARS,VARS
GO:0035966	response to topologically incorrect protein	5.95e-06	5.95e-06	1	SEC62,SEC63,SEC61A2,ASNS,C19ORF10,DERL3,XBP1,DNAJC3,TBL2,SEC61B,CDK5RAP3,SDF2L1,SEC31A,HYOU1,LMNA,BHLHA15,SRPR,GFPT1
GO:0006986	response to unfolded protein	1.88e-06	1.88e-06	1	SEC62,SEC63,SEC61A2,ASNS,C19ORF10,DERL3,XBP1,DNAJC3,TBL2,SEC61B,CDK5RAP3,SDF2L1,SEC31A,HYOU1,LMNA,BHLHA15,SRPR,GFPT1
GO:0035967	cellular response to topologically incorrect protein	2.8e-07	2.8e-07	1	SEC62,SEC63,SEC61A2,ASNS,C19ORF10,DERL3,XBP1,DNAJC3,TBL2,SEC61B,CDK5RAP3,SDF2L1,SEC31A,HYOU1,LMNA,BHLHA15,SRPR,GFPT1
GO:0034620	cellular response to unfolded protein	8.33e-08	8.33e-08	1	SEC62,SEC63,SEC61A2,ASNS,C19ORF10,DERL3,XBP1,DNAJC3,TBL2,SEC61B,CDK5RAP3,SDF2L1,SEC31A,HYOU1,LMNA,BHLHA15,SRPR,GFPT1
GO:0034976	response to endoplasmic reticulum stress	3.9e-09	3.9e-09	1	SEC62,SEC63,SEC61A2,ASNS,SEL1L,C19ORF10,DERL3,XBP1,DNAJC3,TBL2,SEC61B,CDK5RAP3,TRIM25,SDF2L1,OS9,FAM129A,SEC31A,ERP27,EIF2B5,HYOU1,PDIA4,LMNA,JUN,BHLHA15,SRPR,PDIA2,GFPT1
GO:0030968	endoplasmic reticulum unfolded protein response	5.41e-08	5.41e-08	1	SEC62,SEC63,SEC61A2,ASNS,C19ORF10,DERL3,XBP1,DNAJC3,TBL2,SEC61B,CDK5RAP3,SDF2L1,SEC31A,HYOU1,LMNA,BHLHA15,SRPR,GFPT1
GO:0036498	IRE1-mediated unfolded protein response	6.96e-06	6.96e-06	1	SEC62,SEC63,SEC61A2,C19ORF10,XBP1,DNAJC3,SEC61B,SEC31A,HYOU1,LMNA,SRPR,GFPT1
GO:0070972	protein localization to endoplasmic reticulum	2.32e-15	2.32e-15	1	SEC62,SEC63,RPS5,RPL3,SRP54,SEC61B,RPL28,RPL19,RPL34,SPCS2,RPL23,RPL36,OS9,RPS6,RPS27A,RPS3A,RPL37,RPL30,RPL8,SEC11C,SRP68,SRP72,RPL35A,SRPR,PDIA2,RPL37A,RPS29
GO:0072599	establishment of protein localization to endoplasmic reticulum	1.56e-14	1.56e-14	1	SEC62,SEC63,RPS5,RPL3,SRP54,SEC61B,RPL28,RPL19,RPL34,SPCS2,RPL23,RPL36,RPS6,RPS27A,RPS3A,RPL37,RPL30,RPL8,SEC11C,SRP68,SRP72,RPL35A,SRPR,RPL37A,RPS29
GO:0045047	protein targeting to ER	6.38e-15	6.38e-15	1	SEC62,SEC63,RPS5,RPL3,SRP54,SEC61B,RPL28,RPL19,RPL34,SPCS2,RPL23,RPL36,RPS6,RPS27A,RPS3A,RPL37,RPL30,RPL8,SEC11C,SRP68,SRP72,RPL35A,SRPR,RPL37A,RPS29
GO:0072657	protein localization to membrane	2.89e-07	2.89e-07	1	SEC62,SEC63,CDH1,RPS5,RPL3,SRP54,ARFRP1,ATG4A,SEC61B,RPL28,RPL19,CPE,RPL34,SPCS2,RPL23,RPL36,CRB3,ARHGEF16,RPS6,RPS27A,GOLGA4,RPS3A,RPL37,RPL30,RPL8,SEC11C,SRP68,SRP72,RPL35A,SRPR,PKP3,CIB1,RPL37A,RPS29
GO:0090150	establishment of protein localization to membrane	7.59e-09	7.59e-09	1	SEC62,SEC63,CDH1,RPS5,RPL3,SRP54,ARFRP1,ATG4A,SEC61B,RPL28,RPL19,RPL34,SPCS2,RPL23,RPL36,ARHGEF16,RPS6,RPS27A,GOLGA4,RPS3A,RPL37,RPL30,RPL8,SEC11C,SRP68,SRP72,RPL35A,SRPR,PKP3,CIB1,RPL37A,RPS29
GO:0006612	protein targeting to membrane	1.35e-11	1.35e-11	1	SEC62,SEC63,RPS5,RPL3,SRP54,ATG4A,SEC61B,RPL28,RPL19,RPL34,SPCS2,RPL23,RPL36,RPS6,RPS27A,RPS3A,RPL37,RPL30,RPL8,SEC11C,SRP68,SRP72,RPL35A,SRPR,CIB1,RPL37A,RPS29
GO:0006613	cotranslational protein targeting to membrane	6.38e-15	6.38e-15	1	SEC62,SEC63,RPS5,RPL3,SRP54,SEC61B,RPL28,RPL19,RPL34,SPCS2,RPL23,RPL36,RPS6,RPS27A,RPS3A,RPL37,RPL30,RPL8,SEC11C,SRP68,SRP72,RPL35A,SRPR,RPL37A,RPS29
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	3.58e-14	3.58e-14	1	SEC63,RPS5,RPL3,SRP54,SEC61B,RPL28,RPL19,RPL34,SPCS2,RPL23,RPL36,RPS6,RPS27A,RPS3A,RPL37,RPL30,RPL8,SEC11C,SRP68,SRP72,RPL35A,SRPR,RPL37A,RPS29
GO:0071680	response to indole-3-methanol	0.00616	0.00616	1	CDH1,CTNNA1,CTNNB1
GO:0071681	cellular response to indole-3-methanol	0.00616	0.00616	1	CDH1,CTNNA1,CTNNB1
GO:0045683	negative regulation of epidermis development	0.0477	0.0477	1	GRHL2,REG3G,REG3A
