Name	Description	pvalue	qvalue	phenotype	genes
GO:0070849	response to epidermal growth factor	0.284	0.284	1	TPR,SOX9,MED1,VIL1,DAB2IP,IQGAP1,EGFR,EEF1A1,STAT5B
GO:0071364	cellular response to epidermal growth factor stimulus	0.242	0.242	1	SOX9,MED1,VIL1,DAB2IP,IQGAP1,EGFR,EEF1A1,STAT5B
GO:0007271	synaptic transmission, cholinergic	1	1	1	CHRNA4,CHRM3
GO:0048012	hepatocyte growth factor receptor signaling pathway	0.00384	0.00384	1	BCAR1,SIRT2,NRP1,MET,PTPN2,PTPN1
GO:1902202	regulation of hepatocyte growth factor receptor signaling pathway	0.483	0.483	1	PTPN2,PTPN1
GO:0070816	phosphorylation of RNA polymerase II C-terminal domain	0.2	0.2	1	CDK13,CCNT2,CCNK,CCNT1,CCNH,BRD4,CCNL1,GTF2H4
GO:1901407	regulation of phosphorylation of RNA polymerase II C-terminal domain	0.23	0.23	1	CCNT2,CCNK,CCNT1,CCNH,BRD4,CCNL1
GO:1901409	positive regulation of phosphorylation of RNA polymerase II C-terminal domain	0.488	0.488	1	CCNT2,CCNK,CCNT1,CCNH,CCNL1
GO:0089700	protein kinase D signaling	1	1	1	PRKD2,PRKD1
GO:1903830	magnesium ion transmembrane transport	0.596	0.596	1	MAGT1,MMGT1,ZDHHC13,ZDHHC17
GO:0055094	response to lipoprotein particle	0.686	0.686	1	CD81,CD36,ITGB1,ADAM17,FCER1G,ITGB2,SYK
GO:0055098	response to low-density lipoprotein particle	1	1	1	CD81,CD36,ITGB1,FCER1G,ITGB2,SYK
GO:0071402	cellular response to lipoprotein particle stimulus	0.209	0.209	1	CD81,CD36,ITGB1,FCER1G,ITGB2,SYK
GO:0071404	cellular response to low-density lipoprotein particle stimulus	0.209	0.209	1	CD81,CD36,ITGB1,FCER1G,ITGB2,SYK
GO:0042789	mRNA transcription from RNA polymerase II promoter	1	1	1	MED1,ZBTB1,ARNT,C5AR1
GO:0015669	gas transport	1	1	1	IPCEF1,CYGB,AQP1
GO:0015671	oxygen transport	1	1	1	IPCEF1,CYGB
GO:0007205	protein kinase C-activating G-protein coupled receptor signaling pathway	1	1	1	PICK1,PARD3
GO:0034497	protein localization to pre-autophagosomal structure	0.0441	0.0441	1	WIPI1,STX17,TRAPPC8,WIPI2,ATG13,PACS2,WDR45,ATG9A
GO:0097264	self proteolysis	0.459	0.459	1	CAPN7,TMPRSS6
GO:0051767	nitric-oxide synthase biosynthetic process	0.8	0.8	1	GSTP1,JAK2,NAMPT,KDR,TLR2
GO:0051769	regulation of nitric-oxide synthase biosynthetic process	0.8	0.8	1	GSTP1,JAK2,NAMPT,KDR,TLR2
