Name	Description	pvalue	qvalue	phenotype	genes
GO:0006026	aminoglycan catabolic process	0.05	0.05	1	SLC9A1,SDC1,CHIT1,HSPG2,CSPG4,BGN,PRELP
GO:0048729	tissue morphogenesis	0.0243	0.0243	1	ITGA3,VCL,MYLK,MPP5,ITGA8,ACTA2,ACTA1,PHLDB2,SLIT2,GSN,ITGB1,ADAM17,ACTC1,ITGA5,ACTG2,ATP7A,NKX3-1,CTNNBIP1
GO:0006029	proteoglycan metabolic process	0.0097	0.0097	1	SDC1,CHST8,CHSY1,HSPG2,CSGALNACT1,CANT1,CSPG4,BGN,HS6ST3
GO:0030166	proteoglycan biosynthetic process	0.0108	0.0108	1	CHST8,CHSY1,CSGALNACT1,CANT1,CSPG4,BGN,HS6ST3
GO:0030029	actin filament-based process	0.00292	0.00292	1	MYOC,EPHA3,COBLL1,SLC9A1,SORBS1,TRIOBP,KANK1,SORBS3,ARFIP2,TMOD1,ACTA1,PHLDB2,SLIT2,BIN3,GSN,ACTC1,CDC42EP3,LMOD1,SHROOM1,CORO1B,SSH3,DES,PAWR,MYOZ1,OR2A4,PRKG1,S100A10,TPM2,DMD
GO:0030036	actin cytoskeleton organization	0.00232	0.00232	1	MYOC,EPHA3,COBLL1,SLC9A1,SORBS1,TRIOBP,KANK1,SORBS3,ARFIP2,TMOD1,ACTA1,PHLDB2,SLIT2,BIN3,GSN,ACTC1,CDC42EP3,LMOD1,SHROOM1,CORO1B,SSH3,PAWR,MYOZ1,OR2A4,PRKG1,S100A10
GO:0031032	actomyosin structure organization	0.00649	0.00649	1	MYOC,SLC9A1,SORBS1,SORBS3,TMOD1,ACTA1,PHLDB2,ACTC1,LMOD1,MYOZ1,S100A10
GO:0032956	regulation of actin cytoskeleton organization	0.0142	0.0142	1	MYOC,EPHA3,SLC9A1,TRIOBP,KANK1,SORBS3,ARFIP2,PHLDB2,SLIT2,GSN,CDC42EP3,CORO1B,SSH3,OR2A4,S100A10
GO:0007015	actin filament organization	3.06e-05	3.06e-05	1	MYOC,COBLL1,SLC9A1,SORBS1,TRIOBP,KANK1,SORBS3,ARFIP2,TMOD1,ACTA1,PHLDB2,SLIT2,BIN3,GSN,ACTC1,CDC42EP3,LMOD1,SHROOM1,CORO1B,SSH3,PAWR,S100A10
GO:0061572	actin filament bundle organization	0.0376	0.0376	1	MYOC,SLC9A1,SORBS1,SORBS3,PHLDB2,SHROOM1,CORO1B,PAWR,S100A10
