Name	Description	pvalue	qvalue	phenotype	genes
GO:0097264	self proteolysis	0.101	0.101	1	CAPN3,CAPN7,TMPRSS6
GO:0031163	metallo-sulfur cluster assembly	1	1	1	NARFL,FXN
GO:0016226	iron-sulfur cluster assembly	1	1	1	NARFL,FXN
GO:0038065	collagen-activated signaling pathway	0.0786	0.0786	1	DDR2,ITGA2,DDR1
GO:0015949	nucleobase-containing small molecule interconversion	0.742	0.742	1	CTPS2,NME4,GSR,TXN,AK7,GUK1,GLRX,TXNRD1
GO:0034349	glial cell apoptotic process	0.0833	0.0833	1	PRKCA,PRKCD,GAS6
GO:0034350	regulation of glial cell apoptotic process	0.0382	0.0382	1	PRKCA,PRKCD,GAS6
GO:0034351	negative regulation of glial cell apoptotic process	0.0382	0.0382	1	PRKCA,PRKCD,GAS6
GO:0070849	response to epidermal growth factor	1	1	1	MAPK3,VIL1,DAB2IP,IQGAP1,EGFR,STAT5B
GO:0071364	cellular response to epidermal growth factor stimulus	1	1	1	VIL1,DAB2IP,IQGAP1,EGFR,STAT5B
GO:0007185	transmembrane receptor protein tyrosine phosphatase signaling pathway	0.00415	0.00415	1	TRIO,PTPRU,PTN,PTPRF,PTPRD
GO:0070493	thrombin receptor signaling pathway	1	1	1	IQGAP2,HPGD
GO:0009838	abscission	0.468	0.468	1	SPG20,CHMP4C
GO:0070671	response to interleukin-12	0.367	0.367	1	JAK2,PLCB1
GO:0071349	cellular response to interleukin-12	0.367	0.367	1	JAK2,PLCB1
GO:0035722	interleukin-12-mediated signaling pathway	0.367	0.367	1	JAK2,PLCB1
GO:0000255	allantoin metabolic process	0.496	0.496	1	STAT5A,STAT5B
GO:0089700	protein kinase D signaling	0.873	0.873	1	PRKD2,PRKD1
GO:0051775	response to redox state	1	1	1	ADH5,RYR2
GO:0006797	polyphosphate metabolic process	0.587	0.587	1	PRUNE2,MINPP1
GO:0051767	nitric-oxide synthase biosynthetic process	0.381	0.381	1	FCER2,NAMPT,TLR2
GO:0051769	regulation of nitric-oxide synthase biosynthetic process	0.381	0.381	1	FCER2,NAMPT,TLR2
GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	0.176	0.176	1	FCER2,NAMPT,TLR2
GO:0036119	response to platelet-derived growth factor	0.227	0.227	1	PDGFRB,FER,CORO1B
GO:0055094	response to lipoprotein particle	0.0111	0.0111	1	CD9,CD81,CDH13,ITGB1,ADAM17,SYK
GO:0055098	response to low-density lipoprotein particle	0.0439	0.0439	1	CD9,CD81,CDH13,ITGB1,SYK
GO:0071402	cellular response to lipoprotein particle stimulus	0.00739	0.00739	1	CD9,CD81,CDH13,ITGB1,ITGB2,SYK
GO:0071404	cellular response to low-density lipoprotein particle stimulus	0.00739	0.00739	1	CD9,CD81,CDH13,ITGB1,ITGB2,SYK
GO:0009299	mRNA transcription	1	1	1	SRF,ZBTB1,C5AR1
GO:0042789	mRNA transcription from RNA polymerase II promoter	0.513	0.513	1	SRF,ZBTB1,C5AR1
GO:0070670	response to interleukin-4	1	1	1	STAT6,SHPK
GO:0071353	cellular response to interleukin-4	1	1	1	STAT6,SHPK
GO:0090611	ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway	0.0663	0.0663	1	CHMP4B,VPS4B,CHMP4C,PDCD6IP
GO:0002931	response to ischemia	1	1	1	CAMK2A,FAM175B,CIB1
GO:0010248	establishment or maintenance of transmembrane electrochemical gradient	1	1	1	ATP1A2,ATP1B3,ATP1A3,ATP1B2
GO:1902414	protein localization to cell junction	0.0298	0.0298	1	DSP,MPP7,SCRIB
GO:0071896	protein localization to adherens junction	0.00817	0.00817	1	DSP,MPP7,SCRIB
GO:0018149	peptide cross-linking	1	1	1	FN1,EVPL
GO:0007213	G-protein coupled acetylcholine receptor signaling pathway	0.554	0.554	1	GNA11,GNAQ,ADRBK1,PLCB1,AGRN
GO:0008045	motor neuron axon guidance	0.0213	0.0213	1	PLXNA2,PLXNA1,EPHA4,CHN1,PLXNA3,SLIT2,SLIT1,PLXNA4
GO:0021785	branchiomotor neuron axon guidance	0.164	0.164	1	PLXNA2,PLXNA1,PLXNA3,PLXNA4
GO:0033483	gas homeostasis	0.61	0.61	1	NARFL,CAV1,SOD2,EGLN1
GO:0032364	oxygen homeostasis	0.898	0.898	1	NARFL,SOD2,EGLN1
GO:0035418	protein localization to synapse	0.948	0.948	1	DLG3,DLG4,DLG2
GO:0097120	receptor localization to synapse	0.305	0.305	1	DLG3,DLG4,DLG2
GO:0007205	protein kinase C-activating G-protein coupled receptor signaling pathway	0.248	0.248	1	PPAP2A,PICK1,PARD3,AZU1
GO:0045116	protein neddylation	0.983	0.983	1	NEDD8,UBE2M,DCUN1D5,NAE1,UBE2F
GO:0097503	sialylation	1	1	1	ST6GALNAC2,ST6GAL1
GO:0097066	response to thyroid hormone	0.645	0.645	1	CTSH,HPN,CTSB
GO:0097067	cellular response to thyroid hormone stimulus	1	1	1	CTSH,CTSB
GO:0061635	regulation of protein complex stability	0.11	0.11	1	ATG14,SNF8,SQSTM1,TAPBP
GO:0099612	protein localization to axon	1	1	1	EPB41L3,CNTN2
GO:0071205	protein localization to juxtaparanode region of axon	0.823	0.823	1	EPB41L3,CNTN2
GO:0060352	cell adhesion molecule production	0.251	0.251	1	CAV1,GOLPH3,APOA1,FLOT1
GO:0060353	regulation of cell adhesion molecule production	0.399	0.399	1	CAV1,APOA1,FLOT1
GO:0060355	positive regulation of cell adhesion molecule production	0.339	0.339	1	CAV1,FLOT1
GO:0042493	response to drug	0.1	0.1	1	SEMA3C,ATP8B1,ABCC1,NKX3-1
GO:0035690	cellular response to drug	0.0261	0.0261	1	DPEP1,MEF2C,PPM1F,PPP3CB,GPLD1,PPP3CA,FBP1,NKX3-1,PPM1E,ADIPOQ,GAS6,PDE4B,PDE2A
GO:0017144	drug metabolic process	1	1	1	DPEP1,NT5C2,NOS1,FMO2,EPHX2,PCK1,GUK1,CBR1,ADH1A
GO:0015893	drug transport	0.18	0.18	1	ATP8B1,SLC22A3
GO:0006855	drug transmembrane transport	0.0967	0.0967	1	ATP8B1,SLC22A3
GO:0030091	protein repair	0.0815	0.0815	1	PCMT1,MSRB2,MSRB3
GO:0042769	DNA damage response, detection of DNA damage	1	1	1	RFC2,MRPS35,RAD18,UBC,UBB
GO:0038001	paracrine signaling	0.229	0.229	1	SERPINB3,CD34
GO:0001539	cilium or flagellum-dependent cell motility	0.963	0.963	1	CCDC39,DNAH3
GO:0051090	regulation of sequence-specific DNA binding transcription factor activity	8.83e-06	8.83e-06	1	DVL2,LTF,ARHGEF5,MAPK9,PRKCQ,SP100,LRP6,CAMK2A,MAP3K13,NFKB2,PIAS2,KEAP1,ERC1,MAVS,CAPN3,SIRT1,TAB1,RPS6KA5,NFKBIA,PSMD10,MAPK3,SGK3,RIPK2,STK3,NFKBIB,CRTC1,MTPN,WNT2,TAX1BP1,MAPK8,SUFU,NFKB1,MAPK10,WFS1,TRIM38,SRF,ERBB2IP,DAP,WNT5A,ATF2,SUMO1,ARHGEF2,SGK1,TRIM32,CLU,TRIM25,PTGIS,RBCK1,TRAF2,FOXA1,MAP3K10,TRIM21,TRIM22,MAP3K7,AGT,RIPK1,TLR2,CYP1B1,ANXA3,RB1,CRTC3,CARD14,AKT1,PEX14,S100A8,EPHA5,ARID5B,FER,LRP8,TAB3,PRMT2,PPAP2B,DDR2,S100A9,S100A12,RNF25,PRKCI,FZD6,SYK,BTRC,PRKCB,PKHD1,PTEN,PRNP,MALT1,RELA,JUP,BRMS1,CTNNBIP1,PARP10,CAMK1D,GAS6,PRKD1,CIB1,SIGIRR,PBX1,CHP,COMMD6,ZNF431,FLNA,ANXA4,ZNF675,DDRGK1,AGER,HSPA1B,HSPA1A,TRIM27,TRIM26,TRIM34,IKBKG
GO:0051091	positive regulation of sequence-specific DNA binding transcription factor activity	1.07e-05	1.07e-05	1	DVL2,LTF,ARHGEF5,SP100,MAP3K13,NFKB2,ERC1,MAVS,CAPN3,NFKBIA,RIPK2,STK3,MTPN,WNT2,NFKB1,TRIM38,SRF,WNT5A,CLU,TRIM25,RBCK1,TRAF2,FOXA1,TRIM22,MAP3K7,RIPK1,TLR2,ANXA3,CRTC3,CARD14,AKT1,S100A8,EPHA5,ARID5B,FER,LRP8,TAB3,PPAP2B,DDR2,S100A9,S100A12,RNF25,PRKCI,PRKCB,RELA,JUP,CAMK1D,PRKD1,CIB1,AGER,HSPA1B,HSPA1A,TRIM27,TRIM26,TRIM34,IKBKG
GO:0051092	positive regulation of NF-kappaB transcription factor activity	0.000175	0.000175	1	LTF,PRKCH,TAB2,PRKCQ,CAMK2A,MAP3K13,NFKB2,ERC1,CAPN3,TAB1,RPS6KA5,NFKBIA,TRADD,RIPK2,NFKBIB,PRKD2,MTPN,NFKB1,TRIM38,WNT5A,ARHGEF2,TRIM32,CLU,TRIM25,RBCK1,TRAF2,TRIM5,TRIM22,MAP3K7,AGT,RIPK1,TLR2,CARD14,S100A8,UBC,FER,TAB3,RPS6KA4,S100A9,S100A12,RNF25,PRKCI,PRKCB,UBB,MALT1,RELA,PRKD1,CIB1,DDRGK1,AGER,HSPA1B,HSPA1A,IKBKG
GO:0032793	positive regulation of CREB transcription factor activity	0.0169	0.0169	1	RPS6KA5,PRKD2,CRTC1,CRTC3,EPHA5,LRP8,RPS6KA4,CAMK1D,PRKD1
GO:0043433	negative regulation of sequence-specific DNA binding transcription factor activity	0.235	0.235	1	SP100,PIAS2,KEAP1,SIRT1,NFKBIA,PSMD10,TAX1BP1,SUFU,WFS1,ERBB2IP,DAP,SUMO1,PTGIS,RBCK1,MAP3K10,TRIM21,CYP1B1,RB1,PEX14,PRMT2,FZD6,BTRC,PKHD1,PRNP,BRMS1,CTNNBIP1,PARP10,GAS6,SIGIRR,PBX1,CHP,COMMD6,ZNF431,FLNA,ANXA4,ZNF675
GO:0036015	response to interleukin-3	0.455	0.455	1	GSK3B,GSK3A,MT2A
GO:0036016	cellular response to interleukin-3	0.455	0.455	1	GSK3B,GSK3A,MT2A
GO:0048009	insulin-like growth factor receptor signaling pathway	0.00384	0.00384	1	CDH3,IGFBP2,IGFBP5,CILP,IGF1R,IGFBP4,AKT1,NKX3-1,IGFBP6,IRS1
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	0.0085	0.0085	1	CDH3,IGFBP2,IGFBP5,CILP,IGFBP4,NKX3-1
GO:0043569	negative regulation of insulin-like growth factor receptor signaling pathway	0.0245	0.0245	1	IGFBP5,CILP,NKX3-1
GO:0007398	ectoderm development	0.0668	0.0668	1	ITGA6,STX2,ITGAM,KRT6B,SMURF1
GO:0010668	ectodermal cell differentiation	0.185	0.185	1	ITGA6,ITGAM
GO:0048552	regulation of metalloenzyme activity	0.000887	0.000887	1	TIMP2,TIMP3,TIMP1,CAV1,FXN,ATP7A,CIB1
GO:0048553	negative regulation of metalloenzyme activity	0.0166	0.0166	1	TIMP2,TIMP1,ATP7A
GO:0048554	positive regulation of metalloenzyme activity	0.00785	0.00785	1	CAV1,FXN,ATP7A,CIB1
GO:0006975	DNA damage induced protein phosphorylation	0.223	0.223	1	MAPK3,MAP2K6,ATM,MAPK12
GO:0038027	apolipoprotein A-I-mediated signaling pathway	0.408	0.408	1	ITGAV,ITGB3
GO:0071679	commissural neuron axon guidance	0.995	0.995	1	NRP1,NFIB
GO:0098780	response to mitochondrial depolarisation	0.859	0.859	1	MYLK,PFKP,LMCD1,NEFM,ATG14,ATPIF1,MYH11,HAPLN1,SLC22A3,PEX13,KRT15,SLC35C1,PRKG1,KRT73,SMURF1,KRT6A,SERPINB10
GO:0033002	muscle cell proliferation	0.0697	0.0697	1	TGFBR3,MEF2C,OGN,IGFBP5,MFN2,RBP4,FGF2,TPM1,CDH13,PTGIR,SERPINF2,ERBB4,ADIPOQ,APOD,ELANE,ANG
GO:0014855	striated muscle cell proliferation	0.817	0.817	1	TGFBR3,MEF2C,RBP4,FGF2,ERBB4
GO:0048659	smooth muscle cell proliferation	0.13	0.13	1	OGN,PDGFRB,IGFBP5,MFN2,TPM1,CDH13,PTGIR,SERPINF2,ADIPOQ,APOD,ELANE,ANG
GO:0048660	regulation of smooth muscle cell proliferation	0.0913	0.0913	1	OGN,PDGFRB,IGFBP5,MFN2,TPM1,CDH13,PTGIR,SERPINF2,ADIPOQ,APOD,ELANE,ANG
GO:1902224	ketone body metabolic process	1	1	1	OXCT1,HMGCS2,BDH2
GO:0000959	mitochondrial RNA metabolic process	1	1	1	TRMU,PNPT1,TRMT61B,FASTKD5
GO:0036260	RNA capping	1	1	1	MNAT1,POLR2E,POLR2F,GTF2H1,CCNH,POLR2D,POLR2K,ERCC3
GO:0009452	7-methylguanosine RNA capping	1	1	1	MNAT1,POLR2E,POLR2F,GTF2H1,CCNH,POLR2D,POLR2K,ERCC3
GO:0051095	regulation of helicase activity	1	1	1	SIRT1,CHTOP
GO:0043094	cellular metabolic compound salvage	0.114	0.114	1	TYMP,MRI1,MTAP,GMPR2,AMPD2,UCK1,AMPD3,GMPR,APIP,CDA,TK2,ADI1,UPP1,ADA,UCKL1
GO:0018200	peptidyl-glutamic acid modification	0.0318	0.0318	1	F7,FOLH1,F9,FURIN,F2,GAS6
GO:0098732	macromolecule deacylation	1	1	1	LYPLA2,KDM5A,BRMS1L,MAPK8,CAMK2D
GO:0072665	protein localization to vacuole	0.00357	0.00357	1	ZFYVE16,NEDD4,SH3GLB1,SNX16,CD81,BECN1,GCC2,VPS36,SORL1,SCARB2,TRAPPC8,SNF8,VPS28,HGS,PIK3R4,SMURF1
GO:0061462	protein localization to lysosome	0.175	0.175	1	ZFYVE16,NEDD4,SNX16,CD81,GCC2,SORL1,SCARB2,HGS
GO:0008214	protein dealkylation	1	1	1	KDM3A,KDM5B,PHF8,KDM2A,PHF2,PPME1
GO:0043574	peroxisomal transport	0.572	0.572	1	LONP2,PEX12,PEX5,PEX14,PEX13
GO:0042440	pigment metabolic process	1	1	1	CDH3,AMBP,UROS
GO:0046149	pigment catabolic process	1	1	1	BLVRB,BLVRA,AMBP
GO:0018196	peptidyl-asparagine modification	1	1	1	ST6GALNAC2,NANS,COL7A1,FUT3
GO:0021700	developmental maturation	0.0165	0.0165	1	LTF,MYOC,GAL,TMEM79
GO:0071695	anatomical structure maturation	0.0108	0.0108	1	LTF,GAL
GO:0048469	cell maturation	0.0188	0.0188	1	MYOC,GAL,TMEM79
GO:0097696	STAT cascade	0.00712	0.00712	1	CYP1B1,IL23R,IRS1,CLCF1
GO:0007259	JAK-STAT cascade	0.00712	0.00712	1	CYP1B1,IL23R,IRS1,CLCF1
GO:0070482	response to oxygen levels	0.000791	0.000791	1	BAD,FAS,CYB5R4,SIRT2,PTGS2,PLOD1,NOS1,ALKBH5,SIRT1,PICK1,NARFL,TCEB2,SFRP1,NDRG1,CAV1,TBL2,ENG,CUL2,SRF,FAM162A,ITPR2,PTGIS,HP1BP3,EGLN1,THBS1,PML,NPEPPS,SMAD4,LIMD1,NOTCH1,UBC,ITPR1,ADAM17,PDK1,SUV39H2,PLOD2,TCEB1,FMN2,KCNMA1,BACH1,USF1,LMNA,FABP1,CLDN3,SMAD3,NKX3-1,RBPJ,UBB,USP19,CD34,BNIP3,TH,NF1,ADA,ATG7,DPP4,RYR2,ANG,AQP1
GO:0036296	response to increased oxygen levels	0.0441	0.0441	1	FAS,CAV1,ATG7
GO:0036293	response to decreased oxygen levels	0.00237	0.00237	1	BAD,SIRT2,PTGS2,PLOD1,NOS1,ALKBH5,SIRT1,PICK1,NARFL,TCEB2,SFRP1,NDRG1,CAV1,TBL2,ENG,CUL2,SRF,FAM162A,ITPR2,PTGIS,HP1BP3,EGLN1,THBS1,PML,NPEPPS,SMAD4,LIMD1,NOTCH1,UBC,ITPR1,ADAM17,PDK1,SUV39H2,PLOD2,TCEB1,FMN2,KCNMA1,BACH1,USF1,LMNA,FABP1,CLDN3,SMAD3,NKX3-1,RBPJ,UBB,USP19,CD34,BNIP3,TH,NF1,ADA,DPP4,RYR2,ANG,AQP1
GO:0001666	response to hypoxia	0.00294	0.00294	1	BAD,SIRT2,PTGS2,PLOD1,NOS1,ALKBH5,SIRT1,NARFL,TCEB2,SFRP1,NDRG1,CAV1,TBL2,ENG,CUL2,SRF,FAM162A,ITPR2,PTGIS,HP1BP3,EGLN1,THBS1,PML,NPEPPS,SMAD4,LIMD1,NOTCH1,UBC,ITPR1,ADAM17,PDK1,SUV39H2,PLOD2,TCEB1,FMN2,KCNMA1,BACH1,USF1,LMNA,FABP1,CLDN3,SMAD3,NKX3-1,RBPJ,UBB,USP19,CD34,BNIP3,TH,NF1,ADA,DPP4,RYR2,ANG,AQP1
GO:0071824	protein-DNA complex subunit organization	1	1	1	UBN1,PADI4,TAF7
GO:0072512	trivalent inorganic cation transport	1	1	1	ATP6V0A1,TF,STEAP3,ATP6V1B1,ATP6V1B2,ATP6V0C,ATP6V1G2,ATP6V1E2
GO:0071692	protein localization to extracellular region	0.395	0.395	1	LTBP1,FBN1
GO:0070265	necrotic cell death	0.0132	0.0132	1	FAS,HEBP2,CSDA,DNM1L,TRPM7,TRADD,TNFRSF10A,ARHGEF2,TNFSF10,TRAF2,RIPK1,UBC,TMEM123,TLR3,FADD,MLKL,UBB
GO:0010939	regulation of necrotic cell death	0.0491	0.0491	1	FAS,HEBP2,CSDA,TRADD,TNFRSF10A,ARHGEF2,TNFSF10,TRAF2,RIPK1,UBC,FADD,UBB
GO:0060547	negative regulation of necrotic cell death	1	1	1	CSDA,ARHGEF2
GO:0018214	protein carboxylation	0.00292	0.00292	1	F7,F9,FURIN,F2,GAS6
GO:0017187	peptidyl-glutamic acid carboxylation	0.00292	0.00292	1	F7,F9,FURIN,F2,GAS6
GO:0051703	intraspecies interaction between organisms	1	1	1	MAPK8IP2,NLGN3
GO:0061008	hepaticobiliary system development	0.0661	0.0661	1	TGFBR3,LSR,HPN,COBL,PKD2,CCDC40,CCDC39,ARID5B,CEBPB,NF1
GO:0031342	negative regulation of cell killing	0.537	0.537	1	SERPINB4,HLA-A,HLA-B
GO:0090077	foam cell differentiation	0.0134	0.0134	1	MSR1,MAPK9,SOAT1,NFKBIA,TGFB1,NFKB1,CRP,AGT,ITGAV,LPL,ALOX15B,ADIPOQ,PLA2G2A,ITGB3
GO:0010742	macrophage derived foam cell differentiation	0.0134	0.0134	1	MSR1,MAPK9,SOAT1,NFKBIA,TGFB1,NFKB1,CRP,AGT,ITGAV,LPL,ALOX15B,ADIPOQ,PLA2G2A,ITGB3
GO:0010743	regulation of macrophage derived foam cell differentiation	0.0341	0.0341	1	MSR1,MAPK9,NFKBIA,NFKB1,CRP,AGT,ITGAV,LPL,ALOX15B,ADIPOQ,PLA2G2A,ITGB3
GO:0018210	peptidyl-threonine modification	0.0832	0.0832	1	MYLK2,AXIN1,RIPK2,TGFB1,TGFBR1,MAPK8,GALNT3,MAP3K10,CHI3L1,MAP3K12,AKT1,CAMK2D,PARD3,PRKCA,PRKCD,PRKCB,AZU1
GO:0018107	peptidyl-threonine phosphorylation	0.1	0.1	1	MYLK2,AXIN1,RIPK2,TGFB1,TGFBR1,MAPK8,MAP3K10,CHI3L1,MAP3K12,AKT1,CAMK2D,PARD3,PRKCA,PRKCD,PRKCB,AZU1
GO:0010799	regulation of peptidyl-threonine phosphorylation	1	1	1	AXIN1,RIPK2,TGFB1,CHI3L1,PARD3,AZU1
GO:0010800	positive regulation of peptidyl-threonine phosphorylation	0.661	0.661	1	AXIN1,RIPK2,TGFB1,CHI3L1,AZU1
GO:1903513	endoplasmic reticulum to cytosol transport	0.0101	0.0101	1	ATP1A2,ERLEC1,SEC61B,FAF2,PDE4D,AUP1,CASQ2,HRC,OS9,NOL3,CAMK2D,ANK2,BRSK2,SLC8A1,BCAP31,SVIP,ASPH,RYR2,UBE2J1,DMD,GSTM2
GO:0044266	multicellular organismal macromolecule catabolic process	0.441	0.441	1	ENPEP,ACE
GO:0007610	behavior	0.199	0.199	1	GPR124,SEMA3C,SLIT2,PLA2G7,ATP7A
GO:0051705	multi-organism behavior	1	1	1	MAPK8IP2,PPP3CB,ANXA7,APP,UBR3,PEX13,PTEN,NLGN3
GO:0035176	social behavior	1	1	1	MAPK8IP2,NLGN3
GO:0007631	feeding behavior	1	1	1	LEPR,PEX13,STAT3
GO:0060249	anatomical structure homeostasis	0.029	0.029	1	LTF,PIP,LCN1,AZGP1,B2M
GO:0046716	muscle cell cellular homeostasis	0.0707	0.0707	1	CAPN3,SRF,ALDOA,PFKM,CAV3,SGCZ,DMD
GO:0097164	ammonium ion metabolic process	0.0264	0.0264	1	CROT,PLA2G3,ODC1,PLB1,ATP7A,JMJD7-PLA2G4B,TH,PLA2G2A,SLC44A4
GO:0010528	regulation of transposition	1	1	1	ZNF91,ZNF93,APOBEC3G
GO:0010529	negative regulation of transposition	1	1	1	ZNF91,ZNF93,APOBEC3G
GO:0015669	gas transport	1	1	1	CYGB,AQP1
GO:0048285	organelle fission	1	1	1	CDC27,PPP5C,MRE11A,ANAPC4,PPP1R12A,SIRT2,NDE1,CLASP1,CHMP2B,CHMP5,DNM1L,TPX2,CDC23,KLHL22,PRMT5,KIF3B,CHMP4B,GDAP1,ARHGEF10,CAV2,PDGFRB,NEK6,VPS4B,NCAPH,TAF1L,OBSL1,KIF25,TUBGCP3,BECN1,PIN1,TUBGCP6,ARPP19,SGOL1,TUBGCP2,CHMP2A,CLIP1,CHMP1A,APC,TUBGCP4,RB1,DPEP3,TOM1L1,JTB,PHIP,CETN2,CHMP7,ATM,EPS8,ANAPC1,FMN2,BUB1B,LRP5,CLASP2,KIF15,ANAPC10,CHMP4C,KIAA0430,GOLGA2,DAPK3,MIS12,CCDC8,INSR,PTEN,DCTN2,TOM1L2,BNIP3,TOP3A,PLCB1,ANAPC7,FLNA,SYCP1,ZNF830,OPA1,KIFC1,CHMP4A,CHMP1B
