Name	Description	pvalue	qvalue	phenotype	genes
GO:0090611	ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway	0.0544	0.0544	1	VPS4B,PDCD6IP
GO:0007398	ectoderm development	0.209	0.209	1	ITGA6,ITGAM,KRT6B
GO:0010668	ectodermal cell differentiation	0.122	0.122	1	ITGA6,ITGAM
GO:0070555	response to interleukin-1	1	1	1	MYLK3,LGALS9
GO:0009266	response to temperature stimulus	0.12	0.12	1	GCLC,CAMK2B,CAMK2A,NOS1,RPA3,BAG2,HSPA2,CAMK2D,CAMK2G,BAG3,ACOT11,HSPA6,CD34,HSPA1B,HSPA1A,HSPA1L
GO:0009409	response to cold	1	1	1	HSPA2,ACOT11
GO:0009408	response to heat	0.0569	0.0569	1	GCLC,CAMK2B,CAMK2A,NOS1,RPA3,BAG2,HSPA2,CAMK2D,CAMK2G,BAG3,HSPA6,CD34,HSPA1B,HSPA1A,HSPA1L
GO:0010286	heat acclimation	0.0341	0.0341	1	HSPA1B,HSPA1A
GO:0034605	cellular response to heat	0.121	0.121	1	CAMK2B,CAMK2A,RPA3,BAG2,CAMK2G,BAG3,HSPA6,CD34,HSPA1B,HSPA1A,HSPA1L
GO:0070370	cellular heat acclimation	0.0341	0.0341	1	HSPA1B,HSPA1A
GO:1900034	regulation of cellular response to heat	0.0696	0.0696	1	CAMK2B,CAMK2A,RPA3,BAG2,CAMK2D,CAMK2G,BAG3,CD34,HSPA1B,HSPA1A,HSPA1L
GO:0048552	regulation of metalloenzyme activity	1	1	1	TIMP1,CAV1
GO:0007220	Notch receptor processing	1	1	1	APH1A,NOTCH2,NOTCH1
GO:0032088	negative regulation of NF-kappaB transcription factor activity	1	1	1	PSMD10,PTGIS,TRIM21,ARRB1,NFKBIL1
GO:0051091	positive regulation of sequence-specific DNA binding transcription factor activity	0.703	0.703	1	LTF,SP100,CAMK2A,TRIM25,ANXA3,S100A8,ADAM8,LRP8,TAB3,S100A9,S100A12,LGALS9,PLA2G1B,JUP,HSPA1B,HSPA1A,TRIM34
GO:0051092	positive regulation of NF-kappaB transcription factor activity	0.294	0.294	1	LTF,TRIM25,S100A8,ADAM8,S100A9,S100A12,LGALS9,PLA2G1B,HSPA1B,HSPA1A
