Name	Description	pvalue	qvalue	phenotype	genes
GO:0001505	regulation of neurotransmitter levels	0.0301	0.0301	1	SLC6A13,DRD4,SLC1A3,ACHE,SLC32A1,SLC1A6,LIN7A,SLC38A1,SLC6A11,GLUL,SLC6A3,STX3
GO:0006836	neurotransmitter transport	0.0189	0.0189	1	SLC6A13,DRD4,SLC6A15,SLC1A3,SLC32A1,SLC1A6,LIN7A,SLC38A1,SLC6A11,GLUL,SLC6A3,STX3
GO:0001504	neurotransmitter uptake	0.0126	0.0126	1	DRD4,SLC1A3,SLC38A1,GLUL,SLC6A3
GO:0010574	regulation of vascular endothelial growth factor production	0.0483	0.0483	1	ISL1,FLT4,RORA,IL6ST,SULF1
GO:0010575	positive regulation of vascular endothelial growth factor production	0.0324	0.0324	1	ISL1,FLT4,RORA,IL6ST,SULF1
GO:2000765	regulation of cytoplasmic translation	0.00506	0.00506	1	CPEB3,CPEB4,CPEB2,ZNF385A
GO:2000766	negative regulation of cytoplasmic translation	0.0241	0.0241	1	CPEB3,CPEB4,CPEB2
GO:0071214	cellular response to abiotic stimulus	3.7e-06	3.7e-06	1	GUCA1A,CNGB1,SLC24A1,GNB1,GUCY2F,MAPK3,RGS9,RCVRN,GUCA1B,GRK7,GNAT1,GNGT1,SAG,GUCY2D,PDE6A,PDE6B,TRPM1,CLOCK,MBIP,RHO,PDE6G,GRK1,RGS9BP,CNGA1
GO:0009581	detection of external stimulus	8.92e-28	8.92e-28	1	GUCA1A,CNGB1,SLC24A1,GNB1,GUCY2F,CACNA1F,OPN1LW,RP1,RGS9,RCVRN,UNC119,PITPNM1,TULP1,GUCA1B,GRK7,GNAT1,PDC,RPE65,ELOVL4,RDH10,GNGT1,OPN1SW,SAG,GUCY2D,PDE6A,PDE6B,GNAT2,RDH5,RDH12,RLBP1,CACNA2D4,DHRS3,RHO,OPN1MW2,GNGT2,PDE6G,GRK1,RGS9BP,CNGA1,ABCA4,RBP3,OPN1MW,NR2E3
GO:0009314	response to radiation	1.36e-13	1.36e-13	1	GUCA1A,CNGB1,SLC24A1,GNB1,GUCY2F,CACNA1F,OPN1LW,RP1,RGS9,RCVRN,UNC119,PITPNM1,TULP1,GUCA1B,GRK7,GNAT1,PDC,RPE65,ELOVL4,RDH10,GNGT1,OPN1SW,SAG,GUCY2D,PDE6A,PDE6B,TRPM1,GNAT2,CLOCK,RDH5,RDH12,RLBP1,CACNA2D4,DHRS3,RHO,OPN1MW2,GNGT2,PDE6G,GRK1,RGS9BP,DCUN1D3,CNGA1,ABCA4,RBP3,OPN1MW,NR2E3
GO:0009416	response to light stimulus	9.94e-19	9.94e-19	1	GUCA1A,CNGB1,SLC24A1,GNB1,GUCY2F,CACNA1F,OPN1LW,RP1,RGS9,RCVRN,UNC119,PITPNM1,TULP1,GUCA1B,GRK7,GNAT1,PDC,RPE65,ELOVL4,RDH10,GNGT1,OPN1SW,SAG,GUCY2D,PDE6A,PDE6B,TRPM1,GNAT2,CLOCK,RDH5,RDH12,RLBP1,CACNA2D4,DHRS3,RHO,OPN1MW2,GNGT2,PDE6G,GRK1,RGS9BP,DCUN1D3,CNGA1,ABCA4,RBP3,OPN1MW,NR2E3
GO:0071478	cellular response to radiation	2.1e-08	2.1e-08	1	GUCA1A,CNGB1,SLC24A1,GNB1,GUCY2F,RGS9,RCVRN,GUCA1B,GRK7,GNAT1,GNGT1,SAG,GUCY2D,PDE6A,PDE6B,TRPM1,CLOCK,RHO,PDE6G,GRK1,RGS9BP,CNGA1
