Name	Description	pvalue	qvalue	phenotype	genes
GO:0038007	netrin-activated signaling pathway	0.301	0.301	1	UNC5A,PTK2,KIAA1598
GO:0042769	DNA damage response, detection of DNA damage	3.72e-05	3.72e-05	1	RFC1,PNKP,RFC2,MRPS35,POLD1,RAD18,POLD3,RBX1,RPA3,POLD2,RFC5,RPA2,UBE2B,MRPS26,RPA1,PCNA,RFC3,MRPS9,CUL4A,RPS27A,UBC,CUL4B,RFC4,DDB1,UBB,POLD4,UBA52
GO:0010737	protein kinase A signaling	1	1	1	AKAP11,GAL,GCG,AKAP12,AKAP6
GO:0010738	regulation of protein kinase A signaling	1	1	1	AKAP11,AKAP12,AKAP6
GO:0010739	positive regulation of protein kinase A signaling	1	1	1	AKAP12,MIF
GO:0071679	commissural neuron axon guidance	0.45	0.45	1	VEGFA,EPHB2,NFIB
GO:0010501	RNA secondary structure unwinding	1.05e-06	1.05e-06	1	DDX20,DDX3Y,DDX1,DDX43,DDX18,DDX24,DDX17,DDX49,DDX50,DDX5,DDX25,DDX6,DDX55,DDX59,DDX54,DDX39A,DDX27,DDX31,DDX56,EIF4A3,DDX46,DDX4,DDX19B,DDX19A,DDX23,DHX36,DDX28,DDX41,DDX51,DDX42,DDX39B,DDX47,DDX3X,DDX52
GO:0035455	response to interferon-alpha	1	1	1	TPR,ADAR,AXL,GAS6,MX2
GO:0035457	cellular response to interferon-alpha	1	1	1	TPR,AXL,GAS6
GO:0070358	actin polymerization-dependent cell motility	1	1	1	EPS8,JMY
GO:0007274	neuromuscular synaptic transmission	1	1	1	KIF1B,CHRNA4
GO:0070120	ciliary neurotrophic factor-mediated signaling pathway	0.291	0.291	1	CNTFR,IL6ST
GO:0072338	cellular lactam metabolic process	1	1	1	STAT5A,STAT5B,MME
GO:0046449	creatinine metabolic process	0.967	0.967	1	STAT5A,STAT5B,MME
GO:0007220	Notch receptor processing	0.149	0.149	1	PSEN1,APH1A,PSEN2,RPS27A,UBC,NCSTN,UBB,GALNT11,UBA52
GO:0036017	response to erythropoietin	0.0835	0.0835	1	MT2A,KIT,MT1X
GO:0036018	cellular response to erythropoietin	0.0835	0.0835	1	MT2A,KIT,MT1X
GO:0034616	response to laminar fluid shear stress	1	1	1	KLF2,MAP2K5
GO:0071498	cellular response to fluid shear stress	0.268	0.268	1	MEF2C,PKD2,KLF2,MAP2K5,HAS2,HDAC3
GO:0071499	cellular response to laminar fluid shear stress	1	1	1	KLF2,MAP2K5
GO:0001783	B cell apoptotic process	1	1	1	BCL6,BCL10,IRS2,LYN
GO:0097048	dendritic cell apoptotic process	0.222	0.222	1	RAPGEF2,AXL,GAS6,LYN
GO:2000668	regulation of dendritic cell apoptotic process	0.222	0.222	1	RAPGEF2,AXL,GAS6,LYN
GO:0002902	regulation of B cell apoptotic process	1	1	1	BCL6,BCL10,IRS2,LYN
GO:0070229	negative regulation of lymphocyte apoptotic process	1	1	1	BCL6,RORC
GO:0002903	negative regulation of B cell apoptotic process	0.976	0.976	1	BCL6,BCL10,IRS2
GO:0043543	protein acylation	7.96e-08	7.96e-08	1	MSL3,CREBBP,HHATL,ZDHHC6,ING3,PHF17,SRCAP,MYST3,NOS1,BRPF3,SIRT1,SMARCB1,EP300,BRD1,PPM1A,RPS6KA5,NAA10,PORCN,MAPK3,ZDHHC2,PIH1D1,CLIP3,ELP4,NAA25,BRD8,KAT2B,KANSL3,POLE4,ATF2,CHD5,PARK7,DR1,SET,SUPT7L,TAF12,TAF1L,MORF4L2,USP22,GTF3C4,YEATS4,WBP2,ELP3,CAMK1,CLOCK,BLOC1S1,TAF5L,ACTL6A,SAP130,ATAT1,ARRB1,PPM1B,NAA30,ESCO1,SMAD4,SNCA,MDH2,TAF1,OGT,GOLGA7,TAF5,CSRP2BP,MBIP,TADA1,NMT2,FLCN,NAA11,ZDHHC5,KAT6B,BRPF1,PAXIP1,CTBP1,TAF6L,RPS6KA4,IWS1,ZDHHC3,YEATS2,MEAF6,NAA15,BRD7,TAF10,TERF2IP,ING5,SIN3A,TADA3,HCFC1,NAA16,NAA20,MSL2,RUVBL1,CCDC101,DMAP1,TAF7,PER1,RUVBL2,EP400,MORF4L1,ZDHHC17,MCRS1,WDR5,TRRAP,LDB1,ZDHHC18,BAG6,TAF9
GO:0006473	protein acetylation	9.83e-08	9.83e-08	1	MSL3,CREBBP,ING3,PHF17,SRCAP,MYST3,NOS1,BRPF3,SIRT1,SMARCB1,EP300,BRD1,RPS6KA5,NAA10,MAPK3,PIH1D1,ELP4,NAA25,BRD8,KAT2B,KANSL3,POLE4,ATF2,CHD5,PARK7,DR1,SET,SUPT7L,TAF12,TAF1L,MORF4L2,USP22,GTF3C4,YEATS4,WBP2,ELP3,CAMK1,CLOCK,BLOC1S1,TAF5L,ACTL6A,SAP130,ATAT1,ARRB1,NAA30,ESCO1,SMAD4,SNCA,MDH2,TAF1,OGT,TAF5,CSRP2BP,MBIP,TADA1,FLCN,NAA11,KAT6B,BRPF1,PAXIP1,CTBP1,TAF6L,RPS6KA4,IWS1,YEATS2,MEAF6,NAA15,BRD7,TAF10,TERF2IP,ING5,SIN3A,TADA3,HCFC1,NAA16,NAA20,MSL2,RUVBL1,CCDC101,DMAP1,TAF7,PER1,RUVBL2,EP400,MORF4L1,MCRS1,WDR5,TRRAP,LDB1,BAG6,TAF9
GO:0006475	internal protein amino acid acetylation	3.49e-08	3.49e-08	1	MSL3,CREBBP,ING3,PHF17,SRCAP,MYST3,NOS1,BRPF3,SIRT1,SMARCB1,EP300,BRD1,RPS6KA5,NAA10,MAPK3,PIH1D1,ELP4,BRD8,KAT2B,KANSL3,POLE4,ATF2,CHD5,DR1,SET,SUPT7L,TAF12,TAF1L,MORF4L2,USP22,GTF3C4,YEATS4,WBP2,ELP3,CLOCK,TAF5L,ACTL6A,SAP130,ATAT1,ARRB1,SMAD4,SNCA,MDH2,TAF1,OGT,TAF5,CSRP2BP,MBIP,TADA1,FLCN,NAA11,KAT6B,BRPF1,PAXIP1,CTBP1,TAF6L,RPS6KA4,IWS1,YEATS2,MEAF6,BRD7,TAF10,ING5,SIN3A,TADA3,HCFC1,MSL2,RUVBL1,CCDC101,DMAP1,TAF7,PER1,RUVBL2,EP400,MORF4L1,MCRS1,WDR5,TRRAP,LDB1,BAG6,TAF9
