Name	Description	pvalue	qvalue	phenotype	genes
GO:0008105	asymmetric protein localization	1	1	1	RAB10,ERBB2IP,SHROOM3
GO:0048009	insulin-like growth factor receptor signaling pathway	1	1	1	IGF1R,PIK3R1,IGFBP6,PLCB1
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	1	1	1	IGFBP2,IGFBP5,IGFBP6
GO:0071985	multivesicular body sorting pathway	1	1	1	CHMP5,SYTL4
GO:0030388	fructose 1,6-bisphosphate metabolic process	0.051	0.051	1	ALDOC,PFKL,ALDOA
GO:0015695	organic cation transport	0.388	0.388	1	SLC7A8,SLC47A1,RHD,RHCE
GO:0023041	neuronal signal transduction	0.0613	0.0613	1	KCNA1,CLU,NLGN1,NRXN1
GO:0051090	regulation of sequence-specific DNA binding transcription factor activity	1	1	1	NR0B2,CARD14
GO:0032793	positive regulation of CREB transcription factor activity	1	1	1	RPS6KA5,CRTC3,CAMK1D
GO:0051092	positive regulation of NF-kappaB transcription factor activity	1	1	1	PRKCH,PRKCQ,CAMK2A,CAPN3,RPS6KA5,RIPK2,CLU,TLR4,CARD14,UBC,FER,RNF25,PRKCI,PRKCB,UBB,TRAF6,UBE2N,IRAK1,CIB1,UBA52
GO:0032088	negative regulation of NF-kappaB transcription factor activity	1	1	1	ERBB2IP,TRAF3,DAB2IP,ARRB1,MAP2K5,CYP1B1,PRMT2,IRAK1
GO:0097354	prenylation	0.0422	0.0422	1	RABGGTA,PGGT1B,FNTA,FNTB
GO:0018342	protein prenylation	0.0422	0.0422	1	RABGGTA,PGGT1B,FNTA,FNTB
GO:0018344	protein geranylgeranylation	0.107	0.107	1	RABGGTA,PGGT1B,FNTA
GO:0018343	protein farnesylation	0.105	0.105	1	FNTA,FNTB
GO:0090045	positive regulation of deacetylase activity	1	1	1	MAPK8,FNTA
GO:0007220	Notch receptor processing	0.825	0.825	1	ADAM10,APH1B,RPS27A,UBC,UBB,UBA52
GO:0007185	transmembrane receptor protein tyrosine phosphatase signaling pathway	0.0249	0.0249	1	PTPRU,PTN,PTPRF,PTPRD
GO:0090520	sphingolipid mediated signaling pathway	0.0512	0.0512	1	SPHK2,S1PR1
GO:0003376	sphingosine-1-phosphate signaling pathway	0.0512	0.0512	1	SPHK2,S1PR1
GO:0070358	actin polymerization-dependent cell motility	0.0181	0.0181	1	NCKAP1L,EPS8,JMY
GO:0051697	protein delipidation	0.969	0.969	1	ATG4C,ATG4B
GO:0019740	nitrogen utilization	0.179	0.179	1	RHD,RHCE
GO:0035455	response to interferon-alpha	1	1	1	AXL,MX2
GO:0006968	cellular defense response	1	1	1	TYROBP,CD5L,LGALS3BP,RAB23,PTK2B,BECN1,LBP,LSP1,LILRB2,LY96,MNDA,FOSL1,KIR2DL4
GO:0050919	negative chemotaxis	1	1	1	SEMA3B,RHOA,ITGAV,SEMA4D
GO:0071243	cellular response to arsenic-containing substance	1	1	1	PPIF,CPEB2
