Name	Description	pvalue	qvalue	phenotype	genes
GO:0070358	actin polymerization-dependent cell motility	0.147	0.147	1	EPS8,JMY
GO:0070816	phosphorylation of RNA polymerase II C-terminal domain	0.000442	0.000442	1	CCNT2,CCNK,GTF2H3,CCNC,CCNT1,CCNH,BRD4,CCNL1,CDK12,GTF2H4,CCNL2
GO:1901407	regulation of phosphorylation of RNA polymerase II C-terminal domain	0.00271	0.00271	1	CCNT2,CCNK,CCNC,CCNT1,CCNH,BRD4,CCNL1,CCNL2
GO:1901409	positive regulation of phosphorylation of RNA polymerase II C-terminal domain	0.00816	0.00816	1	CCNT2,CCNK,CCNC,CCNT1,CCNH,CCNL1,CCNL2
GO:0045342	MHC class II biosynthetic process	1	1	1	SIRT1,HDAC2
GO:0045346	regulation of MHC class II biosynthetic process	1	1	1	SIRT1,HDAC2
GO:0045176	apical protein localization	0.733	0.733	1	GOPC,SHROOM2,VANGL2
GO:0072321	chaperone-mediated protein transport	1	1	1	TIMM9,PEX19
GO:0019042	viral latency	0.897	0.897	1	XRCC5,HMGA1,XRCC4,PSIP1,HCFC1,LIG4,XRCC6
GO:0019043	establishment of viral latency	1	1	1	HMGA1,XRCC4,LIG4
GO:0075713	establishment of integrated proviral latency	0.452	0.452	1	XRCC5,HMGA1,XRCC4,PSIP1,LIG4,XRCC6
GO:0071569	protein ufmylation	0.524	0.524	1	UBA5,CDK5RAP3,UFM1,UFC1,DDRGK1
GO:1990564	protein polyufmylation	0.804	0.804	1	UBA5,UFC1,DDRGK1
GO:1990592	protein K69-linked ufmylation	0.804	0.804	1	UBA5,UFC1,DDRGK1
GO:0097242	beta-amyloid clearance	0.0499	0.0499	1	CLU,LRP1,APOE,MYOCD,LRPAP1
GO:1900221	regulation of beta-amyloid clearance	0.165	0.165	1	CLU,APOE,MYOCD,LRPAP1
GO:0097264	self proteolysis	0.443	0.443	1	CAPN3,CAPN7,TMPRSS6
GO:1903416	response to glycoside	0.311	0.311	1	ATP1A2,ATP1A3,ATP1A1
GO:0042769	DNA damage response, detection of DNA damage	1.2e-05	1.2e-05	1	RFC1,PNKP,RFC2,MRPS35,POLD1,RAD18,POLD3,RBX1,RPA3,POLD2,RFC5,RPA2,UBE2B,MRPS26,RPA1,PCNA,RFC3,MRPS9,CUL4A,RPS27A,RPS3,HMGA2,UBC,CUL4B,USP1,RFC4,DDB1,UBB,MRPS11,UBA52
GO:0097491	sympathetic neuron projection guidance	1	1	1	NRP1,NRP2
GO:0071503	response to heparin	1	1	1	SFRP1,SOX9,SLIT2
GO:0071504	cellular response to heparin	1	1	1	SFRP1,SOX9,SLIT2
GO:0035456	response to interferon-beta	0.0707	0.0707	1	UBE2K,CDC34,HTRA2,STAT1,BST2,PNPT1,IFITM3,IFITM2,IFITM1,PLSCR1,IKBKE
GO:0034349	glial cell apoptotic process	1	1	1	PRKCH,PRKCA,PRKCI,PRKCD,GAS6
GO:0034350	regulation of glial cell apoptotic process	0.788	0.788	1	PRKCH,PRKCA,PRKCI,PRKCD,GAS6
GO:0034351	negative regulation of glial cell apoptotic process	0.788	0.788	1	PRKCH,PRKCA,PRKCI,PRKCD,GAS6
GO:0006797	polyphosphate metabolic process	1	1	1	MINPP1,PRUNE
GO:0097354	prenylation	0.479	0.479	1	RABGGTA,RABGGTB,PGGT1B,FNTA,CHM,CHML,FNTB
GO:0018342	protein prenylation	0.479	0.479	1	RABGGTA,RABGGTB,PGGT1B,FNTA,CHM,CHML,FNTB
GO:0018343	protein farnesylation	1	1	1	FNTA,FNTB
GO:0018344	protein geranylgeranylation	0.24	0.24	1	RABGGTA,RABGGTB,PGGT1B,FNTA,CHM,CHML
GO:0018904	ether metabolic process	0.0222	0.0222	1	AGPS,PEX7,GNPAT,FAR1
GO:1901503	ether biosynthetic process	0.00197	0.00197	1	AGPS,PEX7,GNPAT,FAR1
GO:0006662	glycerol ether metabolic process	0.0119	0.0119	1	AGPS,PEX7,GNPAT,FAR1
GO:0097384	cellular lipid biosynthetic process	0.00197	0.00197	1	AGPS,PEX7,GNPAT,FAR1
GO:0046504	glycerol ether biosynthetic process	0.00197	0.00197	1	AGPS,PEX7,GNPAT,FAR1
GO:0046485	ether lipid metabolic process	0.0119	0.0119	1	AGPS,PEX7,GNPAT,FAR1
GO:0008611	ether lipid biosynthetic process	0.00197	0.00197	1	AGPS,PEX7,GNPAT,FAR1
GO:0002251	organ or tissue specific immune response	1	1	1	APOA4,HIST1H2BJ,FAU,PIGR,HIST1H2BC,HIST2H2BE,HIST1H2BK,RPL39,OTUD7B,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0002385	mucosal immune response	1	1	1	APOA4,HIST1H2BJ,FAU,PIGR,HIST1H2BC,HIST2H2BE,HIST1H2BK,RPL39,OTUD7B,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0002227	innate immune response in mucosa	1	1	1	APOA4,HIST1H2BJ,FAU,HIST1H2BC,HIST2H2BE,HIST1H2BK,RPL39,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0007398	ectoderm development	1	1	1	ITGA6,STX2
GO:0051451	myoblast migration	1	1	1	ROCK1,THBS4,ITGB1BP1
GO:0018198	peptidyl-cysteine modification	1	1	1	ATP2B4,SNTA1,MOCS3,GOLGA7,ACE,RAB6A,DMD
GO:0039703	RNA replication	0.0697	0.0697	1	ATG16L1,SMARCB1,APOBEC3F,TOP2A,INPP5K,HMGA2,SUPT5H,APOBEC3G
GO:0090077	foam cell differentiation	1	1	1	PRKCH,MSR1,MAPK9,APOB,NFKBIA,NFKB1,NR1H2,CRP,AGT,ITGAV,ABCA5,ADIPOQ,PLA2G2A
GO:0010742	macrophage derived foam cell differentiation	1	1	1	PRKCH,MSR1,MAPK9,APOB,NFKBIA,NFKB1,NR1H2,CRP,AGT,ITGAV,ABCA5,ADIPOQ,PLA2G2A
GO:0010743	regulation of macrophage derived foam cell differentiation	1	1	1	PRKCH,MSR1,MAPK9,APOB,NFKBIA,NFKB1,NR1H2,CRP,AGT,ITGAV,ABCA5,ADIPOQ,PLA2G2A
