Name	Description	pvalue	qvalue	phenotype	genes
GO:0090130	tissue migration	0.0323	0.0323	1	PTGS2,FERMT1,ACTA2,NRP2,ACTA1,ACTC1,ACTG2,MMRN2,KRT16,S100A2,SYNJ2BP
GO:0072132	mesenchyme morphogenesis	0.00127	0.00127	1	ACTA2,ACTA1,ACTC1,ACTG2,TBX20
GO:0090131	mesenchyme migration	5.66e-06	5.66e-06	1	ACTA2,ACTA1,ACTC1,ACTG2
GO:0045922	negative regulation of fatty acid metabolic process	0.038	0.038	1	UGT1A6,UGT1A1,UGT1A3,UGT1A4
GO:0003012	muscle system process	0.0249	0.0249	1	DMPK,ACTA2,PDE4D,CNN1,MYH11,DTNA,ACTA1,KCNMA1,ACTC1,ACTG2,DAPK3,DES,SLC8A1,TPM2
GO:0006936	muscle contraction	0.00685	0.00685	1	DMPK,ACTA2,PDE4D,CNN1,MYH11,DTNA,ACTA1,KCNMA1,ACTC1,ACTG2,DAPK3,DES,SLC8A1,TPM2
GO:0014866	skeletal myofibril assembly	0.0103	0.0103	1	MYH11,ACTA1,ACTC1
GO:0006063	uronic acid metabolic process	0.0137	0.0137	1	UGT1A6,UGT1A5,UGT1A1,UGT1A3,UGT1A4
GO:0019585	glucuronate metabolic process	0.0137	0.0137	1	UGT1A6,UGT1A5,UGT1A1,UGT1A3,UGT1A4
GO:0052695	cellular glucuronidation	0.00594	0.00594	1	UGT1A6,UGT1A5,UGT1A1,UGT1A3,UGT1A4
GO:2001029	regulation of cellular glucuronidation	0.000663	0.000663	1	UGT1A6,UGT1A1,UGT1A3,UGT1A4
GO:0052697	xenobiotic glucuronidation	1.22e-05	1.22e-05	1	UGT1A6,UGT1A5,UGT1A1,UGT1A3,UGT1A4
GO:0045912	negative regulation of carbohydrate metabolic process	0.0276	0.0276	1	C1QTNF3,UGT1A6,UGT1A1,UGT1A3,UGT1A4
GO:0009812	flavonoid metabolic process	0.00403	0.00403	1	UGT1A6,UGT1A5,UGT1A1,UGT1A3,UGT1A4
GO:0009813	flavonoid biosynthetic process	0.00127	0.00127	1	UGT1A6,UGT1A5,UGT1A1,UGT1A3,UGT1A4
GO:0052696	flavonoid glucuronidation	0.00209	0.00209	1	UGT1A6,UGT1A5,UGT1A1,UGT1A3,UGT1A4
GO:0010677	negative regulation of cellular carbohydrate metabolic process	0.0118	0.0118	1	C1QTNF3,UGT1A6,UGT1A1,UGT1A3,UGT1A4
