Name	Description	pvalue	qvalue	phenotype	genes
GO:0034349	glial cell apoptotic process	0.146	0.146	1	PRKCH,PRKCA,PRKCD,GAS6
GO:0034350	regulation of glial cell apoptotic process	0.0505	0.0505	1	PRKCH,PRKCA,PRKCD,GAS6
GO:0034351	negative regulation of glial cell apoptotic process	0.0505	0.0505	1	PRKCH,PRKCA,PRKCD,GAS6
GO:0001539	cilium or flagellum-dependent cell motility	1	1	1	DNAH7,DNAH8,DNAH3
GO:0010501	RNA secondary structure unwinding	1	1	1	DDX4,DDX19B,DDX19A
GO:0048009	insulin-like growth factor receptor signaling pathway	0.0258	0.0258	1	IGFBP5,CILP,AKT1,PIK3R1,IGFBP3,IGFBP6,IRS1,EIF2AK3,PLCB1
GO:0036119	response to platelet-derived growth factor	0.336	0.336	1	PDGFRB,FER,CORO1B
GO:0036120	cellular response to platelet-derived growth factor stimulus	0.333	0.333	1	PDGFRB,CORO1B
GO:0070358	actin polymerization-dependent cell motility	0.0145	0.0145	1	NCKAP1L,EPS8,JMY
GO:0007185	transmembrane receptor protein tyrosine phosphatase signaling pathway	0.0353	0.0353	1	PTPRU,PTN,PTPRF,PTPRD
GO:0006975	DNA damage induced protein phosphorylation	0.856	0.856	1	ABL1,MAP2K6,MAPK12
GO:0051775	response to redox state	0.167	0.167	1	SIRT2,RYR2
GO:0070841	inclusion body assembly	0.031	0.031	1	DNAJB1,SORL1,DNAJA4,BAG5,PARK2,HSPA1B,HSPA1A,UBD
GO:0070842	aggresome assembly	0.042	0.042	1	PARK2,UBD
GO:0090083	regulation of inclusion body assembly	0.114	0.114	1	DNAJB1,SORL1,DNAJA4,BAG5,HSPA1B,HSPA1A
GO:0090084	negative regulation of inclusion body assembly	0.0926	0.0926	1	DNAJB1,SORL1,DNAJA4,HSPA1B,HSPA1A
GO:0007224	smoothened signaling pathway	1	1	1	SFRP1,BTRC,GAS1
GO:0008589	regulation of smoothened signaling pathway	1	1	1	SFRP1,BTRC,GAS1
GO:0009838	abscission	0.314	0.314	1	SPG20,CHMP4C,ZFYVE19
GO:0038027	apolipoprotein A-I-mediated signaling pathway	0.812	0.812	1	ABCA1,ITGB3
GO:0036015	response to interleukin-3	0.0306	0.0306	1	GSK3B,GSK3A
GO:0036016	cellular response to interleukin-3	0.0306	0.0306	1	GSK3B,GSK3A
GO:0042493	response to drug	1	1	1	ATP8B1,ABCC1,SFRP1,GPLD1,TMEM30A,ADAM17,PTPRM,ADIPOQ,GAS6,PDE4B,PDE2A,AQP1
GO:0035690	cellular response to drug	0.0828	0.0828	1	DPEP1,MEF2C,PPM1F,GPLD1,FBP1,ADIPOQ,GAS6,PDE4B,PDE2A
GO:0061635	regulation of protein complex stability	1	1	1	SQSTM1,TAPBP
GO:0031647	regulation of protein stability	0.00453	0.00453	1	PFN2,SREBF1,FBXW11,TESC,MUL1,TF,SH3GLB1,STUB1,PYCARD,CTSH,STK3,CDC37L1,PFN1,WFS1,CD81,SUMO1,TSPAN1,GIPC1,TRIM21,NAPG,DSG1,DSC3,PML,ANK2,PIK3R1,GOLGA7,GSN,GNAQ,APOA2,DVL3,PPAP2B,PEX19,PRKCD,NAA15,SUGT1,BTRC,SMAD3,CDKN2AIP,HDAC3,NAA16,CPN2,NOMO2,PARK2,CHP,FLNA,HSPA1B,HSPA1A
GO:0031648	protein destabilization	0.12	0.12	1	FBXW11,CTSH,TRIM21,GSN,BTRC,PARK2
GO:0050821	protein stabilization	0.0302	0.0302	1	PFN2,TESC,MUL1,STK3,CDC37L1,PFN1,WFS1,SUMO1,TSPAN1,NAPG,DSG1,DSC3,PML,ANK2,PIK3R1,GOLGA7,GNAQ,DVL3,PPAP2B,PEX19,PRKCD,NAA15,SMAD3,NAA16,CPN2,PARK2,CHP,FLNA,HSPA1B,HSPA1A
GO:0035456	response to interferon-beta	1	1	1	BST2,IFITM3,UBE2G2,PLSCR1,IKBKE
