Name	Description	pvalue	qvalue	phenotype	genes
GO:0044839	cell cycle G2/M phase transition	0.00297	0.00297	1	PRKAR2B,CLASP1,DYNC1I2,MAPRE1,YWHAE,TUBA4A,LATS1,DCTN3,TUBA1A,YWHAG,CKAP5,TUBB,DYNC1H1,PPP1CB
GO:0000086	G2/M transition of mitotic cell cycle	0.0023	0.0023	1	PRKAR2B,CLASP1,DYNC1I2,MAPRE1,YWHAE,TUBA4A,LATS1,DCTN3,TUBA1A,YWHAG,CKAP5,TUBB,DYNC1H1,PPP1CB
GO:0007215	glutamate receptor signaling pathway	0.0167	0.0167	1	CACNG4,OPRM1,GRID2,GRM5,DAPK1,GRIN3A,GRM3
GO:0048013	ephrin receptor signaling pathway	1.38e-05	1.38e-05	1	EPHA3,CDC42,EPHA8,EPHA6,EFNB3,EPHB2,EPHA7,SDCBP,EPHA5,EPHB1,CFL1,EPHB3,EPHA10
GO:0051645	Golgi localization	0.0363	0.0363	1	CDC42,ARHGAP21,YWHAZ
GO:0051683	establishment of Golgi localization	0.0112	0.0112	1	CDC42,ARHGAP21,YWHAZ
GO:0006029	proteoglycan metabolic process	0.0149	0.0149	1	GPC1,GPC4,CSPG5,NCAN,CHST7,SDC3,GPC2,HS3ST5
GO:0050654	chondroitin sulfate proteoglycan metabolic process	0.00679	0.00679	1	GPC1,GPC4,CSPG5,NCAN,CHST7,SDC3,GPC2
GO:0030204	chondroitin sulfate metabolic process	0.00527	0.00527	1	GPC1,GPC4,CSPG5,NCAN,CHST7,SDC3,GPC2
GO:0030029	actin filament-based process	0.0141	0.0141	1	EPHA3,NEDD4L,PFN2,CDC42,CLASP1,PAK7,FGD1,DPYSL3,DBN1,LATS1,SPIRE1,SDCBP,FNBP1L,EPHA5,TAOK2,ADRA2A,TNIK,CXADR,KIT,CFL2,SCN3B,RAC3,CFL1,PPM1E,KIAA1598
GO:0030036	actin cytoskeleton organization	0.0156	0.0156	1	EPHA3,PFN2,CDC42,CLASP1,PAK7,FGD1,DPYSL3,DBN1,LATS1,SPIRE1,SDCBP,EPHA5,TAOK2,ADRA2A,TNIK,CXADR,KIT,CFL2,RAC3,CFL1,PPM1E,KIAA1598
GO:0051056	regulation of small GTPase mediated signal transduction	0.000692	0.000692	1	ARHGAP33,TRIO,GDI2,CDC42,FGD1,RHOV,RHOU,RHOB,GRLF1,ARHGAP12,RAC3,SRGAP3,SRGAP1,GDI1,GPR56,ARHGAP23
GO:0072657	protein localization to membrane	0.0116	0.0116	1	REEP1,ATP1B3,SH3GLB1,YWHAE,NRXN2,ARL6,KCNIP3,MACF1,YWHAH,FGF13,YWHAQ,SDCBP,LIN7C,TAOK2,TNIK,YWHAZ,SCN3B,YWHAB,YWHAG,SFN,SMURF1,GDI1,PPP3R1
GO:0031290	retinal ganglion cell axon guidance	0.0176	0.0176	1	PTPRO,EPHB1,ROBO2
GO:0006929	substrate-dependent cell migration	0.0207	0.0207	1	EPHA8,SDCBP,ROBO1,KIAA1598
GO:0030518	intracellular steroid hormone receptor signaling pathway	0.0419	0.0419	1	NEDD4,RBFOX2,RNF6,YWHAH,NR1I3,GRIP1,PRMT2,NR0B1,DYX1C1
GO:0030031	cell projection assembly	0.00141	0.00141	1	PFN2,CDC42,KIAA0586,FGD1,DPYSL3,ARL6,APC,SDCBP,FNBP1L,EVI5L,TBC1D7,PTPRO,TNIK,KIT,VANGL2,INTU,RAC3,GAP43,KIAA1598,DYX1C1
GO:0010563	negative regulation of phosphorus metabolic process	0.0124	0.0124	1	PRKAR2B,GNAI3,YWHAE,OPRM1,LRRC4,LATS1,LRRC4B,APC,PPP1R1A,LMTK3,TIPRL,LRRC4C,LATS2,ADRA2A,PPP1R1C,NELL1,YWHAB,YWHAG,PKIA,SH3BP5L,PPM1E,SFN,GRM3
GO:0045936	negative regulation of phosphate metabolic process	0.0124	0.0124	1	PRKAR2B,GNAI3,YWHAE,OPRM1,LRRC4,LATS1,LRRC4B,APC,PPP1R1A,LMTK3,TIPRL,LRRC4C,LATS2,ADRA2A,PPP1R1C,NELL1,YWHAB,YWHAG,PKIA,SH3BP5L,PPM1E,SFN,GRM3
GO:0030705	cytoskeleton-dependent intracellular transport	0.0212	0.0212	1	CDC42,ARHGAP21,TUBA1B,FNBP1L,KIF5A,TUBA1A,TUBA1C,KIF5C,TUBB
GO:0033673	negative regulation of kinase activity	0.00469	0.00469	1	PRKAR2B,LRRC4,LATS1,LRRC4B,APC,PPP1R1A,LRRC4C,LATS2,PPP1R1C,NELL1,YWHAG,PKIA,SH3BP5L,PPM1E,SFN
GO:0006469	negative regulation of protein kinase activity	0.0025	0.0025	1	PRKAR2B,LRRC4,LATS1,LRRC4B,APC,PPP1R1A,LRRC4C,LATS2,PPP1R1C,NELL1,YWHAG,PKIA,SH3BP5L,PPM1E,SFN
GO:1904030	negative regulation of cyclin-dependent protein kinase activity	0.00848	0.00848	1	LRRC4,LATS1,LRRC4B,APC,LRRC4C,LATS2,NELL1,SH3BP5L
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	0.0455	0.0455	1	LATS1,APC,LATS2,NELL1
GO:0009755	hormone-mediated signaling pathway	0.0288	0.0288	1	NEDD4,RBFOX2,RNF6,YWHAH,LATS1,NR1I3,LATS2,GRIP1,PRMT2,NR0B1,DYX1C1
GO:0071526	semaphorin-plexin signaling pathway	0.000464	0.000464	1	PLXNA2,PLXNA1,PLXNA3,PLXNC1,SEMA6D,SEMA4C,PLXNA4
GO:1902285	semaphorin-plexin signaling pathway involved in neuron projection guidance	0.000256	0.000256	1	PLXNA2,PLXNA1,PLXNA3,PLXNC1,PLXNA4
GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	2.73e-05	2.73e-05	1	PLXNA2,PLXNA1,PLXNA3,PLXNC1,PLXNA4
GO:0040013	negative regulation of locomotion	0.044	0.044	1	PFN2,VASH1,CLASP1,DPYSL3,SEMA6D,RHOB,PTPRO,SEMA4C,ROBO1,ROBO2,SRGAP3,SRGAP1,GPR56
GO:0007017	microtubule-based process	0.000221	0.000221	1	STMN4,EPHA3,CDC42,CLASP1,DYNC1I2,MAPRE1,STMN2,ARHGAP21,APC2,KIF21B,STMN1,TUBA1B,DYNLRB1,KLC1,MACF1,FGF13,SPIRE1,APC,DYNLT1,KIF5A,TUBA1A,TUBA1C,KIF5C,CHD3,CKAP5,TUBB,DYNC1H1,DYX1C1
GO:0032886	regulation of microtubule-based process	0.0291	0.0291	1	EPHA3,CDC42,CLASP1,MAPRE1,STMN2,APC2,STMN1,MACF1,FGF13,APC,CHD3,CKAP5,DYNC1H1
GO:0070507	regulation of microtubule cytoskeleton organization	0.0318	0.0318	1	EPHA3,CDC42,CLASP1,MAPRE1,STMN2,APC2,STMN1,FGF13,APC,CHD3,CKAP5,DYNC1H1
GO:0010942	positive regulation of cell death	0.0431	0.0431	1	TRIO,MT3,FGD1,PIAS4,YWHAE,YWHAH,LATS1,YWHAQ,APC,EPHA7,IL10,RHOB,LATS2,PRMT2,YWHAZ,YWHAB,ROBO1,YWHAG,SFN,DAPK1,MLLT11,PPP3R1
GO:0007185	transmembrane receptor protein tyrosine phosphatase signaling pathway	0.00654	0.00654	1	TRIO,PTPRF,PTPRD
GO:0008037	cell recognition	0.0115	0.0115	1	EPHA3,MEGF8,CNTNAP3,RTN4,EPHB2,CNTN4,ROBO1,EPHB3,ROBO2
GO:0008038	neuron recognition	3.94e-07	3.94e-07	1	EPHA3,MEGF8,RTN4,EPHB2,CNTN4,ROBO1,EPHB3,ROBO2
