Name	Description	pvalue	qvalue	phenotype	genes
GO:0007224	smoothened signaling pathway	0.268	0.268	1	KIAA0586,PKD2L1,TCTN3,DISP2,INTU,KIF7
GO:0045880	positive regulation of smoothened signaling pathway	0.994	0.994	1	SFRP1,KIF7
GO:0045341	MHC class I biosynthetic process	1	1	1	HSPH1,NLRC5
GO:0045343	regulation of MHC class I biosynthetic process	1	1	1	HSPH1,NLRC5
GO:0045345	positive regulation of MHC class I biosynthetic process	0.773	0.773	1	HSPH1,NLRC5
GO:0048008	platelet-derived growth factor receptor signaling pathway	0.129	0.129	1	BCAR1,NRP1,NDRG4,F3,LRP1,SNCA,PTPRJ,FER,CLASP2,PDGFD
GO:0010640	regulation of platelet-derived growth factor receptor signaling pathway	0.219	0.219	1	NDRG4,F3,LRP1,SNCA,PTPRJ
GO:0010642	negative regulation of platelet-derived growth factor receptor signaling pathway	0.171	0.171	1	NDRG4,LRP1,SNCA,PTPRJ
GO:0042493	response to drug	0.43	0.43	1	KCNQ1,TFRC,MEF2C,MT3,NOS1,SFRP1,PPP3CB,UBE2B,RAP2A,BCAR3,PPP3CA,SRP14,HMGA2,CYP3A4,SLC15A2,CTNNB1,USP47,PTPRM,PPM1E,PDE4B,PDE2A,RAB6C,LASS1
GO:0035690	cellular response to drug	0.00386	0.00386	1	KCNQ1,MEF2C,MT3,PPP3CB,RAP2A,PPP3CA,HMGA2,PPM1E,PDE4B,PDE2A,LASS1
GO:0017144	drug metabolic process	1	1	1	CYP3A5,CYP3A4
GO:0042737	drug catabolic process	0.706	0.706	1	CYP3A5,CYP3A4
GO:0042738	exogenous drug catabolic process	1	1	1	NOS1,CYP3A4
GO:0097012	response to granulocyte macrophage colony-stimulating factor	0.0111	0.0111	1	PDE1B,NPR2,PDE2A
GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus	0.0111	0.0111	1	PDE1B,NPR2,PDE2A
GO:0002251	organ or tissue specific immune response	0.227	0.227	1	HIST1H2BJ,RAB17,FAU,PIGR,HIST1H2BC,HIST2H2BE,HIST1H2BK,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0002385	mucosal immune response	0.138	0.138	1	HIST1H2BJ,RAB17,FAU,PIGR,HIST1H2BC,HIST2H2BE,HIST1H2BK,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0045056	transcytosis	0.945	0.945	1	VPS35,RAB17,PIGR
GO:0002414	immunoglobulin transcytosis in epithelial cells	0.622	0.622	1	RAB17,PIGR
GO:0002227	innate immune response in mucosa	0.0465	0.0465	1	HIST1H2BJ,FAU,HIST1H2BC,HIST2H2BE,HIST1H2BK,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0090520	sphingolipid mediated signaling pathway	1	1	1	EZR,SPNS1
GO:0003376	sphingosine-1-phosphate signaling pathway	1	1	1	EZR,SPNS1
GO:0009299	mRNA transcription	0.909	0.909	1	DDX5,SOX17,POU5F1
GO:0042789	mRNA transcription from RNA polymerase II promoter	0.612	0.612	1	SOX17,POU5F1
GO:0097242	beta-amyloid clearance	1	1	1	LRP1,LRPAP1
GO:0035456	response to interferon-beta	1	1	1	UBE2K,CDC34,HTRA2
GO:0035458	cellular response to interferon-beta	1	1	1	UBE2K,CDC34,HTRA2
GO:0015949	nucleobase-containing small molecule interconversion	0.0191	0.0191	1	NME1-NME2,AK1,TXN,AK5,CMPK1,RRM1,NME1
GO:0015669	gas transport	1	1	1	CYGB,HBA2,HBA1,HBB
GO:0015671	oxygen transport	0.355	0.355	1	CYGB,HBA2,HBA1,HBB
GO:1903416	response to glycoside	0.0053	0.0053	1	ATP1A2,ATP1A3,ATP1A1
GO:0071107	response to parathyroid hormone	0.116	0.116	1	MEF2C,GNAS
GO:0044380	protein localization to cytoskeleton	0.328	0.328	1	PCM1,MID2,MAPRE1,MID1,CRIPT,KIF20B,CSNK1D,HOOK3,DCTN2
GO:0072698	protein localization to microtubule cytoskeleton	0.172	0.172	1	PCM1,MID2,MAPRE1,MID1,CRIPT,KIF20B,CSNK1D,HOOK3,DCTN2
GO:0071539	protein localization to centrosome	1	1	1	PCM1,CSNK1D,HOOK3,DCTN2
GO:0035372	protein localization to microtubule	0.0528	0.0528	1	MID2,MAPRE1,MID1,CRIPT,KIF20B
GO:0031547	brain-derived neurotrophic factor receptor signaling pathway	0.0288	0.0288	1	RAPGEF2,NTRK2
GO:0010248	establishment or maintenance of transmembrane electrochemical gradient	1.19e-06	1.19e-06	1	ATP1A2,ATP1B3,ATP12A,ATP1A3,ATP4A,ATP1B2,ATP1A4,ATP1B1,ATP1A1
GO:0003360	brainstem development	0.0739	0.0739	1	NLGN4X,SCN5A
GO:0045454	cell redox homeostasis	1	1	1	KRIT1,TXNL1,TXN
GO:0071569	protein ufmylation	1	1	1	UBA5,UFC1
GO:1990564	protein polyufmylation	1	1	1	UBA5,UFC1
GO:1990592	protein K69-linked ufmylation	1	1	1	UBA5,UFC1
GO:0071825	protein-lipid complex subunit organization	1	1	1	ACSL3,BIN1,MTTP,ABCA5,LPL,DGAT1,APOC2
GO:0065005	protein-lipid complex assembly	1	1	1	ACSL3,BIN1,MTTP,DGAT1
GO:0034367	macromolecular complex remodeling	1	1	1	ABCA5,LPL,APOC2
GO:0034368	protein-lipid complex remodeling	1	1	1	ABCA5,LPL,APOC2
GO:0097006	regulation of plasma lipoprotein particle levels	1	1	1	ACSL3,MTTP,ABCA5,HNRNPK,LPL,DGAT1,APOC2,CNPY2
GO:0071827	plasma lipoprotein particle organization	1	1	1	ACSL3,MTTP,ABCA5,LPL,DGAT1,APOC2
GO:0034369	plasma lipoprotein particle remodeling	1	1	1	ABCA5,LPL,APOC2
GO:0034370	triglyceride-rich lipoprotein particle remodeling	1	1	1	LPL,APOC2
GO:0034371	chylomicron remodeling	0.254	0.254	1	LPL,APOC2
GO:0034372	very-low-density lipoprotein particle remodeling	1	1	1	LPL,APOC2
GO:0034377	plasma lipoprotein particle assembly	1	1	1	ACSL3,MTTP,DGAT1
GO:0034379	very-low-density lipoprotein particle assembly	1	1	1	ACSL3,APOC1,DGAT1
GO:0034381	plasma lipoprotein particle clearance	1	1	1	APOC1,VLDLR,LRPAP1,HNRNPK,APOC2,CNPY2
GO:0071830	triglyceride-rich lipoprotein particle clearance	1	1	1	APOC1,APOC2
GO:0034382	chylomicron remnant clearance	1	1	1	APOC1,APOC2
GO:0010984	regulation of lipoprotein particle clearance	0.667	0.667	1	APOC1,LRPAP1,HNRNPK,APOC2,CNPY2
GO:0010985	negative regulation of lipoprotein particle clearance	0.564	0.564	1	APOC1,LRPAP1,APOC2
GO:0010988	regulation of low-density lipoprotein particle clearance	0.862	0.862	1	HNRNPK,CNPY2
GO:0034447	very-low-density lipoprotein particle clearance	0.22	0.22	1	APOC1,VLDLR,LRPAP1,APOC2
GO:0010915	regulation of very-low-density lipoprotein particle clearance	0.281	0.281	1	APOC1,LRPAP1,APOC2
GO:0010916	negative regulation of very-low-density lipoprotein particle clearance	0.281	0.281	1	APOC1,LRPAP1,APOC2
GO:1990089	response to nerve growth factor	0.00168	0.00168	1	STMN2,RAPGEF1,RAPGEF2,RAB35,RAP1A,SORT1,KIDINS220,AKT1,MAGI2
GO:1990090	cellular response to nerve growth factor stimulus	0.00168	0.00168	1	STMN2,RAPGEF1,RAPGEF2,RAB35,RAP1A,SORT1,KIDINS220,AKT1,MAGI2
GO:0038179	neurotrophin signaling pathway	1.21e-17	1.21e-17	1	BAD,PRKAR2B,AP2B1,RALA,FYN,PPP5C,PSMC4,CUL3,TRIO,RTN4R,PSMA4,AP2S1,BCAR1,PIK3CB,CAMK2B,NGFR,NGEF,FGFR2,RHOA,FGFR3,MEF2A,PSME4,CAMK2A,PRKACA,RASAL2,MARK3,FGFR1,ADCY2,ADCYAP1R1,TNRC6C,MEF2C,GSK3B,PSMC5,PEBP1,PSMD8,CRKL,MAPK1,RBX1,SOS2,PSMC6,PSMC1,PSMB5,PSMA7,FGD1,ARHGEF7,MAPK3,PSMD7,TSC2,ARHGEF18,RASAL3,PIK3R2,GSK3A,RASA4,PSMA2,RAPGEF1,SH3GL2,MAPK8,PSMD3,PSMD11,YWHAE,GAB1,RAPGEF2,CDKN1B,PPP2R5D,PRKAR2A,PSMD14,PDE1A,SPTBN1,RTN4,SOS1,RAP1A,ARHGEF2,CREB1,KBTBD7,PIK3CA,WDR83,ATF1,PDE1B,PLCG1,PSMF1,PSMB2,MCF2L,PRKCG,OMG,MAP2K2,FGD3,AKAP9,PSMA1,PSME3,RAF1,DLG4,ARHGEF11,KRAS,SORT1,KIDINS220,RAC1,DAB2IP,PSMB7,FGD4,NTRK3,PDPK1,KSR1,AKT1,PSMB6,PRKACB,CALM2,RPS27A,CAMK2D,RASA1,FGD2,EGFR,NTRK2,CAMK2G,NCAM1,UBC,RIT2,CAMK4,PRKCA,OBSCN,PSMA8,PDE1C,ADCY8,KIT,BRAF,PSMD4,ABR,CALM3,KALRN,VAV2,SPTBN4,FGFR4,PSMC2,AP2M1,GRIN2C,ADCY9,PEA15,NCSTN,PRKCI,PSMD6,CASP3,ADCY1,PRKACG,PSMC3,MAPK7,YWHAB,CRK,MAP2K1,PTK2,LINGO1,UBB,PRKCE,PIK3CD,PTEN,ADRBK1,ADCY5,PSMD1,NET1,SPTBN2,HRAS,TRAF6,PSMD2,RPS6KB2,GRIN1,ERBB4,MAGED1,PTPN11,LCK,AP2A2,PSMD13,RASA3,MAGI2,PRKAR1B,HDAC2,NF1,ARHGEF12,AP2A1,SRC,SYNGAP1,SPTAN1,CALM1,MTOR,ITSN1,NRAS,UBA52,GRIN2B,NEFL
GO:0048011	neurotrophin TRK receptor signaling pathway	3.89e-17	3.89e-17	1	BAD,PRKAR2B,AP2B1,RALA,FYN,PPP5C,PSMC4,CUL3,TRIO,RTN4R,PSMA4,AP2S1,BCAR1,PIK3CB,CAMK2B,NGFR,NGEF,FGFR2,RHOA,FGFR3,MEF2A,PSME4,CAMK2A,PRKACA,RASAL2,MARK3,FGFR1,ADCY2,ADCYAP1R1,TNRC6C,MEF2C,GSK3B,PSMC5,PEBP1,PSMD8,CRKL,MAPK1,RBX1,SOS2,PSMC6,PSMC1,PSMB5,PSMA7,FGD1,ARHGEF7,MAPK3,PSMD7,TSC2,ARHGEF18,RASAL3,PIK3R2,GSK3A,RASA4,PSMA2,RAPGEF1,SH3GL2,MAPK8,PSMD3,PSMD11,YWHAE,GAB1,RAPGEF2,CDKN1B,PPP2R5D,PRKAR2A,PSMD14,PDE1A,SPTBN1,RTN4,SOS1,RAP1A,ARHGEF2,CREB1,KBTBD7,PIK3CA,WDR83,ATF1,PDE1B,PLCG1,PSMF1,PSMB2,MCF2L,PRKCG,OMG,MAP2K2,FGD3,AKAP9,PSMA1,PSME3,RAF1,DLG4,ARHGEF11,KRAS,SORT1,KIDINS220,RAC1,DAB2IP,PSMB7,FGD4,PDPK1,KSR1,AKT1,PSMB6,PRKACB,CALM2,RPS27A,CAMK2D,RASA1,FGD2,EGFR,NTRK2,CAMK2G,NCAM1,UBC,RIT2,CAMK4,PRKCA,OBSCN,PSMA8,PDE1C,ADCY8,KIT,BRAF,PSMD4,ABR,CALM3,KALRN,VAV2,SPTBN4,FGFR4,PSMC2,AP2M1,GRIN2C,ADCY9,PEA15,NCSTN,PRKCI,PSMD6,CASP3,ADCY1,PRKACG,PSMC3,MAPK7,YWHAB,CRK,MAP2K1,PTK2,LINGO1,UBB,PRKCE,PIK3CD,PTEN,ADRBK1,ADCY5,PSMD1,NET1,SPTBN2,HRAS,TRAF6,PSMD2,RPS6KB2,GRIN1,ERBB4,MAGED1,PTPN11,LCK,AP2A2,PSMD13,RASA3,PRKAR1B,HDAC2,NF1,ARHGEF12,AP2A1,SRC,SYNGAP1,SPTAN1,CALM1,MTOR,ITSN1,NRAS,UBA52,GRIN2B,NEFL
GO:0038180	nerve growth factor signaling pathway	0.000526	0.000526	1	RAPGEF1,RAPGEF2,RAP1A,SORT1,KIDINS220,MAGI2
GO:0020027	hemoglobin metabolic process	0.92	0.92	1	PRMT1,AHSP,LDB1
GO:0042541	hemoglobin biosynthetic process	1	1	1	PRMT1,LDB1
GO:0046984	regulation of hemoglobin biosynthetic process	0.819	0.819	1	PRMT1,LDB1
GO:0046985	positive regulation of hemoglobin biosynthetic process	0.471	0.471	1	PRMT1,LDB1
GO:0001101	response to acid chemical	1	1	1	EPHA3,GNB1,RRAGB,GNAS,GLRA2,LANCL2,OGT,RRAGA,HLCS,GNG2
GO:0071229	cellular response to acid chemical	1	1	1	EPHA3,GNB1,RRAGB,GNAS,LANCL2,OGT,RRAGA,GNG2
GO:1902224	ketone body metabolic process	0.645	0.645	1	AACS,OXCT1,HMGCS2,BDH1
GO:0070272	proton-transporting ATP synthase complex biogenesis	0.837	0.837	1	ATPAF1,OXA1L
