Name	Description	pvalue	qvalue	phenotype	genes
GO:0009311	oligosaccharide metabolic process	0.0215	0.0215	1	ST6GALNAC1,GLA,MAN1A1,TREH,ST8SIA6,ST6GALNAC6,GAL3ST4,NEU1
GO:0019240	citrulline biosynthetic process	0.0482	0.0482	1	CPS1,OTC,ALDH18A1
GO:0044266	multicellular organismal macromolecule catabolic process	0.0026	0.0026	1	ACE2,ENPEP,ACE
GO:0050886	endocrine process	7.89e-06	7.89e-06	1	GAL,C1QTNF3,PCSK5,ACE2,AGT,ENPEP,GHRL,ACE,GDF9,NOS3,ANPEP,MME
GO:0060986	endocrine hormone secretion	0.05	0.05	1	GAL,C1QTNF3,AGT,GHRL,GDF9
GO:0010817	regulation of hormone levels	4.46e-06	4.46e-06	1	NOS2,GAL,C1QTNF3,LTBP4,PCSK5,HNF4A,LHB,CGB,STC2,GCG,GHRH,SCPEP1,ACE2,HNF1A,CGA,AGT,NOV,ENPEP,SLC22A9,GHRL,GIP,ACE,GDF9,ANPEP,KLK6,EIF2AK3,STARD5,SULT1B1,CGB5,CGB7,MME,CGB8
GO:0010876	lipid localization	0.0105	0.0105	1	NPC1L1,GAL,PLTP,APOA4,AGT,MTTP,ABCG8,SLC22A9,GHRL,ACE,ALB,GDF9,LIPC,SOAT2,FABP6,ABCG4,DGAT1,SREBF2,PTCHD2,APOC4
GO:0006869	lipid transport	0.0154	0.0154	1	NPC1L1,GAL,PLTP,APOA4,AGT,MTTP,ABCG8,SLC22A9,GHRL,ACE,ALB,GDF9,LIPC,SOAT2,FABP6,ABCG4,SREBF2,PTCHD2
GO:0098856	intestinal lipid absorption	0.016	0.016	1	NPC1L1,APOA4,ABCG8,SOAT2
GO:0035929	steroid hormone secretion	0.0244	0.0244	1	GAL,AGT,GHRL,GDF9
GO:0007586	digestion	9.25e-13	9.25e-13	1	NPC1L1,SLC15A1,SI,APOA4,MEP1A,LCT,TREH,ACE2,CLPS,ENPEP,SSTR1,MEP1B,CELA3A,ABCG8,FABP2,SST,GHRL,ACE,TFF1,LIPC,SOAT2,MUC13,MGAM,PRSS2
GO:0044256	protein digestion	0.0026	0.0026	1	ACE2,ENPEP,ACE
GO:0044245	polysaccharide digestion	0.000438	0.000438	1	SI,LCT,TREH,MGAM
GO:0044241	lipid digestion	0.000409	0.000409	1	NPC1L1,APOA4,CLPS,ABCG8,LIPC,SOAT2
GO:0042445	hormone metabolic process	4.47e-05	4.47e-05	1	PCSK5,LHB,CGB,STC2,SCPEP1,ACE2,CGA,AGT,ENPEP,ACE,ANPEP,KLK6,STARD5,SULT1B1,CGB5,CGB7,MME,CGB8
GO:0008217	regulation of blood pressure	0.000144	0.000144	1	NOS2,NOS1,PCSK5,NPR3,EPHX2,SCPEP1,ACE2,RAMP2,AGT,ENPEP,PLCB3,ACE,NOS3,ANPEP,MME
GO:0003073	regulation of systemic arterial blood pressure	0.00876	0.00876	1	PCSK5,ACE2,AGT,ENPEP,PLCB3,ACE,NOS3,ANPEP,MME
GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal	0.00363	0.00363	1	PCSK5,ACE2,AGT,ENPEP,ACE,NOS3,ANPEP,MME
GO:0001990	regulation of systemic arterial blood pressure by hormone	0.00049	0.00049	1	PCSK5,ACE2,AGT,ENPEP,ACE,NOS3,ANPEP,MME
GO:0003081	regulation of systemic arterial blood pressure by renin-angiotensin	0.000192	0.000192	1	PCSK5,ACE2,AGT,ENPEP,ACE,ANPEP,MME
GO:0002016	regulation of blood volume by renin-angiotensin	0.0101	0.0101	1	ACE2,AGT,ACE
GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	8.37e-05	8.37e-05	1	PCSK5,ACE2,AGT,ENPEP,ACE,ANPEP,MME
GO:0051604	protein maturation	0.0213	0.0213	1	PCSK5,LGMN,LHB,CGB,TNFSF10,ACE2,CGA,AGT,ENPEP,XDH,ACE,MFI2,RET,ANPEP,KLK6,EIF2AK3,BOK,TMPRSS2,CGB5,CGB7,MME,CGB8
GO:0016485	protein processing	0.00883	0.00883	1	PCSK5,LGMN,LHB,CGB,TNFSF10,ACE2,CGA,AGT,ENPEP,XDH,ACE,MFI2,RET,ANPEP,KLK6,EIF2AK3,BOK,TMPRSS2,CGB5,CGB7,MME,CGB8
GO:0016486	peptide hormone processing	2.77e-09	2.77e-09	1	PCSK5,LHB,CGB,ACE2,CGA,AGT,ENPEP,ACE,ANPEP,CGB5,CGB7,MME,CGB8
GO:0044268	multicellular organismal protein metabolic process	0.0026	0.0026	1	ACE2,ENPEP,ACE
GO:0060177	regulation of angiotensin metabolic process	0.000149	0.000149	1	ACE2,AGT,ENPEP,ACE,ANPEP,MME
GO:0002002	regulation of angiotensin levels in blood	0.000149	0.000149	1	ACE2,AGT,ENPEP,ACE,ANPEP,MME
GO:0002003	angiotensin maturation	8.26e-05	8.26e-05	1	ACE2,AGT,ENPEP,ACE,ANPEP,MME
GO:0030299	intestinal cholesterol absorption	0.016	0.016	1	NPC1L1,APOA4,ABCG8,SOAT2
GO:0044254	multicellular organismal protein catabolic process	0.0026	0.0026	1	ACE2,ENPEP,ACE
GO:0002005	angiotensin catabolic process in blood	0.0026	0.0026	1	ACE2,ENPEP,ACE
GO:0009064	glutamine family amino acid metabolic process	0.00151	0.00151	1	NOS2,CPS1,OTC,ALDH18A1,OAT,NOS1,PRODH,AADAT,NOS3
GO:0009065	glutamine family amino acid catabolic process	0.0241	0.0241	1	NOS2,OAT,NOS1,PRODH,NOS3
GO:0006525	arginine metabolic process	0.000953	0.000953	1	NOS2,CPS1,OTC,OAT,NOS1,NOS3
GO:0006527	arginine catabolic process	0.00986	0.00986	1	NOS2,OAT,NOS1,NOS3
GO:0006560	proline metabolic process	0.0482	0.0482	1	ALDH18A1,OAT,PRODH
GO:0055088	lipid homeostasis	0.00397	0.00397	1	RORA,C1QTNF3,HNF4A,APOA4,EPHX2,ABCG8,MALL,LIPC,SOAT2,NR1D2,PTCHD2,APOC4
GO:0055092	sterol homeostasis	0.00488	0.00488	1	RORA,HNF4A,APOA4,EPHX2,ABCG8,MALL,LIPC,SOAT2,PTCHD2
GO:0042632	cholesterol homeostasis	0.00488	0.00488	1	RORA,HNF4A,APOA4,EPHX2,ABCG8,MALL,LIPC,SOAT2,PTCHD2
GO:0055090	acylglycerol homeostasis	0.0108	0.0108	1	RORA,C1QTNF3,HNF4A,APOA4,LIPC,APOC4
GO:0070328	triglyceride homeostasis	0.0108	0.0108	1	RORA,C1QTNF3,HNF4A,APOA4,LIPC,APOC4
