Name	Description	pvalue	qvalue	phenotype	genes
GO:0071985	multivesicular body sorting pathway	0.0402	0.0402	1	VTA1,RAB27B,RAB27A,CHMP5,SYTL4
GO:0097012	response to granulocyte macrophage colony-stimulating factor	0.0694	0.0694	1	PDE1B,NPR2,PDE2A
GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus	0.0694	0.0694	1	PDE1B,NPR2,PDE2A
GO:0060021	palate development	1	1	1	TGFBR3,EPHB2,SMAD4,EPHB3
GO:0051095	regulation of helicase activity	0.151	0.151	1	MSH2,SSBP1,MSH3,MSH6,CHTOP
GO:0051096	positive regulation of helicase activity	0.0124	0.0124	1	MSH2,SSBP1,MSH3,MSH6,CHTOP
GO:0010737	protein kinase A signaling	0.439	0.439	1	GAL,GCG,SPHKAP
GO:0044872	lipoprotein localization	1	1	1	UNC119,LRP1,UNC119B
GO:0042953	lipoprotein transport	1	1	1	UNC119,LRP1,UNC119B
GO:0030091	protein repair	1	1	1	MSRB2,MSRB3
GO:0010248	establishment or maintenance of transmembrane electrochemical gradient	0.377	0.377	1	ATP1B3,ATP12A,BAX,ATP4A,ATP1B2,ATP1A4
GO:0007229	integrin-mediated signaling pathway	0.000521	0.000521	1	FGR,NME1-NME2,FERMT2,TXK,CDH17,CEACAM1,ITGB5,COL16A1,MADCAM1,TIMP1,APOA1,PTK2B,LAMA5,CD63,ADAM10,ITGAV,ITGB1,DOCK1,ZYX,ITGA2,SYK,COL3A1,PTK2,RCC2,FLNA,SRC,PHACTR4,ITGB3
GO:2001044	regulation of integrin-mediated signaling pathway	0.689	0.689	1	TIMP1,CD63,FLNA,PHACTR4
GO:2001046	positive regulation of integrin-mediated signaling pathway	1	1	1	CD63,FLNA
GO:0034497	protein localization to pre-autophagosomal structure	1	1	1	WDR45L,ATG13
GO:0070314	G1 to G0 transition	0.118	0.118	1	SLC39A5,ZNF503
GO:0010216	maintenance of DNA methylation	0.874	0.874	1	DNMT1,USP7,UHRF1
GO:0036017	response to erythropoietin	0.294	0.294	1	MT2A,KIT,MT1X
GO:0036018	cellular response to erythropoietin	0.294	0.294	1	MT2A,KIT,MT1X
GO:0097503	sialylation	0.212	0.212	1	ST6GALNAC1,ST8SIA6,ST6GALNAC6
GO:0036015	response to interleukin-3	1	1	1	GSK3B,MT2A
GO:0036016	cellular response to interleukin-3	1	1	1	GSK3B,MT2A
GO:0031647	regulation of protein stability	0.313	0.313	1	ZNF207,CCDC88C,CTSA,ATP1B3,PFN2,SEL1L,SREBF1,NLK,AURKA,HDAC6,MAPK1,HPS4,TELO2,PYCARD,CTSH,TMEM147,DVL1,GTPBP4,PFN1,WFS1,PDCD10,SUMO1,TSPAN1,APOA1,CREB1,TRIM24,PEX6,NCLN,ATP1B2,TRIM21,CDC73,DSC3,DERL1,HSPD1,SNCA,ANK2,PIK3R1,A1CF,GNAQ,APOA2,KIAA1967,VPS11,PPAP2B,STXBP4,PPIB,CDKN2AIP,TNIP2,CRTAP,HDAC3,HCFC1,CPN2,CHEK2,HIST1H1B,NOMO2,LAMP1,TOMM7,FLNA
GO:0031648	protein destabilization	0.964	0.964	1	CTSH,TMEM147,CDC73,DERL1
GO:0050821	protein stabilization	0.908	0.908	1	ZNF207,ATP1B3,PFN2,SEL1L,NLK,HPS4,TELO2,DVL1,GTPBP4,PFN1,WFS1,PDCD10,SUMO1,TSPAN1,APOA1,CREB1,PEX6,ATP1B2,DSC3,HSPD1,ANK2,PIK3R1,A1CF,GNAQ,PPAP2B,STXBP4,PPIB,TNIP2,CRTAP,HCFC1,CPN2,CHEK2,HIST1H1B,LAMP1,FLNA
GO:0020027	hemoglobin metabolic process	1	1	1	PRMT1,LDB1
GO:0042541	hemoglobin biosynthetic process	1	1	1	PRMT1,LDB1
GO:0046984	regulation of hemoglobin biosynthetic process	1	1	1	PRMT1,LDB1
GO:0046985	positive regulation of hemoglobin biosynthetic process	0.7	0.7	1	PRMT1,LDB1
GO:0036005	response to macrophage colony-stimulating factor	1	1	1	PDE1B,MST1R,PDE2A
GO:0036006	cellular response to macrophage colony-stimulating factor stimulus	1	1	1	PDE1B,MST1R,PDE2A
GO:0036119	response to platelet-derived growth factor	0.64	0.64	1	PDGFRB,CORO1B
GO:0036120	cellular response to platelet-derived growth factor stimulus	0.452	0.452	1	PDGFRB,CORO1B
GO:0051341	regulation of oxidoreductase activity	0.025	0.025	1	GLA,NPR3,AGT,GCHFR,PRKG2,NOS3
GO:0032768	regulation of monooxygenase activity	0.0141	0.0141	1	GLA,NPR3,GCHFR,PRKG2,CYGB,NOS3
GO:0050999	regulation of nitric-oxide synthase activity	0.0019	0.0019	1	ATP2B4,SCARB1,DNM2,HSP90AA1,GLA,CAV1,WASL,ENG,NPR3,LYPLA1,TERF2,GCHFR,PRKG2,CALM2,DDAH1,CALM3,CYGB,NOSTRIN,NOS3,CALM1,DHFR
GO:0051353	positive regulation of oxidoreductase activity	0.416	0.416	1	NPR3,AGT
GO:0009410	response to xenobiotic stimulus	1.53e-07	1.53e-07	1	GGCT,FMO1,DPEP1,RORA,CYP2W1,MGST2,COMT,FMO2,GGT1,CYP2D6,HNF4A,SULT2A1,CYP2C18,SULT1E1,UGDH,AADAC,SLC35D1,EPHX2,ACY3,GGT2,GSTM1,GSTM5,UGT2B28,CYP27A1,ALDH1B1,CYP2C9,PAPSS1,CYP4B1,SLC26A2,UGT2B4,CYP2C19,CYP2S1,CYP7A1,GSTA4,CES2,ADH6,SULT1B1,MAOA,ADH7,SULT1A1,UGT2B15,SULT1A2,GSTK1,SULT1C2,PAPSS2,GSTM2,UGT2B11,GSTA1,ACY1,GSTA2,SULT1A3
GO:0071466	cellular response to xenobiotic stimulus	1.25e-07	1.25e-07	1	GGCT,FMO1,DPEP1,RORA,CYP2W1,MGST2,COMT,FMO2,GGT1,CYP2D6,HNF4A,SULT2A1,CYP2C18,SULT1E1,UGDH,AADAC,SLC35D1,EPHX2,ACY3,GGT2,GSTM1,GSTM5,UGT2B28,CYP27A1,ALDH1B1,CYP2C9,PAPSS1,CYP4B1,SLC26A2,UGT2B4,CYP2C19,CYP2S1,CYP7A1,GSTA4,CES2,ADH6,SULT1B1,MAOA,ADH7,SULT1A1,UGT2B15,SULT1A2,GSTK1,SULT1C2,PAPSS2,GSTM2,UGT2B11,GSTA1,ACY1,GSTA2,SULT1A3
GO:0006805	xenobiotic metabolic process	1.02e-07	1.02e-07	1	GGCT,FMO1,DPEP1,RORA,CYP2W1,MGST2,COMT,FMO2,GGT1,CYP2D6,HNF4A,SULT2A1,CYP2C18,SULT1E1,UGDH,AADAC,SLC35D1,EPHX2,ACY3,GGT2,GSTM1,GSTM5,UGT2B28,CYP27A1,ALDH1B1,CYP2C9,PAPSS1,CYP4B1,SLC26A2,UGT2B4,CYP2C19,CYP2S1,CYP7A1,GSTA4,CES2,ADH6,SULT1B1,MAOA,ADH7,SULT1A1,UGT2B15,SULT1A2,GSTK1,SULT1C2,PAPSS2,GSTM2,UGT2B11,GSTA1,ACY1,GSTA2,SULT1A3
GO:0042178	xenobiotic catabolic process	0.00188	0.00188	1	CRYZ,GSTM1,GSTM3,GSTO1,GSTM4,GSTM2
GO:0035385	Roundabout signaling pathway	0.00931	0.00931	1	SLIT2,ROBO1,SLIT3,SLIT1
GO:0071569	protein ufmylation	1	1	1	CDK5RAP3,UFC1
GO:0090611	ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway	0.0515	0.0515	1	CHMP4B,VPS4B,CHMP4C,PDCD6IP
GO:0071941	nitrogen cycle metabolic process	0.00721	0.00721	1	CPS1,OTC,CAD,ASL,ASS1,CYP2C9
GO:0019627	urea metabolic process	0.00447	0.00447	1	CPS1,OTC,CAD,ASL,ASS1,CYP2C9
GO:0000050	urea cycle	0.0143	0.0143	1	CPS1,OTC,CAD,ASL,ASS1
