Name	Description	pvalue	qvalue	phenotype	genes
GO:0016052	carbohydrate catabolic process	0.0343	0.0343	1	PFKP,PYGB,PRKAG2,LRP5,PRKAA2,PGAM2,PPP1R3B,FUT2
GO:0044724	single-organism carbohydrate catabolic process	0.0224	0.0224	1	PFKP,PYGB,PRKAG2,LRP5,PRKAA2,PGAM2,PPP1R3B,FUT2
GO:0006091	generation of precursor metabolites and energy	0.000505	0.000505	1	PFKP,FH,PYGB,PRKAG2,PRKAR1A,NDUFS8,NDUFS7,FASTKD3,COX7C,PRKAB2,ATP5G2,FASTKD1,ATP5G3,ATP5G1,PRKAA2,PGAM2,ADCY5,PPP1R3B,COX2,COX1,COX3
GO:0022900	electron transport chain	0.0161	0.0161	1	NDUFS8,NDUFS7,COX7C,ATP5G2,ATP5G3,ATP5G1,COX2,COX1,COX3
GO:0015980	energy derivation by oxidation of organic compounds	0.000268	0.000268	1	FH,PYGB,PRKAG2,PRKAR1A,NDUFS8,NDUFS7,FASTKD3,COX7C,PRKAB2,ATP5G2,FASTKD1,ATP5G3,ATP5G1,PRKAA2,ADCY5,PPP1R3B,COX2,COX1,COX3
GO:0045333	cellular respiration	0.00237	0.00237	1	FH,NDUFS8,NDUFS7,FASTKD3,COX7C,ATP5G2,FASTKD1,ATP5G3,ATP5G1,COX2,COX1,COX3
GO:0022904	respiratory electron transport chain	0.0151	0.0151	1	NDUFS8,NDUFS7,COX7C,ATP5G2,ATP5G3,ATP5G1,COX2,COX1,COX3
GO:0015672	monovalent inorganic cation transport	0.0374	0.0374	1	SNTA1,PRKAG2,FGF12,PRKAB2,ATP5G2,DRD2,ATP5G3,RNF207,ATP5G1,PRKAA2,PCSK9,COX7B2,NPPA,SLC8A1,COX2,COX1,CPT1B
GO:0044057	regulation of system process	8.92e-07	8.92e-07	1	PPP1R12B,SNTA1,TNNC1,TNNI3K,TNNT2,EDN2,CSRP3,PLCE1,CORIN,DRD2,GHRL,TRIM63,RNF207,TNNI1,TMEM65,ATP2A2,NPPA,SLC8A1,CTNNA3,MYL4,GJA5
GO:0003012	muscle system process	4.46e-12	4.46e-12	1	PPP1R12B,CACNA1S,SMPX,SNTA1,MYL7,CRYAB,FGF12,TNNC1,TNNI3K,TNNT2,EDN2,CSRP3,TMOD1,PLCE1,DRD2,SORBS2,TRIM63,RNF207,TNNI1,PDLIM5,PGAM2,LMOD2,ATP2A2,NPPA,SLC8A1,CTNNA3,MYL4,GJA5
