Name	Description	pvalue	qvalue	phenotype	genes
GO:0033483	gas homeostasis	0.162	0.162	1	GSTP1,NARFL,CAV1,SOD2,EGLN1
GO:0032364	oxygen homeostasis	0.583	0.583	1	NARFL,SOD2,EGLN1
GO:0007229	integrin-mediated signaling pathway	0.677	0.677	1	FGR,ITGA2B,NME1-NME2,CUL3,BCAR1,FERMT2,COL16A1,HCK,NEDD9,PLEK,APOA1,LAMA5,CCM2,ITGAV,ITGB1,DOCK1,DST,ZYX,ITGA2,ILK,COL3A1,ADAM9,PTK2,RCC2,PRKD1,PHACTR4
GO:2001044	regulation of integrin-mediated signaling pathway	1	1	1	PRKD1,PHACTR4
GO:0009299	mRNA transcription	0.31	0.31	1	EEF1D,DDX5,HIPK3,SRF,ZBTB1,ARNT,HSF1
GO:0042789	mRNA transcription from RNA polymerase II promoter	1	1	1	SRF,ZBTB1,ARNT
GO:0045342	MHC class II biosynthetic process	1	1	1	SIRT1,PF4,HDAC2
GO:0045346	regulation of MHC class II biosynthetic process	0.912	0.912	1	SIRT1,PF4,HDAC2
GO:0045347	negative regulation of MHC class II biosynthetic process	0.479	0.479	1	PF4,HDAC2
GO:0070358	actin polymerization-dependent cell motility	1	1	1	EPS8,JMY
GO:0043570	maintenance of DNA repeat elements	0.225	0.225	1	MSH2,MSH3,TCF7L2
GO:0015949	nucleobase-containing small molecule interconversion	0.007	0.007	1	NME1-NME2,CTPS2,NME4,AK1,GUK1,AK5,AKD1,CMPK1,RRM1,DTYMK,RRM2,GLRX,NME1
GO:0055094	response to lipoprotein particle	1	1	1	CD81,CD36,ITGB1,ADAM17,ABCA1
GO:0055098	response to low-density lipoprotein particle	0.931	0.931	1	CD81,CD36,ITGB1,ABCA1
GO:0071402	cellular response to lipoprotein particle stimulus	1	1	1	CD81,CD36,ITGB1
GO:0071404	cellular response to low-density lipoprotein particle stimulus	1	1	1	CD81,CD36,ITGB1
GO:0015671	oxygen transport	0.127	0.127	1	CYGB,HBA2,HBA1
GO:2000574	regulation of microtubule motor activity	0.537	0.537	1	PAFAH1B1,WDR43,WDR81
GO:0060021	palate development	1	1	1	LRP6,LEF1,SMAD4
GO:0051767	nitric-oxide synthase biosynthetic process	1	1	1	GSTP1,JAK2,NAMPT,TLR4,NOD2
GO:0051769	regulation of nitric-oxide synthase biosynthetic process	1	1	1	GSTP1,JAK2,NAMPT,TLR4,NOD2
GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	1	1	1	JAK2,NAMPT,TLR4,NOD2
GO:0070555	response to interleukin-1	0.34	0.34	1	MYLK3,XCL1,XCL2,ANKRD1
GO:0071347	cellular response to interleukin-1	0.175	0.175	1	MYLK3,XCL1,XCL2,ANKRD1
GO:0070498	interleukin-1-mediated signaling pathway	1	1	1	IL1R1,IRAK2
GO:0045454	cell redox homeostasis	1	1	1	KRIT1,ERP44,TXNL1,TXN2,GPX1
GO:0042769	DNA damage response, detection of DNA damage	6.07e-11	6.07e-11	1	ZBTB32,RFC1,PNKP,RFC2,MRPS35,POLD1,RAD18,POLD3,RBX1,RPA3,POLD2,RFC5,RPA2,UBE2B,MRPS26,RPA1,PCNA,RFC3,MRPS9,CUL4A,RPS27A,RPS3,HMGA2,UBC,CUL4B,USP1,RFC4,DDB1,UBB,MRPS11,UBA52
GO:0020027	hemoglobin metabolic process	0.366	0.366	1	PRMT1,AHSP,LDB1
GO:0042541	hemoglobin biosynthetic process	1	1	1	PRMT1,LDB1
GO:0046984	regulation of hemoglobin biosynthetic process	0.425	0.425	1	PRMT1,LDB1
GO:0046985	positive regulation of hemoglobin biosynthetic process	0.232	0.232	1	PRMT1,LDB1
GO:0006662	glycerol ether metabolic process	1	1	1	AGPS,GNPAT
GO:0046485	ether lipid metabolic process	1	1	1	AGPS,GNPAT
GO:0097384	cellular lipid biosynthetic process	1	1	1	AGPS,GNPAT
GO:1901503	ether biosynthetic process	1	1	1	AGPS,GNPAT
GO:0046504	glycerol ether biosynthetic process	1	1	1	AGPS,GNPAT
GO:0008611	ether lipid biosynthetic process	1	1	1	AGPS,GNPAT
GO:0035694	mitochondrial protein catabolic process	0.125	0.125	1	SPATA18,BNIP3
GO:0036017	response to erythropoietin	0.618	0.618	1	MT2A,MT1X
GO:0036018	cellular response to erythropoietin	0.618	0.618	1	MT2A,MT1X
GO:0010501	RNA secondary structure unwinding	0.00408	0.00408	1	DDX20,DDX3Y,DDX1,DDX18,DDX17,DDX50,DDX5,DDX25,DDX6,DDX54,DDX39A,DDX27,EIF4A3,DDX46,DDX4,EIF4A2,EIF4A1,DDX23,DDX10,DDX51,DDX42,DDX39B,DDX47,DDX3X
GO:0036260	RNA capping	0.00112	0.00112	1	POLR2J,MNAT1,METTL1,POLR2B,RNMT,POLR2C,ERCC2,POLR2I,GTF2H1,GTF2H3,NCBP2,GTF2F1,NCBP1,POLR2D,ERCC3,POLR2H,FAM103A1,TRMT112,POLR2A,GTF2F2,SUPT5H,GTF2H4,GTF2H5
