Name	Description	pvalue	qvalue	phenotype	genes
GO:1990267	response to transition metal nanoparticle	1.11e-06	1.11e-06	1	ATP7B,MT1G,MT2A,MT1B,MT1E,MT1X,SLC30A10,MT1F,MT1H,MT1A,MT1M
GO:0010035	response to inorganic substance	3.19e-08	3.19e-08	1	HMOX1,CAT,ATP7B,MT1G,MT2A,TRAP1,TXN,ALS2CR8,RPS3,FABP1,PRDX2,MT1B,MT1E,MT1X,HBA2,MTF1,SLC30A10,MT1F,MT1H,MT1A,MT1M,HBA1,DHFR
GO:0010038	response to metal ion	0.000538	0.000538	1	ATP7B,MT1G,MT2A,ALS2CR8,MT1B,MT1E,MT1X,MTF1,SLC30A10,MT1F,MT1H,MT1A,MT1M
GO:0046686	response to cadmium ion	6.75e-07	6.75e-07	1	MT1G,MT1E,MT1X,MT1F,MT1H,MT1A
GO:0010043	response to zinc ion	2.92e-09	2.92e-09	1	MT1G,MT2A,MT1B,MT1E,MT1X,SLC30A10,MT1F,MT1H,MT1A,MT1M
GO:0071241	cellular response to inorganic substance	0.000389	0.000389	1	MT1G,MT2A,ALS2CR8,MT1B,MT1E,MT1X,MT1F,MT1H,MT1A,MT1M
GO:0071248	cellular response to metal ion	0.000114	0.000114	1	MT1G,MT2A,ALS2CR8,MT1B,MT1E,MT1X,MT1F,MT1H,MT1A,MT1M
GO:0071276	cellular response to cadmium ion	9.39e-08	9.39e-08	1	MT1G,MT1E,MT1X,MT1F,MT1H,MT1A
GO:0071294	cellular response to zinc ion	2.7e-12	2.7e-12	1	MT1G,MT2A,MT1B,MT1E,MT1X,MT1F,MT1H,MT1A,MT1M
GO:0006979	response to oxidative stress	0.00641	0.00641	1	HMOX1,HYAL1,PRDX1,PRDX6,CAT,TRAP1,TXN,RPS3,FABP1,PRDX2,ATOX1,P4HB,HBA2,HBA1,DHFR
GO:0000302	response to reactive oxygen species	2.02e-06	2.02e-06	1	HMOX1,HYAL1,PRDX1,PRDX6,CAT,TRAP1,TXN,RPS3,FABP1,PRDX2,ATOX1,P4HB,HBA2,HBA1,DHFR
GO:0042542	response to hydrogen peroxide	0.000451	0.000451	1	HMOX1,CAT,TRAP1,TXN,RPS3,FABP1,HBA2,HBA1
GO:0045926	negative regulation of growth	0.0295	0.0295	1	HYAL1,MT1G,MT2A,ESR2,MT1B,MT1E,MT1X,MT1F,MT1H,MT1A,MT1M
GO:0006720	isoprenoid metabolic process	0.05	0.05	1	RETSAT,PHYH,PECR,SDC1,GPC3,CYP3A4,SDR16C5,AKR1C1
GO:0009410	response to xenobiotic stimulus	1.06e-05	1.06e-05	1	CYP3A43,MGST2,AHCY,CYP3A5,SULT1E1,UGDH,CYP2J2,SLC26A1,GSTO1,CYP3A4,CYP3A7,AKR1C1,SULT1A1,GSTK1,ADH5,SULT1C4,SULT1A3,CYP3A7-CYP3AP1
GO:0071466	cellular response to xenobiotic stimulus	9.77e-06	9.77e-06	1	CYP3A43,MGST2,AHCY,CYP3A5,SULT1E1,UGDH,CYP2J2,SLC26A1,GSTO1,CYP3A4,CYP3A7,AKR1C1,SULT1A1,GSTK1,ADH5,SULT1C4,SULT1A3,CYP3A7-CYP3AP1
GO:0006805	xenobiotic metabolic process	9e-06	9e-06	1	CYP3A43,MGST2,AHCY,CYP3A5,SULT1E1,UGDH,CYP2J2,SLC26A1,GSTO1,CYP3A4,CYP3A7,AKR1C1,SULT1A1,GSTK1,ADH5,SULT1C4,SULT1A3,CYP3A7-CYP3AP1
GO:0032984	macromolecular complex disassembly	1.79e-19	1.79e-19	1	RPL26L1,RPL18,RPL6,RPS16,RPS19,RPL18A,RPS13,RPL24,RPS15,MRPL19,RPS25,MTRF1,RPL21,RPL5,RPS10,RPL27,HRSP12,RPL35,RPS24,RPS2,RPS11,RPL11,RPS8,RPL10,RPL7,RPL7A,RPS3,RPL26,RPL29,APEH,RPS14,MID1IP1,RPL27A,RPL13,RPSA,RPS9,RPS21,RPS7,RPLP2,RPS27,RPS17,RPL12,RPS4X,RPL23A,KIF4B,RPS18,RPS28
GO:0043241	protein complex disassembly	4.91e-20	4.91e-20	1	RPL26L1,RPL18,RPL6,RPS16,RPS19,RPL18A,RPS13,RPL24,RPS15,MRPL19,RPS25,MTRF1,RPL21,RPL5,RPS10,RPL27,HRSP12,RPL35,RPS24,RPS2,RPS11,RPL11,RPS8,RPL10,RPL7,RPL7A,RPS3,RPL26,RPL29,APEH,RPS14,MID1IP1,RPL27A,RPL13,RPSA,RPS9,RPS21,RPS7,RPLP2,RPS27,RPS17,RPL12,RPS4X,RPL23A,KIF4B,RPS18,RPS28
GO:0043624	cellular protein complex disassembly	2.41e-21	2.41e-21	1	RPL26L1,RPL18,RPL6,RPS16,RPS19,RPL18A,RPS13,RPL24,RPS15,MRPL19,RPS25,MTRF1,RPL21,RPL5,RPS10,RPL27,HRSP12,RPL35,RPS24,RPS2,RPS11,RPL11,RPS8,RPL10,RPL7,RPL7A,RPS3,RPL26,RPL29,APEH,RPS14,MID1IP1,RPL27A,RPL13,RPSA,RPS9,RPS21,RPS7,RPLP2,RPS27,RPS17,RPL12,RPS4X,RPL23A,KIF4B,RPS18,RPS28
GO:0006415	translational termination	4.1e-32	4.1e-32	1	RPL26L1,RPL18,RPL6,RPS16,RPS19,RPL18A,RPS13,RPL24,RPS15,MRPL19,RPS25,MTRF1,RPL21,RPL5,RPS10,RPL27,HRSP12,RPL35,RPS24,RPS2,RPS11,RPL11,RPS8,RPL10,RPL7,RPL7A,RPS3,RPL26,RPL29,APEH,RPS14,RPL27A,RPL13,RPSA,RPS9,RPS21,RPS7,RPLP2,RPS27,RPS17,RPL12,RPS4X,RPL23A,RPS18,RPS28
GO:0055076	transition metal ion homeostasis	0.0152	0.0152	1	FTL,HMOX1,ABCB6,ATP7B,MT2A,FLVCR1,FTH1,HFE2,SLC30A10
GO:0046916	cellular transition metal ion homeostasis	0.00663	0.00663	1	FTL,HMOX1,ABCB6,ATP7B,MT2A,FLVCR1,FTH1,HFE2,SLC30A10
GO:0007031	peroxisome organization	0.0218	0.0218	1	ABCD3,SEC16B,ACOX1,PEX2,PEX11A
GO:0016559	peroxisome fission	0.0246	0.0246	1	SEC16B,ACOX1,PEX11A
GO:0046653	tetrahydrofolate metabolic process	0.0175	0.0175	1	TYMS,DHFRL1,DHFR
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	0.0413	0.0413	1	CDK1,RRM2,TYMS,DHFR
GO:1901615	organic hydroxy compound metabolic process	0.0309	0.0309	1	CROT,IYD,RETSAT,ACAA1,ERLIN1,PNPO,HMGCS1,PECR,PLA2G12A,HSD17B4,SLCO1B1,EBP,ABHD3,LSS,CYP3A4,LIPC,SOAT2,SDR16C5,AKR1C1,ADH5
GO:0042440	pigment metabolic process	2.5e-05	2.5e-05	1	FECH,CPOX,BLVRB,HMOX1,UROD,PAICS,PPOX,UROS,HMBS
GO:0046148	pigment biosynthetic process	0.000258	0.000258	1	FECH,CPOX,UROD,PAICS,PPOX,UROS,HMBS
GO:0033013	tetrapyrrole metabolic process	2.84e-06	2.84e-06	1	FECH,CPOX,BLVRB,HMOX1,ABCB6,ABCD4,UROD,PPOX,UROS,HMBS
GO:0051186	cofactor metabolic process	7.3e-06	7.3e-06	1	CROT,FECH,ACSL4,CPOX,BLVRB,HMOX1,AHCY,PNPO,ABCB6,UROD,GAMT,HSD17B4,IDH1,NUDT7,PPOX,AKR1C2,ACOT12,TYMS,DHFRL1,AKR1C1,UROS,DHFR,HMBS
GO:0051188	cofactor biosynthetic process	0.00287	0.00287	1	FECH,ACSL4,CPOX,PNPO,ABCB6,UROD,PPOX,ACOT12,UROS,DHFR,HMBS
