Name	Description	pvalue	qvalue	phenotype	genes
GO:0034389	lipid particle organization	0.812	0.812	1	RAB18,FAF2,PPID,PPIA,PLIN5
GO:0097264	self proteolysis	0.511	0.511	1	CAPN3,CAPN7
GO:0006975	DNA damage induced protein phosphorylation	1	1	1	MAP2K6,ATM,CHEK1,CHEK2
GO:0048013	ephrin receptor signaling pathway	1	1	1	AP2B1,ANKS1A,EPHA8,ACTB,PAK3,EFNB1,MMP9,ARPC3,ACTR3,ACTR2,PSEN2,PAK1,EPHB1,VAV2,AP2M1,CRK,SDC2,CFL1,HRAS,YES1,AP2A2,ACTG1,EPHB4,AP2A1,SRC,SIPA1L1,ITSN1,ARPC4,LYN,GRIN2B
GO:0019835	cytolysis	1	1	1	BAD,PF4
GO:0042268	regulation of cytolysis	1	1	1	BAD,PF4
GO:0045918	negative regulation of cytolysis	0.617	0.617	1	BAD,PF4
GO:1902742	apoptotic process involved in development	1	1	1	PPP2R1B,SCRIB
GO:0010623	developmental programmed cell death	1	1	1	PPP2R1B,SCRIB
GO:0060561	apoptotic process involved in morphogenesis	1	1	1	PPP2R1B,SCRIB
GO:0018149	peptide cross-linking	1	1	1	FN1,THBS1,EVPL
GO:0097242	beta-amyloid clearance	0.134	0.134	1	LRP1,APOE,MYOCD,LRPAP1
GO:1900221	regulation of beta-amyloid clearance	0.445	0.445	1	APOE,MYOCD,LRPAP1
GO:1900222	negative regulation of beta-amyloid clearance	0.227	0.227	1	MYOCD,LRPAP1
GO:0044872	lipoprotein localization	0.69	0.69	1	UNC119,LRP1,CD36
GO:0042953	lipoprotein transport	0.69	0.69	1	UNC119,LRP1,CD36
GO:0019042	viral latency	0.21	0.21	1	XRCC5,HMGA1,XRCC4,BANF1,PPIA,XRCC6
GO:0019043	establishment of viral latency	0.12	0.12	1	XRCC5,HMGA1,XRCC4,BANF1,PPIA,XRCC6
GO:0075713	establishment of integrated proviral latency	0.0258	0.0258	1	XRCC5,HMGA1,XRCC4,BANF1,PPIA,XRCC6
GO:0010501	RNA secondary structure unwinding	0.00307	0.00307	1	DDX20,DDX3Y,DDX18,DDX24,DDX17,DDX49,DDX5,DDX25,DDX6,DDX39A,DDX56,EIF4A3,DDX46,DDX4,EIF4A2,DDX19B,EIF4A1,DDX21,DDX19A,DDX42,DDX39B,DDX47,DDX3X,DDX52
GO:0048552	regulation of metalloenzyme activity	1	1	1	TMBIM1,FGFR4,FXN,ATP7A
GO:0048554	positive regulation of metalloenzyme activity	0.556	0.556	1	FGFR4,FXN,ATP7A
GO:0048553	negative regulation of metalloenzyme activity	1	1	1	TMBIM1,ATP7A
GO:0020027	hemoglobin metabolic process	0.0058	0.0058	1	EIF2AK1,ALAS2,AHSP
GO:0042541	hemoglobin biosynthetic process	0.0828	0.0828	1	EIF2AK1,ALAS2
GO:0018202	peptidyl-histidine modification	0.455	0.455	1	DPH5,DPH2,DPH3,EEF2
GO:0017182	peptidyl-diphthamide metabolic process	0.274	0.274	1	DPH5,DPH2,DPH3,EEF2
GO:0017183	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	0.274	0.274	1	DPH5,DPH2,DPH3,EEF2
GO:0002931	response to ischemia	0.835	0.835	1	MLYCD,CPEB4,HYOU1
GO:0032898	neurotrophin production	0.307	0.307	1	PCSK6,FURIN
GO:0030317	sperm motility	0.0737	0.0737	1	DNAH5,DNAH11
GO:1902414	protein localization to cell junction	1	1	1	DSP,SCRIB
GO:0071896	protein localization to adherens junction	1	1	1	DSP,SCRIB
GO:0021675	nerve development	1	1	1	NRP1,DICER1,TMEM126A
GO:0021545	cranial nerve development	1	1	1	TMEM126A,CHD7
GO:0033483	gas homeostasis	0.0333	0.0333	1	GSTP1,NARFL,SOD2,EGLN1,ALAS2
GO:0032364	oxygen homeostasis	0.0609	0.0609	1	NARFL,SOD2,EGLN1,ALAS2
GO:0032020	ISG15-protein conjugation	0.797	0.797	1	UBE2E1,UBE2E2,ISG15
GO:0034405	response to fluid shear stress	0.544	0.544	1	ASS1,P2RX4,NOS3,ABCA1,SREBF2
