Name	Description	pvalue	qvalue	phenotype	genes
GO:0009299	mRNA transcription	0.866	0.866	1	DDX5,HIPK3,MED1,POU5F1
GO:0042789	mRNA transcription from RNA polymerase II promoter	1	1	1	MED1,POU5F1
GO:0018343	protein farnesylation	0.133	0.133	1	FNTA,FNTB
GO:0033483	gas homeostasis	0.0192	0.0192	1	EGLN1,ALAS2
GO:0032364	oxygen homeostasis	0.0104	0.0104	1	EGLN1,ALAS2
GO:0002251	organ or tissue specific immune response	1	1	1	HIST1H2BJ,FAU,HIST1H2BC,HIST2H2BE,HIST1H2BK,OTUD7B,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0002385	mucosal immune response	1	1	1	HIST1H2BJ,FAU,HIST1H2BC,HIST2H2BE,HIST1H2BK,OTUD7B,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0002227	innate immune response in mucosa	1	1	1	HIST1H2BJ,FAU,HIST1H2BC,HIST2H2BE,HIST1H2BK,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0045056	transcytosis	1	1	1	VPS35,FCGRT,RAB17,USO1
GO:0002414	immunoglobulin transcytosis in epithelial cells	1	1	1	FCGRT,RAB17
GO:0018904	ether metabolic process	0.281	0.281	1	AGPS,PEX7,GNPAT
GO:0006662	glycerol ether metabolic process	0.191	0.191	1	AGPS,PEX7,GNPAT
GO:0046485	ether lipid metabolic process	0.191	0.191	1	AGPS,PEX7,GNPAT
GO:0097384	cellular lipid biosynthetic process	0.0648	0.0648	1	AGPS,PEX7,GNPAT
GO:1901503	ether biosynthetic process	0.0648	0.0648	1	AGPS,PEX7,GNPAT
GO:0046504	glycerol ether biosynthetic process	0.0648	0.0648	1	AGPS,PEX7,GNPAT
GO:0008611	ether lipid biosynthetic process	0.0648	0.0648	1	AGPS,PEX7,GNPAT
GO:0071941	nitrogen cycle metabolic process	0.461	0.461	1	CAD,SLC25A15,ARG1,SLC25A2,ASS1,ISCU
GO:0019627	urea metabolic process	0.787	0.787	1	CAD,SLC25A15,ARG1,SLC25A2,ASS1
GO:0000050	urea cycle	0.415	0.415	1	CAD,SLC25A15,ARG1,SLC25A2,ASS1
GO:0010501	RNA secondary structure unwinding	3.76e-12	3.76e-12	1	DDX20,DDX3Y,DDX1,DDX43,DDX24,DDX17,DDX50,DDX5,DDX6,DDX27,DDX56,EIF4A3,DDX46,DDX4,EIF4A2,EIF4A1,TDRD12,DDX23,DDX41,DDX53,DDX51,DDX42,DDX3X,DDX52
GO:0046685	response to arsenic-containing substance	0.12	0.12	1	SRRT,CPEB2,RBM4,DDX3X
GO:0071243	cellular response to arsenic-containing substance	0.792	0.792	1	PPIF,CPEB2,DDX3X
GO:0034389	lipid particle organization	0.632	0.632	1	RAB18,FAF2,RAB3GAP1,PPID,PPIA,FITM2
GO:0010248	establishment or maintenance of transmembrane electrochemical gradient	0.294	0.294	1	BAK1,ATP1B3,ATP12A,BAX,ATP4A,ATP1B2,ATP1B1,ATP1A1
GO:0045229	external encapsulating structure organization	0.994	0.994	1	TGM1,HRNR
GO:0043163	cell envelope organization	0.994	0.994	1	TGM1,HRNR
GO:0060021	palate development	1	1	1	TGFBR3,LRP6,WNT5A,SUMO1,TCF21,EPHB2,LEF1,SMAD4,SMAD2,EPHB3
GO:0006975	DNA damage induced protein phosphorylation	0.00715	0.00715	1	CHEK1,CHEK2
GO:0035455	response to interferon-alpha	0.251	0.251	1	TPR,EIF2AK2,GATA3,BST2,ADAR
GO:0035457	cellular response to interferon-alpha	0.216	0.216	1	TPR,GATA3
GO:0045116	protein neddylation	0.000309	0.000309	1	RBX1,NEDD8,UBE2M,DCUN1D5,UBA3,NAE1
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	0.0104	0.0104	1	NUP133,NUP107,LDB1
