Name	Description	pvalue	qvalue	phenotype	genes
GO:0044033	multi-organism metabolic process	0.00255	0.00255	1	RPL18,RPL31,RPL6,RPLP0,RPL24,RPS10,RPS4Y1,RPL13A,RPL9,RPL27A,RPL15,RPLP2,RPL14,RPL12,RPS4X,RPS18,RPL17
GO:0019058	viral life cycle	0.0123	0.0123	1	RPL18,RPL31,RPL6,RPLP0,RPL24,RPS10,RPS4Y1,RAB1A,RPL13A,RPL9,RPL27A,PPIB,RPL15,RAB1B,RPLP2,P4HB,RPL14,DPP4,RPL12,RPS4X,TRIM15,RPS18,RPL17
GO:0019080	viral gene expression	0.00156	0.00156	1	RPL18,RPL31,RPL6,RPLP0,RPL24,RPS10,RPS4Y1,RPL13A,RPL9,RPL27A,RPL15,RPLP2,RPL14,RPL12,RPS4X,RPS18,RPL17
GO:0019083	viral transcription	0.000756	0.000756	1	RPL18,RPL31,RPL6,RPLP0,RPL24,RPS10,RPS4Y1,RPL13A,RPL9,RPL27A,RPL15,RPLP2,RPL14,RPL12,RPS4X,RPS18,RPL17
GO:0034205	beta-amyloid formation	0.0496	0.0496	1	ABCA7,PICALM,TMED10
GO:1902003	regulation of beta-amyloid formation	0.0496	0.0496	1	ABCA7,PICALM,TMED10
GO:0043062	extracellular structure organization	0.00343	0.00343	1	TLL1,LAMC3,ITGA6,SERPINE1,FN1,COL21A1,GLT25D1,ITGB4,PHLDB2,HAPLN1,SERPINH1,PLOD2,PPIB,BMP1,FGG,FGA,FGB,P4HB,COL14A1,LAMA2,TRAPPC4,DPP4
GO:0030198	extracellular matrix organization	0.00327	0.00327	1	TLL1,LAMC3,ITGA6,SERPINE1,FN1,COL21A1,GLT25D1,ITGB4,PHLDB2,HAPLN1,SERPINH1,PLOD2,PPIB,BMP1,FGG,FGA,FGB,P4HB,COL14A1,LAMA2,TRAPPC4,DPP4
GO:0009311	oligosaccharide metabolic process	0.000338	0.000338	1	ST3GAL1,B4GALT1,ST3GAL4,SLC2A1,MAN1C1,ST3GAL3,MPDU1,GAA,MAN1A2
GO:0005984	disaccharide metabolic process	0.0126	0.0126	1	B4GALT1,SLC2A1,GAA
GO:0009312	oligosaccharide biosynthetic process	0.0338	0.0338	1	B4GALT1,SLC2A1,MPDU1
GO:0043687	post-translational protein modification	3.57e-05	3.57e-05	1	ST3GAL1,SEL1L,LMAN1,B4GALT1,GANAB,STS,TUSC3,ST3GAL4,MOGS,MAN1C1,RPN2,ST3GAL3,CANX,SUMF2,DAD1,MGAT1,NPL,RAB1A,ADAMTSL4,RPN1,PDIA3,MUC15,TMED10,CALR,TRAPPC4,MAN1A2,F5,DDOST,SEC22B
GO:0034976	response to endoplasmic reticulum stress	0.0226	0.0226	1	ERP44,HSPA5,ERLEC1,SEL1L,C19ORF10,SSR1,SDF2,PDIA6,AMFR,HSP90B1,PDIA3,CEBPB,YIF1A,CALR,P4HB,PLA2G4B
GO:0030968	endoplasmic reticulum unfolded protein response	0.0438	0.0438	1	HSPA5,C19ORF10,SSR1,SDF2,PDIA6,AMFR,HSP90B1,YIF1A,CALR,PLA2G4B
GO:0044703	multi-organism reproductive process	0.0213	0.0213	1	B4GALT1,IRG1,CGB,ENDOU,INHBA,CRH,HPGD,TAC3,PSG6,PAPPA,PSG9,MAFF,CGB5,CGB7,PSG5,CGB8,PSG3,PSG1,PSG2,PSG11,PSG4,PLA2G4B
GO:0044706	multi-multicellular organism process	8.78e-09	8.78e-09	1	IRG1,ENDOU,CRH,HPGD,TAC3,PSG6,PAPPA,PSG9,MAFF,PSG5,PSG3,PSG1,PSG2,PSG11,PSG4,PLA2G4B
GO:0007567	parturition	0.0012	0.0012	1	CRH,HPGD,MAFF,PLA2G4B
GO:0007565	female pregnancy	8.37e-08	8.37e-08	1	IRG1,ENDOU,CRH,HPGD,TAC3,PSG6,PAPPA,PSG9,PSG5,PSG3,PSG1,PSG2,PSG11,PSG4
GO:0061029	eyelid development in camera-type eye	0.0338	0.0338	1	INHBA,TFAP2A,STRA6
GO:0034116	positive regulation of heterotypic cell-cell adhesion	0.0496	0.0496	1	FGG,FGA,FGB
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	0.00442	0.00442	1	SERPINE1,NOS3,FGG,FGA,FGB
GO:0006897	endocytosis	0.00029	0.00029	1	STAB1,ABCA7,NEDD4,PICALM,RAB21,LRP2,CDC7,SERPINE1,APOA5,CANX,ANXA1,RAB1A,ANXA3,CLTC,CCBP2,EGFR,VLDLR,FCGR1A,DAB2,LRPAP1,ARF6,HSP90B1,RAB4B,LMAN2,CALR,ANXA2,HBA2,TGM2,HBA1,HBB
GO:0006898	receptor-mediated endocytosis	0.000103	0.000103	1	STAB1,NEDD4,PICALM,RAB21,SERPINE1,APOA5,CANX,CLTC,CCBP2,EGFR,VLDLR,DAB2,LRPAP1,ARF6,HSP90B1,CALR,ANXA2,HBA2,HBA1,HBB
GO:0035459	cargo loading into vesicle	0.0216	0.0216	1	PICALM,RAB1A,TMED10
GO:0097070	ductus arteriosus closure	0.00263	0.00263	1	TFAP2B,STRA6,HPGD
GO:0006457	protein folding	9.6e-06	9.6e-06	1	ERP44,HSPA5,SEL1L,LMAN1,ERP29,GANAB,MOGS,MESDC2,FKBP1B,CANX,MPDU1,FKBP11,PDIA6,LRPAP1,HSP90B1,PPIB,PDIA3,CALR,P4HB
GO:0034975	protein folding in endoplasmic reticulum	0.000118	0.000118	1	HSPA5,CANX,HSP90B1,PDIA3,CALR
GO:0018196	peptidyl-asparagine modification	1.26e-09	1.26e-09	1	ST3GAL1,SEL1L,LMAN1,B4GALT1,GANAB,TUSC3,ST3GAL4,MOGS,MAN1C1,RPN2,ST3GAL3,CANX,DAD1,MGAT1,NPL,RAB1A,RPN1,PDIA3,TMED10,CALR,TRAPPC4,MAN1A2,F5,DDOST,SEC22B
