Name	Description	pvalue	qvalue	phenotype	genes
GO:0090662	ATP hydrolysis coupled transmembrane transport	1	1	1	ATP1B3,ATP1B2
GO:0051775	response to redox state	0.132	0.132	1	FKBP1B,NPAS2
GO:0034389	lipid particle organization	1	1	1	RAB18,PPIA
GO:0038001	paracrine signaling	0.0237	0.0237	1	SERPINB3,PDGFB,CD34
GO:0006968	cellular defense response	1	1	1	TCIRG1,HLA-G
GO:0090520	sphingolipid mediated signaling pathway	0.0993	0.0993	1	EZR,S1PR2
GO:0003376	sphingosine-1-phosphate signaling pathway	0.0993	0.0993	1	EZR,S1PR2
GO:0020027	hemoglobin metabolic process	0.0701	0.0701	1	INHBA,AHSP
GO:0002251	organ or tissue specific immune response	0.00053	0.00053	1	NOS2,LTF,HIST1H2BJ,PIGR,HIST1H2BC,HIST2H2BE,HIST1H2BK,DEFA1,DEFA3,DEFA1B,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0002385	mucosal immune response	0.000205	0.000205	1	NOS2,LTF,HIST1H2BJ,PIGR,HIST1H2BC,HIST2H2BE,HIST1H2BK,DEFA1,DEFA3,DEFA1B,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0045056	transcytosis	0.174	0.174	1	VPS35,FCGRT
GO:0002227	innate immune response in mucosa	4.79e-06	4.79e-06	1	NOS2,LTF,HIST1H2BJ,HIST1H2BC,HIST2H2BE,HIST1H2BK,DEFA1,DEFA3,DEFA1B,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0048017	inositol lipid-mediated signaling	0.12	0.12	1	HGF,FLT1,EGFR,GH1
GO:0048015	phosphatidylinositol-mediated signaling	0.118	0.118	1	HGF,FLT1,EGFR,GH1
GO:0014065	phosphatidylinositol 3-kinase signaling	0.0526	0.0526	1	WNT16,HGF,NEDD4,C19ORF10,XBP1,PDGFB,FLT1,AGT,C3ORF58,GH1
GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	0.0131	0.0131	1	WNT16,HGF,NEDD4,C19ORF10,PDGFB,FLT1,AGT,C3ORF58,GH1
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	0.0112	0.0112	1	WNT16,HGF,NEDD4,C19ORF10,PDGFB,FLT1,AGT,GH1
