Name	Description	pvalue	qvalue	phenotype	genes
GO:0007265	Ras protein signal transduction	0.00168	0.00168	1	PSMB1,PSMA4,PSMD8,PSMC6,PSMA3,PSMA6,PSMA7,PSMD7,PSMA2,IL5,PSMD14,PARK7,CDK2,PSMB2,PSMA1,PSME3,KLB,PSMB6,PSMA8,PSMB4,PSMD6,ARF6,PSMC3
GO:0031349	positive regulation of defense response	0.000186	0.000186	1	CCL26,PSMB1,PSMA4,PSMD8,OSM,PSMC6,PSMA3,PSMA6,PSMA7,PSMD7,PSMA2,UBE2D3,WNT5A,PSMD14,PSMB2,PSMA1,PSME3,UBE2D2,CNPY3,PSMB6,PSMA8,PSMB4,PSMD6,PRKACG,PSMC3,KLK7,TLR6
GO:0045088	regulation of innate immune response	0.00226	0.00226	1	PSMB1,PSMA4,PSMD8,PSMC6,PSMA3,PSMA6,PSMA7,PSMD7,PSMA2,UBE2D3,WNT5A,PSMD14,PSMB2,PSMA1,PSME3,UBE2D2,CNPY3,PSMB6,PSMA8,PSMB4,PSMD6,PRKACG,PSMC3,TLR6
GO:0045089	positive regulation of innate immune response	0.000151	0.000151	1	PSMB1,PSMA4,PSMD8,PSMC6,PSMA3,PSMA6,PSMA7,PSMD7,PSMA2,UBE2D3,WNT5A,PSMD14,PSMB2,PSMA1,PSME3,UBE2D2,CNPY3,PSMB6,PSMA8,PSMB4,PSMD6,PRKACG,PSMC3,TLR6
GO:0002218	activation of innate immune response	7.51e-05	7.51e-05	1	PSMB1,PSMA4,PSMD8,PSMC6,PSMA3,PSMA6,PSMA7,PSMD7,PSMA2,UBE2D3,PSMD14,PSMB2,PSMA1,PSME3,UBE2D2,CNPY3,PSMB6,PSMA8,PSMB4,PSMD6,PRKACG,PSMC3,TLR6
GO:0002757	immune response-activating signal transduction	0.017	0.017	1	PSMB1,PSMA4,PSMD8,PSMC6,PSMA3,PSMA6,PSMA7,PSMD7,PSMA2,UBE2D3,PSMD14,PSMB2,PSMA1,PSME3,UBE2D2,CNPY3,PSMB6,PSMA8,PSMB4,PSMD6,PRKACG,PSMC3,CRK,TLR6
GO:0002429	immune response-activating cell surface receptor signaling pathway	0.00102	0.00102	1	PSMB1,PSMA4,PSMD8,PSMC6,PSMA3,PSMA6,PSMA7,PSMD7,PSMA2,PSMD14,PSMB2,PSMA1,PSME3,UBE2D2,PSMB6,PSMA8,PSMB4,PSMD6,PRKACG,PSMC3,CRK
GO:0050851	antigen receptor-mediated signaling pathway	8.62e-06	8.62e-06	1	PSMB1,PSMA4,PSMD8,PSMC6,PSMA3,PSMA6,PSMA7,PSMD7,PSMA2,PSMD14,PSMB2,PSMA1,PSME3,UBE2D2,PSMB6,PSMA8,PSMB4,PSMD6,PSMC3
GO:0050852	T cell receptor signaling pathway	2.16e-07	2.16e-07	1	PSMB1,PSMA4,PSMD8,PSMC6,PSMA3,PSMA6,PSMA7,PSMD7,PSMA2,PSMD14,PSMB2,PSMA1,PSME3,UBE2D2,PSMB6,PSMA8,PSMB4,PSMD6,PSMC3
GO:0002758	innate immune response-activating signal transduction	4.62e-05	4.62e-05	1	PSMB1,PSMA4,PSMD8,PSMC6,PSMA3,PSMA6,PSMA7,PSMD7,PSMA2,UBE2D3,PSMD14,PSMB2,PSMA1,PSME3,UBE2D2,CNPY3,PSMB6,PSMA8,PSMB4,PSMD6,PRKACG,PSMC3,TLR6
GO:0002220	innate immune response activating cell surface receptor signaling pathway	3.41e-09	3.41e-09	1	PSMB1,PSMA4,PSMD8,PSMC6,PSMA3,PSMA6,PSMA7,PSMD7,PSMA2,PSMD14,PSMB2,PSMA1,PSME3,UBE2D2,PSMB6,PSMA8,PSMB4,PSMD6,PRKACG,PSMC3
GO:0002223	stimulatory C-type lectin receptor signaling pathway	2.52e-09	2.52e-09	1	PSMB1,PSMA4,PSMD8,PSMC6,PSMA3,PSMA6,PSMA7,PSMD7,PSMA2,PSMD14,PSMB2,PSMA1,PSME3,UBE2D2,PSMB6,PSMA8,PSMB4,PSMD6,PRKACG,PSMC3
GO:0048873	homeostasis of number of cells within a tissue	0.0365	0.0365	1	SOX9,PRDX5
