Name	Description	pvalue	qvalue	phenotype	genes
GO:0042769	DNA damage response, detection of DNA damage	1.58e-09	1.58e-09	1	RFC1,PNKP,RFC2,POLD1,POLD3,RBX1,RPA3,POLD2,RFC5,RPA2,UBE2B,SOX4,MRPS26,RPA1,PCNA,RFC3,MRPS9,RPS27A,RPS3,HMGA2,UBC,CUL4B,USP1,RFC4,DDB1,UBB,MRPS11,UBA52
GO:0038007	netrin-activated signaling pathway	1	1	1	PTK2,KIAA1598
GO:0035728	response to hepatocyte growth factor	0.525	0.525	1	HGF,BCAR1,SIRT2,NRP1
GO:0035729	cellular response to hepatocyte growth factor stimulus	0.525	0.525	1	HGF,BCAR1,SIRT2,NRP1
GO:0097354	prenylation	0.35	0.35	1	FNTA,FNTB
GO:0018342	protein prenylation	0.35	0.35	1	FNTA,FNTB
GO:0018343	protein farnesylation	0.0451	0.0451	1	FNTA,FNTB
GO:0007185	transmembrane receptor protein tyrosine phosphatase signaling pathway	0.444	0.444	1	TRIO,PTN,PTPRF,PTPRD
GO:0097066	response to thyroid hormone	1	1	1	HPN,MED1,CTSS,CTSB
GO:0097067	cellular response to thyroid hormone stimulus	1	1	1	MED1,CTSS,CTSB
GO:0097384	cellular lipid biosynthetic process	0.212	0.212	1	AGPS,FAR2,GNPAT
GO:1901503	ether biosynthetic process	0.212	0.212	1	AGPS,FAR2,GNPAT
GO:0046504	glycerol ether biosynthetic process	0.212	0.212	1	AGPS,FAR2,GNPAT
GO:0008611	ether lipid biosynthetic process	0.212	0.212	1	AGPS,FAR2,GNPAT
GO:0097242	beta-amyloid clearance	0.402	0.402	1	ABCA7,LRP1,APOE,LRPAP1
GO:1900221	regulation of beta-amyloid clearance	0.603	0.603	1	ABCA7,APOE,LRPAP1
GO:0034698	response to gonadotropin	0.00519	0.00519	1	TGFBR3,SLC5A5,NOTCH1,WT1
GO:0071371	cellular response to gonadotropin stimulus	0.0409	0.0409	1	SLC5A5,NOTCH1,WT1
GO:0099612	protein localization to axon	1	1	1	CNTNAP1,CNTNAP2
GO:0036017	response to erythropoietin	1	1	1	MT2A,KIT
GO:0036018	cellular response to erythropoietin	1	1	1	MT2A,KIT
GO:0002251	organ or tissue specific immune response	0.00812	0.00812	1	HIST1H2BJ,FAU,HIST1H2BC,HIST2H2BE,HIST1H2BK,RPL39,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0002385	mucosal immune response	0.00437	0.00437	1	HIST1H2BJ,FAU,HIST1H2BC,HIST2H2BE,HIST1H2BK,RPL39,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0002227	innate immune response in mucosa	0.000149	0.000149	1	HIST1H2BJ,FAU,HIST1H2BC,HIST2H2BE,HIST1H2BK,RPL39,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0009838	abscission	1	1	1	SPG20,ZFYVE19
GO:0035456	response to interferon-beta	1	1	1	UBE2K,CDC34,HTRA2,PNPT1,IFITM3,UBE2G2
GO:0035458	cellular response to interferon-beta	0.745	0.745	1	UBE2K,CDC34,HTRA2,PNPT1,UBE2G2
GO:0007229	integrin-mediated signaling pathway	1	1	1	FGR,ITGA2B,NME1-NME2,CUL3,BCAR1,COL16A1,HCK,PLEK,ITGA11,ITGAV,SEMA7A,ADAM15,DOCK1,DST,SYK,ADAM9,PTK2,RCC2,PRKD1,SRC
GO:0071569	protein ufmylation	0.167	0.167	1	UFM1,UFC1,DDRGK1
