Name	Description	pvalue	qvalue	phenotype	genes
GO:0045116	protein neddylation	0.0266	0.0266	1	DCUN1D4,DCUN1D5
GO:0009812	flavonoid metabolic process	1	1	1	SULT1B1,SULT1A1,SULT1A3
GO:0018149	peptide cross-linking	1	1	1	ABCA7,CSTA
GO:0034405	response to fluid shear stress	0.701	0.701	1	MEF2C,MTSS1,HDAC3
GO:0034616	response to laminar fluid shear stress	1	1	1	KLF2,MAPK7
GO:0071498	cellular response to fluid shear stress	0.241	0.241	1	MEF2C,MTSS1,HDAC3
GO:0071499	cellular response to laminar fluid shear stress	1	1	1	KLF2,MAPK7
GO:0007585	respiratory gaseous exchange	1	1	1	COX15,CSF2RB,PASK
GO:0034497	protein localization to pre-autophagosomal structure	0.0384	0.0384	1	MFN2,WDR45L,TRAPPC8,WIPI2,ATG13,PACS2,WDR45,ATG9A
GO:0018198	peptidyl-cysteine modification	1	1	1	S100A8,S100A9
GO:0017014	protein nitrosylation	0.861	0.861	1	S100A8,S100A9
GO:0018119	peptidyl-cysteine S-nitrosylation	0.861	0.861	1	S100A8,S100A9
GO:0018158	protein oxidation	1	1	1	PRDX3,TMX3
GO:0072321	chaperone-mediated protein transport	0.903	0.903	1	TIMM13,TIMM10,TOR1A,TIMM8B,PEX19
GO:0070841	inclusion body assembly	1	1	1	HDAC6,DNAJB1,DNAJB2,SORL1,BAG5
GO:0090083	regulation of inclusion body assembly	1	1	1	DNAJB1,DNAJB2,SORL1,BAG5
GO:0090084	negative regulation of inclusion body assembly	1	1	1	DNAJB1,DNAJB2,SORL1
GO:0072338	cellular lactam metabolic process	1	1	1	STAT5A,STAT5B
GO:0046449	creatinine metabolic process	1	1	1	STAT5A,STAT5B
GO:0048009	insulin-like growth factor receptor signaling pathway	1	1	1	TSC2,AKT1,PIK3R1,PHIP,IRS1,PLCB1,IGF2R
GO:0018202	peptidyl-histidine modification	1	1	1	DPH1,DPH5,DPH2,EEF2
GO:0017182	peptidyl-diphthamide metabolic process	1	1	1	DPH1,DPH5,DPH2,EEF2
GO:0017183	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	1	1	1	DPH1,DPH5,DPH2,EEF2
GO:0070528	protein kinase C signaling	1	1	1	CD40,PLEK
GO:0097066	response to thyroid hormone	1	1	1	MED1,RDX,CTSS
GO:0097067	cellular response to thyroid hormone stimulus	1	1	1	MED1,RDX,CTSS
GO:0045454	cell redox homeostasis	1	1	1	KRIT1,ERP44,GPX1
GO:0048102	autophagic cell death	1	1	1	SH3GLB1,CDKN1B
GO:0051180	vitamin transport	1	1	1	CUBN,TTPA
GO:0038027	apolipoprotein A-I-mediated signaling pathway	0.69	0.69	1	ABCA7,RHOA,ITGB3
GO:0055094	response to lipoprotein particle	1	1	1	ADAM17,FCER1G,ITGB2,SYK
GO:0071402	cellular response to lipoprotein particle stimulus	1	1	1	CD36,FCER1G,ITGB2,SYK
GO:0071404	cellular response to low-density lipoprotein particle stimulus	1	1	1	CD36,FCER1G,ITGB2,SYK
GO:0071539	protein localization to centrosome	1	1	1	PCM1,PIBF1,NEDD1,CSNK1D,HOOK3
GO:0035694	mitochondrial protein catabolic process	0.922	0.922	1	BNIP3L,BNIP3
GO:0070584	mitochondrion morphogenesis	1	1	1	PNPT1,SUPV3L1,MFF,MTM1
GO:0009838	abscission	1	1	1	VPS4A,CHMP4C
GO:0048012	hepatocyte growth factor receptor signaling pathway	1	1	1	PTPN2,PTPN1
GO:1902202	regulation of hepatocyte growth factor receptor signaling pathway	0.335	0.335	1	PTPN2,PTPN1
GO:0051767	nitric-oxide synthase biosynthetic process	0.314	0.314	1	FCER2,TLR2,TLR9
GO:0051769	regulation of nitric-oxide synthase biosynthetic process	0.314	0.314	1	FCER2,TLR2,TLR9
GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	0.142	0.142	1	FCER2,TLR2,TLR9
GO:0097354	prenylation	0.61	0.61	1	RABGGTA,PGGT1B,FNTA,CHM,PTAR1,CHML
GO:0018342	protein prenylation	0.61	0.61	1	RABGGTA,PGGT1B,FNTA,CHM,PTAR1,CHML
GO:0018344	protein geranylgeranylation	0.418	0.418	1	RABGGTA,PGGT1B,FNTA,CHM,CHML
GO:0050919	negative chemotaxis	1	1	1	SEMA4D,ITGB3
GO:0034349	glial cell apoptotic process	1	1	1	PRKCH,PRKCA,PRKCD,GAS6
GO:0034350	regulation of glial cell apoptotic process	0.651	0.651	1	PRKCH,PRKCA,PRKCD,GAS6
GO:0034351	negative regulation of glial cell apoptotic process	0.651	0.651	1	PRKCH,PRKCA,PRKCD,GAS6
