Name	Description	pvalue	qvalue	phenotype	genes
GO:0006473	protein acetylation	0.015	0.015	1	TAF5L,KAT6B,PAXIP1,YEATS2,BRD7,TERF2IP,KAT5,MSL2,MSL1,TRRAP,TAF9
GO:0006475	internal protein amino acid acetylation	0.0173	0.0173	1	TAF5L,KAT6B,PAXIP1,YEATS2,BRD7,KAT5,MSL2,MSL1,TRRAP,TAF9
GO:0018205	peptidyl-lysine modification	0.000183	0.000183	1	NUP160,HDAC7,NUP188,MYB,RPA1,TAF5L,METTL21A,KDM6A,KAT6B,PAXIP1,YEATS2,BRD7,KAT5,MSL2,NFATC2IP,MSL1,TRRAP,NUP62,EID3,TAF9
GO:0018394	peptidyl-lysine acetylation	0.0142	0.0142	1	TAF5L,KAT6B,PAXIP1,YEATS2,BRD7,KAT5,MSL2,MSL1,TRRAP,TAF9
GO:0018393	internal peptidyl-lysine acetylation	0.0116	0.0116	1	TAF5L,KAT6B,PAXIP1,YEATS2,BRD7,KAT5,MSL2,MSL1,TRRAP,TAF9
GO:0016573	histone acetylation	0.00942	0.00942	1	TAF5L,KAT6B,PAXIP1,YEATS2,BRD7,KAT5,MSL2,MSL1,TRRAP,TAF9
GO:1900034	regulation of cellular response to heat	0.0431	0.0431	1	NUP160,NUP188,RPA3,CHORDC1,RPA1,BAG4,NUP62
GO:0050851	antigen receptor-mediated signaling pathway	0.00396	0.00396	1	CD4,PSMD5,NFKBIA,CSK,NFKB1,LPXN,GBP1,SKAP1,BCL10,PSMA5,BCL2,UBE2N,PSMB8
GO:0050852	T cell receptor signaling pathway	0.00861	0.00861	1	CD4,PSMD5,NFKBIA,CSK,NFKB1,GBP1,SKAP1,BCL10,PSMA5,UBE2N,PSMB8
GO:0007249	I-kappaB kinase/NF-kappaB signaling	1.19e-06	1.19e-06	1	CASP10,TRAF5,CYLD,NFKBIA,TRADD,CARD8,NFKB1,OPTN,TRIM22,CD27,NLRP12,BCL10,TLR3,TERF2IP,FADD,RHOH,UBE2N,SHARPIN,NFKBIL1,NUP62
