Name	Description	pvalue	qvalue	phenotype	genes
GO:0061635	regulation of protein complex stability	0.634	0.634	1	HSPA8,SNF8,TAPBP
GO:0002251	organ or tissue specific immune response	2.28e-08	2.28e-08	1	HIST1H2BJ,FAU,HIST1H2BC,HIST2H2BE,HIST1H2BK,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0002385	mucosal immune response	1.11e-08	1.11e-08	1	HIST1H2BJ,FAU,HIST1H2BC,HIST2H2BE,HIST1H2BK,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0002227	innate immune response in mucosa	2.88e-10	2.88e-10	1	HIST1H2BJ,FAU,HIST1H2BC,HIST2H2BE,HIST1H2BK,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0045056	transcytosis	1	1	1	VPS35,RAB17,USO1
GO:0071569	protein ufmylation	0.114	0.114	1	UBA5,CDK5RAP3,UFM1,UFC1,DDRGK1
GO:1990564	protein polyufmylation	0.276	0.276	1	UBA5,UFM1,UFC1,DDRGK1
GO:1990592	protein K69-linked ufmylation	0.276	0.276	1	UBA5,UFM1,UFC1,DDRGK1
GO:0018149	peptide cross-linking	0.0323	0.0323	1	CSTA,TGM3,ANXA1,SPRR2G,SPRR2D,SPRR1B,SPRR1A,SPRR2B,C1ORF68,LOR,SPRR2E,SPRR2A
GO:0043570	maintenance of DNA repeat elements	0.534	0.534	1	MSH2,MSH3,TCF7L2
GO:0007214	gamma-aminobutyric acid signaling pathway	1	1	1	GNAI2,GABRA2
GO:0035418	protein localization to synapse	1	1	1	DLG1,DLG3,SHANK1
GO:0097120	receptor localization to synapse	1	1	1	DLG1,DLG3
GO:0070493	thrombin receptor signaling pathway	0.139	0.139	1	PLEK,DGKQ,IQGAP2,GP1BA
GO:0042178	xenobiotic catabolic process	1	1	1	GSTM1,GSTO1,GSTM4
GO:0009838	abscission	1	1	1	VPS4A,SPG20
