Name	Description	pvalue	qvalue	phenotype	genes
GO:0002697	regulation of immune effector process	3.05e-06	3.05e-06	1	FGR,CFH,C8B,C6,IRAK3,HCK,C5,CD86,APOA1,VAMP8,CCR2,C4BPB,CD93,CFP,ARRB2,SERPING1,C8A,APOA2,NLRP3,C2,CD300A,LGALS9,STAT2,C8G,FES,TMEM173,CR1,MBD5,CFI,C4B,SERPINB10,CFB,C4A
GO:0002253	activation of immune response	1.44e-11	1.44e-11	1	FGR,CFH,C8B,C6,CYBA,CASP8,ICAM3,FCN1,IRAK3,SPG21,NLRC4,HCK,TLR8,PYCARD,C5,UNC93B1,CLEC4A,MAPK14,GPLD1,C4BPB,CFP,TLR2,DUSP6,FCN3,SERPING1,FCGR1A,ADAM8,C8A,C1R,ITGB2,FCN2,PGLYRP2,CTSS,PRKCD,C2,CLEC4D,CD300A,ITGAM,FOS,CD14,TLR1,C8G,C1S,TMEM173,CARD9,C5AR1,CR1,CFI,C4B,NFAM1,TICAM2,CFB,C4A
GO:0002757	immune response-activating signal transduction	0.000888	0.000888	1	FGR,CYBA,CASP8,ICAM3,FCN1,IRAK3,SPG21,HCK,TLR8,PYCARD,UNC93B1,CLEC4A,MAPK14,GPLD1,TLR2,DUSP6,FCGR1A,ADAM8,ITGB2,PGLYRP2,CTSS,PRKCD,CLEC4D,CD300A,ITGAM,FOS,CD14,TLR1,CARD9,C5AR1,CR1,NFAM1,TICAM2
GO:1903034	regulation of response to wounding	3.06e-17	3.06e-17	1	CFH,SELE,PLAUR,C8B,C6,CPB2,F11,APOH,HCK,MEFV,C5,MAPK14,KNG1,HRG,BCL6,APOA1,VAMP8,CCR2,PLG,C4BPB,CFP,APOE,F12,AGT,KLF4,TLR2,S100A8,AHSG,SERPING1,ADAM8,C8A,NLRP3,S100A9,S100A12,PRKCD,KLKB1,C2,SERPINF2,C8G,F2,CASP4,ELANE,CR1,CFI,C4B,CFB,C4A
GO:0061041	regulation of wound healing	0.000998	0.000998	1	PLAUR,CPB2,F11,APOH,KNG1,HRG,PLG,APOE,F12,PRKCD,KLKB1,SERPINF2,F2
GO:0050818	regulation of coagulation	2.88e-05	2.88e-05	1	PLAUR,CPB2,F11,APOH,KNG1,HRG,PLG,APOE,F12,PRKCD,KLKB1,SERPINF2,F2
GO:0032103	positive regulation of response to external stimulus	0.00102	0.00102	1	CYBA,APOH,HRG,VAMP8,CCR2,PLG,F12,AGT,TLR2,S100A8,ADAM8,S100A9,S100A12,CCR1,KLKB1,SERPINF2,LGALS9,AZU1,F2,ATG7,AIF1
GO:1903036	positive regulation of response to wounding	0.000251	0.000251	1	APOH,HRG,VAMP8,CCR2,PLG,F12,AGT,TLR2,S100A8,ADAM8,S100A9,S100A12,KLKB1,SERPINF2,F2
GO:1903035	negative regulation of response to wounding	1.26e-07	1.26e-07	1	PLAUR,CPB2,F11,APOH,MEFV,KNG1,HRG,APOA1,PLG,APOE,F12,KLF4,NLRP3,PRKCD,KLKB1,SERPINF2,F2,ELANE
GO:0031348	negative regulation of defense response	0.000564	0.000564	1	IRAK3,MEFV,APOA1,APOE,KLF4,ARRB2,SERPING1,NLRP3,PRKCD,LGALS9,ELANE,CR1
