Name	Description	pvalue	qvalue	phenotype	genes
GO:0045454	cell redox homeostasis	1	1	1	ERP44,TXN2,GPX1
GO:0023035	CD40 signaling pathway	0.397	0.397	1	RNF31,TNIP2,SHARPIN
GO:0051775	response to redox state	1	1	1	RNF7,RYR2
GO:0010501	RNA secondary structure unwinding	0.112	0.112	1	DDX20,DDX3Y,DDX18,DDX17,DDX49,DDX5,DDX55,DDX59,DDX39A,DDX56,DDX46,DDX4,DDX21,DDX41,DDX42,DDX39B,DDX47,DDX3X
GO:0034405	response to fluid shear stress	0.00283	0.00283	1	NFE2L2,KLF2,P2RX4,KLF4
GO:0034616	response to laminar fluid shear stress	0.00481	0.00481	1	NFE2L2,KLF2,KLF4
GO:0071498	cellular response to fluid shear stress	0.000932	0.000932	1	MEF2C,NFE2L2,KLF2,KLF4,MAP2K5,MAPK7,MTSS1,HDAC3,SREBF2
GO:0071499	cellular response to laminar fluid shear stress	0.00171	0.00171	1	NFE2L2,KLF2,KLF4
GO:0090520	sphingolipid mediated signaling pathway	0.264	0.264	1	SPNS1,SPNS3
GO:0003376	sphingosine-1-phosphate signaling pathway	0.264	0.264	1	SPNS1,SPNS3
GO:0048552	regulation of metalloenzyme activity	0.17	0.17	1	TIMP1,TMBIM1,FGFR4
GO:0048553	negative regulation of metalloenzyme activity	0.272	0.272	1	TIMP1,TMBIM1
GO:0001539	cilium or flagellum-dependent cell motility	0.667	0.667	1	DNAH1,DNAH2
GO:0010735	positive regulation of transcription via serum response element binding	0.475	0.475	1	MICAL2,MKL1
GO:0009299	mRNA transcription	0.0149	0.0149	1	ARNT,C5AR1
GO:0042789	mRNA transcription from RNA polymerase II promoter	0.00773	0.00773	1	ARNT,C5AR1
GO:0048013	ephrin receptor signaling pathway	7.66e-05	7.66e-05	1	FYN,AP2S1,EPHA3,ROCK1,CDC42,EPHA8,ACTB,PAK3,EPHA6,MMP2,MYH9,MYL12A,ARHGEF7,WASL,LIMK1,ARPC3,ACTR3,APH1A,MYL12B,ARPC1B,EPHB2,VAV3,EPHA7,RAC1,SDCBP,ADAM10,ACTR2,PSEN2,EPHA5,PAK1,EPHB1,VAV2,ARPC5,NCSTN,ARPC2,RBPJ,YES1,EPHB3,ACTG1,AP2A1,SIPA1L1,ARPC4,LYN
GO:0035456	response to interferon-beta	0.505	0.505	1	CDC34,STAT1,BST2,UBE2G2,IFITM2,PLSCR1,IKBKE
GO:0035458	cellular response to interferon-beta	0.773	0.773	1	CDC34,STAT1
GO:0009812	flavonoid metabolic process	1	1	1	SULT1B1,SULT1A1,SULT1A3
GO:0006797	polyphosphate metabolic process	0.186	0.186	1	BNIP2,ATCAY
GO:0006798	polyphosphate catabolic process	0.129	0.129	1	BNIP2,ATCAY
GO:0033483	gas homeostasis	0.606	0.606	1	GSTP1,HIF1A,NARFL,EGLN1
GO:0032364	oxygen homeostasis	0.853	0.853	1	HIF1A,NARFL,EGLN1
GO:0048012	hepatocyte growth factor receptor signaling pathway	1	1	1	PTPN2,PTPN1
GO:1902202	regulation of hepatocyte growth factor receptor signaling pathway	1	1	1	PTPN2,PTPN1
GO:0061635	regulation of protein complex stability	0.708	0.708	1	SNF8,TAPBP
GO:0007220	Notch receptor processing	0.2	0.2	1	ADAM10,NCSTN,JAG2
GO:0010216	maintenance of DNA methylation	1	1	1	DNMT1,USP7
GO:0034350	regulation of glial cell apoptotic process	0.39	0.39	1	PRKCH,PRKCA,PRKCI,PRKCD
GO:0034351	negative regulation of glial cell apoptotic process	0.39	0.39	1	PRKCH,PRKCA,PRKCI,PRKCD
GO:0071569	protein ufmylation	0.227	0.227	1	UBA5,CDK5RAP3,UFM1,DDRGK1
GO:1990564	protein polyufmylation	0.418	0.418	1	UBA5,UFM1,DDRGK1
GO:1990592	protein K69-linked ufmylation	0.418	0.418	1	UBA5,UFM1,DDRGK1
GO:0007274	neuromuscular synaptic transmission	1	1	1	CHRNE,CHRNB1
GO:1903830	magnesium ion transmembrane transport	0.314	0.314	1	MAGT1,MMGT1,ZDHHC13,ZDHHC17
GO:0097354	prenylation	0.0277	0.0277	1	RABGGTA,RABGGTB,PGGT1B,FNTA,CHM,FNTB
GO:0018342	protein prenylation	0.0277	0.0277	1	RABGGTA,RABGGTB,PGGT1B,FNTA,CHM,FNTB
GO:0018343	protein farnesylation	0.458	0.458	1	FNTA,FNTB
GO:0018344	protein geranylgeranylation	0.0265	0.0265	1	RABGGTA,RABGGTB,PGGT1B,FNTA,CHM
GO:0048483	autonomic nervous system development	1	1	1	NRP2,PHACTR4
GO:0002227	innate immune response in mucosa	0.0712	0.0712	1	APOA4,HIST1H2BJ,RNASE3,HIST1H2BC,HIST2H2BE,HIST1H2BK,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0071985	multivesicular body sorting pathway	0.183	0.183	1	VTA1,RAB27B,RAB27A,SYTL4
