Name	Description	pvalue	qvalue	phenotype	genes
GO:0032680	regulation of tumor necrosis factor production	0.0457	0.0457	1	JAK2,CD2,PTPN22,HAVCR2,PF4,FADD,SPN,TLR9
GO:0032760	positive regulation of tumor necrosis factor production	0.0364	0.0364	1	JAK2,CD2,PF4,FADD,SPN,TLR9
GO:0070383	DNA cytosine deamination	0.0143	0.0143	1	APOBEC3F,APOBEC3G,APOBEC3D
GO:0018212	peptidyl-tyrosine modification	0.000861	0.000861	1	FGR,MATK,TNK2,FGFR2,FGFR3,FGFR1,JAK2,TYK2,TTK,ZAP70,BLK,IL18,NRG1,ITGB2,FGFR4,CD300A,EPGN,NF2,TNFRSF18,ITGB3,CCL5
GO:0046777	protein autophosphorylation	0.0291	0.0291	1	FGR,MATK,VRK2,TNK2,FGFR2,FGFR3,STK10,FGFR1,JAK2,TYK2,MAK,ZAP70,RIPK3,BLK,FGFR4,CDK12
GO:0018108	peptidyl-tyrosine phosphorylation	0.000861	0.000861	1	FGR,MATK,TNK2,FGFR2,FGFR3,FGFR1,JAK2,TYK2,TTK,ZAP70,BLK,IL18,NRG1,ITGB2,FGFR4,CD300A,EPGN,NF2,TNFRSF18,ITGB3,CCL5
GO:0038083	peptidyl-tyrosine autophosphorylation	0.0138	0.0138	1	FGR,MATK,TNK2,JAK2,TYK2,ZAP70,BLK
GO:0030168	platelet activation	0.0027	0.0027	1	ITGA2B,ACTB,APBB1IP,GP6,BRPF3,ZAP70,PLEK,RAC2,MMRN1,FCER1G,TREML1,PPBP,PF4,PIK3CD,SELP,GP5,ACTG1,GP1BA,CLIC1,ITGB3
GO:0032196	transposition	0.00871	0.00871	1	APOBEC3F,APOBEC3G,APOBEC3D,APOBEC3C
GO:0010528	regulation of transposition	0.00536	0.00536	1	APOBEC3F,APOBEC3G,APOBEC3D,APOBEC3C
GO:0010529	negative regulation of transposition	0.00536	0.00536	1	APOBEC3F,APOBEC3G,APOBEC3D,APOBEC3C
GO:0097530	granulocyte migration	0.0123	0.0123	1	RAC2,MPP1,FCER1G,ITGB2,S100A12,CD300A,PIK3CD,CMKLR1,CXCR2,CCL5
GO:0071621	granulocyte chemotaxis	0.0336	0.0336	1	RAC2,MPP1,FCER1G,ITGB2,S100A12,PIK3CD,CMKLR1,CXCR2,CCL5
GO:0006968	cellular defense response	0.00048	0.00048	1	GNLY,CD160,LILRB2,VEZF1,PRF1,CXCR2,SPN,HLA-G,KLRC2,KIR3DL2
GO:0002520	immune system development	0.0366	0.0366	1	RUNX3,CDK13,FGFR2,CDC42,JAK2,CDK6,ZBTB16,ZAP70,PLEK,CD2,RIPK3,LILRB2,PTPN22,HAVCR2,CD164,FCER1G,G6PD,BCL6B,SLAMF6,PF4,FADD,PIK3CD,ZFPM1,JAG2,MAFB,HLA-G,HLA-B
GO:0048534	hematopoietic or lymphoid organ development	0.0341	0.0341	1	RUNX3,CDK13,FGFR2,CDC42,JAK2,CDK6,ZBTB16,ZAP70,PLEK,CD2,RIPK3,LILRB2,PTPN22,CD164,FCER1G,G6PD,BCL6B,SLAMF6,PF4,FADD,PIK3CD,ZFPM1,JAG2,MAFB,HLA-G,HLA-B
GO:0030097	hemopoiesis	0.0202	0.0202	1	RUNX3,CDK13,FGFR2,CDC42,JAK2,CDK6,ZBTB16,ZAP70,PLEK,CD2,RIPK3,LILRB2,PTPN22,CD164,FCER1G,G6PD,BCL6B,SLAMF6,PF4,FADD,PIK3CD,ZFPM1,JAG2,MAFB,HLA-G,HLA-B
GO:0002507	tolerance induction	0.0498	0.0498	1	LILRB2,HAVCR2,HLA-G,HLA-B
GO:0002517	T cell tolerance induction	0.0478	0.0478	1	LILRB2,HLA-G,HLA-B
GO:0002664	regulation of T cell tolerance induction	0.0478	0.0478	1	LILRB2,HLA-G,HLA-B
GO:0070663	regulation of leukocyte proliferation	0.0181	0.0181	1	CD38,NFATC2,ZAP70,RIPK3,LILRB2,PTPN22,IL18,TMIGD2,CD300A,FADD,HLA-G,CCL5
GO:0032943	mononuclear cell proliferation	0.0467	0.0467	1	CD38,NFATC2,ZAP70,TNFSF14,RIPK3,LILRB2,PTPN22,IL18,TMIGD2,CD300A,FADD,HLA-G,CCL5
GO:0032944	regulation of mononuclear cell proliferation	0.0121	0.0121	1	CD38,NFATC2,ZAP70,RIPK3,LILRB2,PTPN22,IL18,TMIGD2,CD300A,FADD,HLA-G,CCL5
GO:0016337	single organismal cell-cell adhesion	8.7e-05	8.7e-05	1	ITGAL,CDC42,ACTB,ZAP70,PLEK,CD2,TNFSF14,RAC2,RIPK3,LILRB2,PTPN22,LCP1,RDX,ITGAX,MSN,IL18,ITGAD,FCER1G,ITGB2,SLAMF6,TMIGD2,CD300A,FADD,PIK3CD,CD8B,CD7,SELP,ZFPM1,ACTG1,JAG2,NF2,CD247,HLA-G,CLIC1,ITGB3,CCL5
GO:0007159	leukocyte cell-cell adhesion	8.57e-05	8.57e-05	1	ITGAL,CDC42,ZAP70,CD2,TNFSF14,RAC2,RIPK3,LILRB2,PTPN22,LCP1,MSN,IL18,FCER1G,ITGB2,SLAMF6,TMIGD2,CD300A,FADD,PIK3CD,CD8B,CD7,SELP,ZFPM1,JAG2,CD247,HLA-G,CCL5
GO:0070486	leukocyte aggregation	0.000423	0.000423	1	ITGAL,CDC42,ZAP70,CD2,TNFSF14,RAC2,RIPK3,LILRB2,PTPN22,LCP1,IL18,FCER1G,SLAMF6,TMIGD2,CD300A,FADD,PIK3CD,CD8B,CD7,ZFPM1,JAG2,CD247,HLA-G,CCL5
GO:0071593	lymphocyte aggregation	0.000272	0.000272	1	ITGAL,CDC42,ZAP70,CD2,TNFSF14,RAC2,RIPK3,LILRB2,PTPN22,LCP1,IL18,FCER1G,SLAMF6,TMIGD2,CD300A,FADD,PIK3CD,CD8B,CD7,ZFPM1,JAG2,CD247,HLA-G,CCL5
GO:0034109	homotypic cell-cell adhesion	0.0154	0.0154	1	CDC42,ACTB,ZAP70,PLEK,CD2,RIPK3,LILRB2,PTPN22,RDX,IL18,TMIGD2,CD300A,FADD,ACTG1,CD247,HLA-G,CLIC1,ITGB3,CCL5
GO:0045321	leukocyte activation	5.47e-05	5.47e-05	1	FGR,CD38,ITGAL,CDC42,LAT2,NFATC2,CORO1A,SELPLG,ZAP70,CD2,CD244,PREX1,TNFSF14,RIPK3,LILRB2,PTPN22,LCP1,IL18,FCER1G,SLAMF6,S100A12,TMIGD2,CD300A,FADD,PIK3CD,CD8B,CD7,ZFPM1,PRF1,CXCR2,JAG2,SH2D1B,CD247,HLA-G,CCL5
GO:0002274	myeloid leukocyte activation	0.0375	0.0375	1	FGR,ZAP70,CD2,PREX1,FCER1G,S100A12,CD300A,PIK3CD,CXCR2,CCL5
GO:0036230	granulocyte activation	0.00131	0.00131	1	ZAP70,PREX1,FCER1G,CD300A,CXCR2,CCL5
GO:0042119	neutrophil activation	0.000302	0.000302	1	ZAP70,PREX1,FCER1G,CD300A,CXCR2,CCL5
GO:0046649	lymphocyte activation	0.000535	0.000535	1	CD38,ITGAL,CDC42,LAT2,NFATC2,CORO1A,ZAP70,CD2,CD244,TNFSF14,RIPK3,LILRB2,PTPN22,LCP1,IL18,FCER1G,SLAMF6,TMIGD2,CD300A,FADD,PIK3CD,CD8B,CD7,ZFPM1,PRF1,JAG2,CD247,HLA-G,CCL5
GO:0046651	lymphocyte proliferation	0.0411	0.0411	1	CD38,NFATC2,ZAP70,TNFSF14,RIPK3,LILRB2,PTPN22,IL18,TMIGD2,CD300A,FADD,HLA-G,CCL5
GO:0050670	regulation of lymphocyte proliferation	0.0111	0.0111	1	CD38,NFATC2,ZAP70,RIPK3,LILRB2,PTPN22,IL18,TMIGD2,CD300A,FADD,HLA-G,CCL5
GO:0070489	T cell aggregation	0.000796	0.000796	1	ITGAL,CDC42,ZAP70,CD2,TNFSF14,RIPK3,LILRB2,PTPN22,LCP1,IL18,FCER1G,SLAMF6,TMIGD2,CD300A,FADD,PIK3CD,CD8B,CD7,ZFPM1,JAG2,CD247,HLA-G,CCL5
GO:0042110	T cell activation	0.000796	0.000796	1	ITGAL,CDC42,ZAP70,CD2,TNFSF14,RIPK3,LILRB2,PTPN22,LCP1,IL18,FCER1G,SLAMF6,TMIGD2,CD300A,FADD,PIK3CD,CD8B,CD7,ZFPM1,JAG2,CD247,HLA-G,CCL5
GO:0030217	T cell differentiation	0.00495	0.00495	1	ZAP70,CD2,RIPK3,LILRB2,PTPN22,FCER1G,SLAMF6,FADD,PIK3CD,ZFPM1,JAG2,HLA-G
GO:0002263	cell activation involved in immune response	0.0157	0.0157	1	FGR,ITGAL,CORO1A,ZAP70,CD244,LCP1,FCER1G,SLAMF6,CD300A,PIK3CD,C8ORF4,ZFPM1,SH2D1B
GO:0002366	leukocyte activation involved in immune response	0.0468	0.0468	1	FGR,ITGAL,CORO1A,ZAP70,CD244,LCP1,FCER1G,SLAMF6,CD300A,PIK3CD,ZFPM1,SH2D1B
GO:0002480	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	8.03e-05	8.03e-05	1	CTSS,HLA-C,HLA-G,HLA-F,HLA-B
GO:0001816	cytokine production	0.0215	0.0215	1	FGR,JAK2,NFKBIB,CD2,CD244,RIPK3,LILRB2,RFTN1,PTPN22,HAVCR2,IL18,UBE2L6,SLAMF6,S100A12,PF4,POLR2H,TMIGD2,FADD,PIK3CD,HPSE,CMKLR1,PER1,ZFPM1,SIGIRR,SPN,TRIM15,HLA-G,HLA-B,TLR9
GO:0032609	interferon-gamma production	0.00627	0.00627	1	CD2,CD244,RIPK3,PTPN22,IL18,SLAMF6,FADD,ZFPM1,TLR9
GO:0032649	regulation of interferon-gamma production	0.00365	0.00365	1	CD2,CD244,RIPK3,PTPN22,IL18,SLAMF6,FADD,ZFPM1,TLR9
