Name	Description	pvalue	qvalue	phenotype	genes
GO:0045103	intermediate filament-based process	0.132	0.132	1	ATXN3,PKP1,DSP,NEFH,ERBB2IP,CSNK1A1,MTM1,KRT9,KRT20,FAM83H,KRT14,NEFL
GO:0045104	intermediate filament cytoskeleton organization	0.132	0.132	1	ATXN3,PKP1,DSP,NEFH,ERBB2IP,CSNK1A1,MTM1,KRT9,KRT20,FAM83H,KRT14,NEFL
GO:0060052	neurofilament cytoskeleton organization	1	1	1	NEFH,NEFL
GO:0045109	intermediate filament organization	0.0251	0.0251	1	PKP1,DSP,NEFH,MTM1,KRT9,KRT20,KRT14,NEFL
GO:0045110	intermediate filament bundle assembly	0.269	0.269	1	PKP1,NEFH,KRT14,NEFL
GO:0033693	neurofilament bundle assembly	0.991	0.991	1	NEFH,NEFL
GO:0048102	autophagic cell death	1	1	1	CDKN1B,CDKN2D
GO:0070816	phosphorylation of RNA polymerase II C-terminal domain	0.00123	0.00123	1	CDK13,CDK12
GO:1901407	regulation of phosphorylation of RNA polymerase II C-terminal domain	0.00677	0.00677	1	CCNK,CCNT1,CCNH,BRD4,CCNL1,CCNL2,FAM58A
GO:1901409	positive regulation of phosphorylation of RNA polymerase II C-terminal domain	0.0217	0.0217	1	CCNK,CCNT1,CCNH,CCNL1,CCNL2,FAM58A
GO:0044380	protein localization to cytoskeleton	0.984	0.984	1	DIAPH1,KIF20B
GO:0072698	protein localization to microtubule cytoskeleton	0.839	0.839	1	DIAPH1,KIF20B
GO:0035372	protein localization to microtubule	0.137	0.137	1	DIAPH1,KIF20B
GO:0071539	protein localization to centrosome	1	1	1	PCM1,PIBF1,HOOK3
GO:0002251	organ or tissue specific immune response	0.134	0.134	1	HIST1H2BJ,RNASE3,HIST1H2BC,HIST2H2BE,HIST1H2BK,RPL39,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0002385	mucosal immune response	0.0807	0.0807	1	HIST1H2BJ,RNASE3,HIST1H2BC,HIST2H2BE,HIST1H2BK,RPL39,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0002227	innate immune response in mucosa	0.0044	0.0044	1	HIST1H2BJ,RNASE3,HIST1H2BC,HIST2H2BE,HIST1H2BK,RPL39,HIST1H2BG,HIST1H2BE,HIST1H2BB,HIST1H2BF,HIST1H2BI
GO:0035455	response to interferon-alpha	0.153	0.153	1	TPR,EIF2AK2,IFITM3,ADAR,MX2,IFITM2,IFITM1
GO:0071985	multivesicular body sorting pathway	0.188	0.188	1	RAB27B,RAB27A,SYTL4
GO:0006975	DNA damage induced protein phosphorylation	1	1	1	MAP2K6,ATM,CHEK2
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	0.419	0.419	1	NUP133,NUP107
GO:0042769	DNA damage response, detection of DNA damage	0.135	0.135	1	RFC1,PNKP,RFC2,POLD3,RBX1,RPA3,RFC5,UBE2B,RPA1,RFC3,CUL4A,RPS3,CUL4B,RFC4,MRPS11
GO:0038027	apolipoprotein A-I-mediated signaling pathway	0.113	0.113	1	RHOA,ITGB3
GO:0061635	regulation of protein complex stability	0.188	0.188	1	HSPA8,SCOC,SNF8,TAPBP
GO:0071941	nitrogen cycle metabolic process	1	1	1	ARG1,CYP2C9
GO:0019627	urea metabolic process	1	1	1	ARG1,CYP2C9
GO:0000050	urea cycle	1	1	1	CAD,ARG1
GO:0032020	ISG15-protein conjugation	0.408	0.408	1	UBA7,ISG15
GO:1990267	response to transition metal nanoparticle	1	1	1	ATP5D,HVCN1,B2M,BCL2,CRIP1,ZNF658
GO:0023058	adaptation of signaling pathway	0.404	0.404	1	ARRB1,ARRB2,GTF2H2,ADRBK1,UBQLN2
GO:0022401	negative adaptation of signaling pathway	0.404	0.404	1	ARRB1,ARRB2,GTF2H2,ADRBK1,UBQLN2
GO:0043094	cellular metabolic compound salvage	0.122	0.122	1	TYMP,CECR1,DGUOK,AMPD1,AMPD3,ADK,DCK,CDA,TK2,ADI1,UPP1,ADA,PNP,APRT
GO:0061614	pri-miRNA transcription from RNA polymerase II promoter	0.99	0.99	1	SPI1,SRF,SMARCA4
GO:0098732	macromolecule deacylation	1.06e-05	1.06e-05	1	BAZ2A,SIRT6,REST,TBL1Y,HDAC6,EP300,HDAC10,TBL1X,PRKD2,ZNHIT1,SUDS3,HDAC1,LYPLA1,MORF4L2,SIN3B,PML,NACC2,DYRK1A,KIAA1967,CTBP1,SMARCAD1,NIPBL,PHB,SIN3A,HDAC3,BRMS1,TBL1XR1,PER1,MORF4L1,SIRT7,HDAC2,RBM14
GO:0035601	protein deacylation	6.79e-06	6.79e-06	1	BAZ2A,SIRT6,REST,TBL1Y,HDAC6,EP300,HDAC10,TBL1X,PRKD2,ZNHIT1,SUDS3,HDAC1,LYPLA1,MORF4L2,SIN3B,PML,NACC2,DYRK1A,KIAA1967,CTBP1,SMARCAD1,NIPBL,PHB,SIN3A,HDAC3,BRMS1,TBL1XR1,PER1,MORF4L1,SIRT7,HDAC2,RBM14
