Name	Description	pvalue	qvalue	phenotype	genes
GO:0015695	organic cation transport	0.323	0.323	1	RHAG,RHCG,SLC22A1
GO:0034497	protein localization to pre-autophagosomal structure	0.0154	0.0154	1	WIPI1,MFN2,STX17,WIPI2,PACS2,ATG9A
GO:0030091	protein repair	0.334	0.334	1	PCMT1,MSRB3
GO:0015949	nucleobase-containing small molecule interconversion	0.00241	0.00241	1	NME1-NME2,CTPS2,NME4,GSR,AK1,AK5,CMPK1,DTYMK,RRM2,NME1
GO:0034502	protein localization to chromosome	1	1	1	ANKRD32,BUB1B,LRWD1,TNKS
GO:0006797	polyphosphate metabolic process	0.00141	0.00141	1	PRUNE2,MINPP1,BNIP2,PRUNE,ATCAY
GO:0006798	polyphosphate catabolic process	0.0067	0.0067	1	PRUNE2,BNIP2,PRUNE,ATCAY
GO:0031163	metallo-sulfur cluster assembly	1	1	1	CIAO1,FAM96A,NFU1
GO:0016226	iron-sulfur cluster assembly	1	1	1	CIAO1,FAM96A,NFU1
GO:0000002	mitochondrial genome maintenance	0.873	0.873	1	TYMP,PIF1
GO:0060021	palate development	1	1	1	EPHB2,SMAD2,SOX11,EPHB3,CLDN5
GO:0051865	protein autoubiquitination	0.609	0.609	1	UBE2D3,UBE2B,RNF11,TRAF2,UBE2D2,TRIM21,RNF185,RCHY1,TRAF6,WWP2,TRIM13
GO:1990089	response to nerve growth factor	0.000257	0.000257	1	RAPGEF2,EHD1,RAB35,ACAP2,RAP1A,SORT1,KIDINS220,AKT1
GO:1990090	cellular response to nerve growth factor stimulus	0.000257	0.000257	1	RAPGEF2,EHD1,RAB35,ACAP2,RAP1A,SORT1,KIDINS220,AKT1
