Name	Description	p-value	q-value	pheontype	genes
 GO:0032543	mitochondrial translation	7.23e-08	7.23e-08	1	MRPL43,MRPS24,MTIF2,MRPL32,C1QBP,MRPL2,MRPS27,MRPL37,MRPS15,PTCD3,MRPS9,MRPS5,MRPL55,GFM2,MRPL16,GFM1,MRPS22,MRPS11,CCDC56,MRPL20,MRPS6,MRPS18A,MRPL4,MRPL3,MRPS2,MRPS7,MRPL34,MRPL15,TUFM,MRPL30,MRPS10,MRPS31,MRPS30,DARS2,MRPS26,MRPS25,MRPL47,ICT1,MRPL11,MRPS16
 GO:0070125	mitochondrial translational elongation	4.75e-07	4.75e-07	1	MRPL43,MRPS24,MRPL32,MRPL2,MRPS27,MRPL37,MRPS15,PTCD3,MRPS9,MRPS5,MRPL55,MRPL16,GFM1,MRPS22,MRPS11,MRPL20,MRPS6,MRPS18A,MRPL4,MRPL3,MRPS7,MRPL34,MRPL15,TUFM,MRPL30,MRPS10,MRPS31,MRPS30,MRPS26,MRPS25,MRPL47,ICT1,MRPL11,MRPS16
 GO:0018196	peptidyl-asparagine modification	1.26e-09	1.26e-09	1	DPM1,ALG1,CTSA,NAPA,SEC23IP,MLEC,MAN2A1,CANX,CTAGE5,SYVN1,RFT1,NANP,GLB1,DPAGT1,MAN1B1,DPM3,TRAPPC6B,TRAPPC2,SEL1L,NANS,DERL3,MAN1A1,GORASP1,ALG5,GFPT2,OS9,UGGT1,SEC31A,PMM2,GMPPA,SEC24D,GMPPB,MCFD2,F8,GFPT1,ST3GAL1,SEL1L,LMAN1,B4GALT1,GANAB,TUSC3,ST3GAL4,MOGS,MAN1C1,RPN2,ST3GAL3,CANX,DAD1,MGAT1,NPL,RAB1A,RPN1,PDIA3,TMED10,CALR,TRAPPC4,MAN1A2,F5,DDOST,SEC22B
 GO:0070085	glycosylation	1.45e-07	1.45e-07	1	DPM1,B4GALT7,ALG1,CTSA,PARP4,NAPA,SEC23IP,MLEC,MAN2A1,CANX,POMT1,COG6,COG3,NPC1,CTAGE5,DPY19L4,SYVN1,POGLUT1,RFT1,NANP,GLB1,B3GNT2,DPAGT1,FUT1,MAN1B1,DPM3,TRAPPC6B,GCNT1,TRAPPC2,ST6GALNAC1,NANS,GALNT7,ST3GAL4,GALNT3,TMEM59,MUC5B,GALNT12,GALNTL2,ADAMTSL4,MUC4,B3GNT7,GNE,ST6GALNAC6,FUT3,ADAMTSL1,FUCA1,B3GNT3,CHP,GFPT1,MUC5AC,ALG1L2,GALNT4,SEL1L,NANS,DERL3,MAN1A1,GORASP1,GALNT3,ALG5,SDF2L1,GFPT2,TMEM165,OS9,UGGT1,SEC31A,PMM2,GALNT1,GMPPA,SEC24D,GMPPB,ADAMTSL1,MCFD2,MUC6,F8,GFPT1,GALNT4,ST3GAL1,SEL1L,LMAN1,LRP2,B4GALT1,GANAB,TUSC3,ST3GAL4,MOGS,MAN1C1,RPN2,ST3GAL3,CANX,DAD1,MGAT1,SDF2,NPL,RAB1A,ADAMTSL4,RPN1,PDIA3,TET2,MUC15,TMED10,CALR,TRAPPC4,MAN1A2,F5,DDOST,SEC22B
 GO:0043413	macromolecule glycosylation	9.91e-08	9.91e-08	1	DPM1,B4GALT7,ALG1,CTSA,PARP4,NAPA,SEC23IP,MLEC,MAN2A1,CANX,POMT1,COG3,NPC1,CTAGE5,DPY19L4,SYVN1,POGLUT1,RFT1,NANP,GLB1,B3GNT2,DPAGT1,FUT1,MAN1B1,DPM3,TRAPPC6B,GCNT1,TRAPPC2,ST6GALNAC1,NANS,GALNT7,ST3GAL4,GALNT3,TMEM59,MUC5B,GALNT12,GALNTL2,ADAMTSL4,MUC4,B3GNT7,GNE,ST6GALNAC6,FUT3,ADAMTSL1,FUCA1,B3GNT3,CHP,GFPT1,MUC5AC,ALG1L2,GALNT4,SEL1L,NANS,DERL3,MAN1A1,GORASP1,GALNT3,ALG5,SDF2L1,GFPT2,TMEM165,OS9,UGGT1,SEC31A,PMM2,GALNT1,GMPPA,SEC24D,GMPPB,ADAMTSL1,MCFD2,MUC6,F8,GFPT1,GALNT4,ST3GAL1,SEL1L,LMAN1,LRP2,B4GALT1,GANAB,TUSC3,ST3GAL4,MOGS,MAN1C1,RPN2,ST3GAL3,CANX,DAD1,MGAT1,SDF2,NPL,RAB1A,ADAMTSL4,RPN1,PDIA3,TET2,MUC15,TMED10,CALR,TRAPPC4,MAN1A2,F5,DDOST,SEC22B
 GO:0009100	glycoprotein metabolic process	1.36e-07	1.36e-07	1	DPM1,IGF1,B4GALT7,ALG1,HEXB,SOAT1,CTSA,HIF1A,PARP4,NAPA,SEC23IP,MLEC,MAN2A1,CANX,POMT1,COG3,NPC1,CTAGE5,DPY19L4,SYVN1,POGLUT1,RFT1,NANP,GLB1,B3GNT2,DPAGT1,FUT1,MAN1B1,DPM3,SGSH,TRAPPC6B,GCNT1,TRAPPC2,BMPR2,HEXA,ST6GALNAC1,GPC4,NANS,GALNT7,ST3GAL4,DSE,GALNT3,TMEM59,MUC5B,GALNT12,SDC4,GALNTL2,ADAMTSL4,MUC4,B3GNT7,GNE,ST6GALNAC6,SDC3,FUT3,CANT1,CSPG4,ADAMTSL1,FUCA1,B3GNT3,CHP,GFPT1,MUC5AC,ALG1L2,GALNT4,DCN,SEL1L,NANS,DERL3,MAN1A1,GORASP1,GALNT3,ALG5,SDF2L1,GFPT2,TMEM165,OS9,UGGT1,SEC31A,PMM2,GALNT1,GMPPA,SEC24D,CTNNB1,CANT1,GMPPB,ADAMTSL1,MCFD2,BACE2,BGN,MUC6,F8,GFPT1,GALNT4,ST3GAL1,ERP44,ABCA7,SEL1L,LMAN1,LRP2,B4GALT1,GANAB,TUSC3,ST3GAL4,MOGS,MAN1C1,RPN2,ST3GAL3,CANX,DAD1,MGAT1,CHSY1,SDF2,NPL,RAB1A,ADAMTSL4,RPN1,PDIA3,TET2,MUC15,TMED10,RAB1B,CALR,HS6ST3,TRAPPC4,MAN1A2,F5,DDOST,SEC22B
 GO:0009101	glycoprotein biosynthetic process	1.43e-07	1.43e-07	1	DPM1,IGF1,B4GALT7,ALG1,SOAT1,CTSA,PARP4,NAPA,SEC23IP,MLEC,MAN2A1,CANX,POMT1,COG3,NPC1,CTAGE5,DPY19L4,SYVN1,POGLUT1,RFT1,NANP,GLB1,B3GNT2,DPAGT1,FUT1,MAN1B1,DPM3,TRAPPC6B,GCNT1,TRAPPC2,BMPR2,ST6GALNAC1,NANS,GALNT7,ST3GAL4,DSE,GALNT3,TMEM59,MUC5B,GALNT12,GALNTL2,ADAMTSL4,MUC4,B3GNT7,GNE,ST6GALNAC6,FUT3,CANT1,CSPG4,ADAMTSL1,FUCA1,B3GNT3,CHP,GFPT1,MUC5AC,ALG1L2,GALNT4,DCN,SEL1L,NANS,DERL3,MAN1A1,GORASP1,GALNT3,ALG5,SDF2L1,GFPT2,TMEM165,OS9,UGGT1,SEC31A,PMM2,GALNT1,GMPPA,SEC24D,CTNNB1,CANT1,GMPPB,ADAMTSL1,MCFD2,BACE2,BGN,MUC6,F8,GFPT1,GALNT4,ST3GAL1,ABCA7,SEL1L,LMAN1,LRP2,B4GALT1,GANAB,TUSC3,ST3GAL4,MOGS,MAN1C1,RPN2,ST3GAL3,CANX,DAD1,MGAT1,CHSY1,SDF2,NPL,RAB1A,ADAMTSL4,RPN1,PDIA3,TET2,MUC15,TMED10,CALR,HS6ST3,TRAPPC4,MAN1A2,F5,DDOST,SEC22B
 GO:0006486	protein glycosylation	9.91e-08	9.91e-08	1	DPM1,B4GALT7,ALG1,CTSA,PARP4,NAPA,SEC23IP,MLEC,MAN2A1,CANX,POMT1,COG3,NPC1,CTAGE5,DPY19L4,SYVN1,POGLUT1,RFT1,NANP,GLB1,B3GNT2,DPAGT1,FUT1,MAN1B1,DPM3,TRAPPC6B,GCNT1,TRAPPC2,ST6GALNAC1,NANS,GALNT7,ST3GAL4,GALNT3,TMEM59,MUC5B,GALNT12,GALNTL2,ADAMTSL4,MUC4,B3GNT7,GNE,ST6GALNAC6,FUT3,ADAMTSL1,FUCA1,B3GNT3,CHP,GFPT1,MUC5AC,ALG1L2,GALNT4,SEL1L,NANS,DERL3,MAN1A1,GORASP1,GALNT3,ALG5,SDF2L1,GFPT2,TMEM165,OS9,UGGT1,SEC31A,PMM2,GALNT1,GMPPA,SEC24D,GMPPB,ADAMTSL1,MCFD2,MUC6,F8,GFPT1,GALNT4,ST3GAL1,SEL1L,LMAN1,LRP2,B4GALT1,GANAB,TUSC3,ST3GAL4,MOGS,MAN1C1,RPN2,ST3GAL3,CANX,DAD1,MGAT1,SDF2,NPL,RAB1A,ADAMTSL4,RPN1,PDIA3,TET2,MUC15,TMED10,CALR,TRAPPC4,MAN1A2,F5,DDOST,SEC22B
 GO:0006487	protein N-linked glycosylation	2.94e-09	2.94e-09	1	DPM1,B4GALT7,ALG1,CTSA,NAPA,SEC23IP,MLEC,MAN2A1,CANX,CTAGE5,SYVN1,RFT1,NANP,GLB1,DPAGT1,MAN1B1,DPM3,TRAPPC6B,TRAPPC2,SEL1L,NANS,DERL3,MAN1A1,GORASP1,ALG5,GFPT2,TMEM165,OS9,UGGT1,SEC31A,PMM2,GMPPA,SEC24D,GMPPB,MCFD2,F8,GFPT1,ST3GAL1,SEL1L,LMAN1,B4GALT1,GANAB,TUSC3,ST3GAL4,MOGS,MAN1C1,RPN2,ST3GAL3,CANX,DAD1,MGAT1,NPL,RAB1A,RPN1,PDIA3,TMED10,CALR,TRAPPC4,MAN1A2,F5,DDOST,SEC22B
 GO:0018279	protein N-linked glycosylation via asparagine	1.11e-09	1.11e-09	1	DPM1,ALG1,CTSA,NAPA,SEC23IP,MLEC,MAN2A1,CANX,CTAGE5,SYVN1,RFT1,NANP,GLB1,DPAGT1,MAN1B1,DPM3,TRAPPC6B,TRAPPC2,SEL1L,NANS,DERL3,MAN1A1,GORASP1,ALG5,GFPT2,OS9,UGGT1,SEC31A,PMM2,GMPPA,SEC24D,GMPPB,MCFD2,F8,GFPT1,ST3GAL1,SEL1L,LMAN1,B4GALT1,GANAB,TUSC3,ST3GAL4,MOGS,MAN1C1,RPN2,ST3GAL3,CANX,DAD1,MGAT1,NPL,RAB1A,RPN1,PDIA3,TMED10,CALR,TRAPPC4,MAN1A2,F5,DDOST,SEC22B
