	Adult_AdrenalGland	Adult_Colon	Adult_Esophagus	Adult_GallBladder	Adult_Heart	Adult_Kidney	Adult_Liver	Adult_Lung	Adult_Ovary	Adult_Pancreas	Adult_Prostate	Adult_Rectum	Adult_Retina	Adult_SpinalCord	Adult_UrinaryBladder	Fetal_Brain	Fetal_Gut	Fetal_Heart	Fetal_Liver	Fetal_Placenta	Fetal_Testis	Immune_CD4	Immune_Monocyte	Immune_NK
GO:0032543	16.4424417077817	0	0	0	0	5.01615047478437	0	0	0	0	0	0	0	0	0	0	0	6.50229017087397	0	0	0	0	0	0
GO:0070125	14.5599510329118	0	0	0	0	5.67519501780429	0	0	0	0	0	0	0	0	0	0	0	7.33853819507459	0	4.19970507787993	0	0	0	0
GO:0070126	14.1764804261859	0	0	0	0	3.85848223850012	0	0	0	0	0	0	0	0	0	0	0	7.14221259019662	0	4.01738352108597	0	0	0	0
GO:0070124	14.5599510329118	0	0	0	0	4.00085421913476	0	0	0	0	0	0	0	0	0	0	0	7.33853819507459	0	4.19970507787993	0	0	0	0
GO:0018196	4.79149976417958	0	0	0	0	0	0	0	0	8.27033311348471	0	0	0	0	0	0	0	0	0	20.492154115983	0	0	0	0
GO:0070085	7.77287772428189	6.50897915902477	0	0	0	0	0	0	0	8.81156425201882	0	0	0	0	0	0	0	0	0	15.7465320945258	0	0	0	0
GO:0043413	7.0690984293909	6.75933527386386	0	0	0	0	0	0	0	9.08812273925193	0	0	0	0	0	0	0	0	0	16.1271363956105	0	0	0	0
GO:0009100	8.18788944427364	8.1987394602977	0	0	0	0	0	0	0	9.57850969534065	0	0	0	0	0	0	0	0	0	15.8106109512104	0	0	0	0
GO:0009101	6.51571319120611	6.91881622634156	0	0	0	0	0	0	0	11.5919686723107	0	0	0	0	0	0	0	0	0	15.7604212066865	0	0	0	0
GO:0006486	7.0690984293909	6.75933527386386	0	0	0	0	0	0	0	9.08812273925193	0	0	0	0	0	0	0	0	0	16.1271363956105	0	0	0	0
GO:0006487	5.40813223255524	0	0	0	0	0	0	0	0	9.15207146385221	0	0	0	0	0	0	0	0	0	19.6448562555958	0	0	0	0
GO:0018279	4.8613535913805	0	0	0	0	0	0	0	0	8.34745041682914	0	0	0	0	0	0	0	0	0	20.6189058216222	0	0	0	0
GO:0008535	4.76416591747855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:1903509	4.75367019430654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006643	7.24322801527027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006665	5.89615436730366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0044242	5.04367514817446	0	0	0	0	5.98747252583844	15.9192447922132	0	0	0	0	0	0	0	0	0	0	0	6.85896511481271	0	0	0	0	0
GO:0034638	5.7138328105097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:1901615	10.9251388000681	0	0	0	0	9.42477198268837	34.9788329477885	0	0	0	0	0	0	0	0	0	0	0	3.47699909507844	0	8.17360348702616	0	0	0
GO:0006066	7.94339276848886	0	0	0	0	0	18.189569022989	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0450511168579	0	0	0
GO:1901617	4.67452026412288	0	0	0	0	0	15.9274752913497	0	0	0	0	0	0	0	0	0	0	0	0	0	14.2759599744052	0	0	0
GO:0042445	10.4210021644529	0	0	0	0	8.43101549517518	17.2925096530427	0	0	0	0	0	0	0	0	0	10.0155370563448	0	3.63818633979842	5.87101839403211	0	0	0	0
