	Adult_AdrenalGland	Adult_Colon	Adult_Esophagus	Adult_GallBladder	Adult_Heart	Adult_Kidney	Adult_Liver	Adult_Lung	Adult_Ovary	Adult_Pancreas	Adult_Prostate	Adult_Rectum	Adult_Retina	Adult_SpinalCord	Adult_UrinaryBladder	Fetal_Brain	Fetal_Gut	Fetal_Heart	Fetal_Liver	Fetal_Placenta	Fetal_Testis	Immune_CD4	Immune_Monocyte	Immune_NK
GO:0032543	16.4424417077817	0	0	0	0	5.01615047478437	0	0	0	0	0	0	0	0	0	0	0	6.50229017087397	0	0	0	0	0	0
GO:0070125	14.5599510329118	0	0	0	0	5.67519501780429	0	0	0	0	0	0	0	0	0	0	0	7.33853819507459	0	0	0	0	0	0
GO:0018196	4.79149976417958	0	0	0	0	0	0	0	0	8.27033311348471	0	0	0	0	0	0	0	0	0	20.492154115983	0	0	0	0
GO:0070085	7.77287772428189	6.50897915902477	0	0	0	0	0	0	0	8.81156425201882	0	0	0	0	0	0	0	0	0	15.7465320945258	0	0	0	0
GO:0043413	7.0690984293909	6.75933527386386	0	0	0	0	0	0	0	9.08812273925193	0	0	0	0	0	0	0	0	0	16.1271363956105	0	0	0	0
GO:0009100	8.18788944427364	8.1987394602977	0	0	0	0	0	0	0	9.57850969534065	0	0	0	0	0	0	0	0	0	15.8106109512104	0	0	0	0
GO:0009101	6.51571319120611	6.91881622634156	0	0	0	0	0	0	0	11.5919686723107	0	0	0	0	0	0	0	0	0	15.7604212066865	0	0	0	0
GO:0006486	7.0690984293909	6.75933527386386	0	0	0	0	0	0	0	9.08812273925193	0	0	0	0	0	0	0	0	0	16.1271363956105	0	0	0	0
GO:0006487	5.40813223255524	0	0	0	0	0	0	0	0	9.15207146385221	0	0	0	0	0	0	0	0	0	19.6448562555958	0	0	0	0
GO:0018279	4.8613535913805	0	0	0	0	0	0	0	0	8.34745041682914	0	0	0	0	0	0	0	0	0	20.6189058216222	0	0	0	0
GO:0044242	5.04367514817446	0	0	0	0	5.98747252583844	15.9192447922132	0	0	0	0	0	0	0	0	0	0	0	6.85896511481271	0	0	0	0	0
GO:1901615	10.9251388000681	0	0	0	0	9.42477198268837	34.9788329477885	0	0	0	0	0	0	0	0	0	0	0	0	0	8.17360348702616	0	0	0
GO:0006066	7.94339276848886	0	0	0	0	0	18.189569022989	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0450511168579	0	0	0
GO:1901617	4.67452026412288	0	0	0	0	0	15.9274752913497	0	0	0	0	0	0	0	0	0	0	0	0	0	14.2759599744052	0	0	0
GO:0042445	10.4210021644529	0	0	0	0	8.43101549517518	17.2925096530427	0	0	0	0	0	0	0	0	0	10.0155370563448	0	0	5.87101839403211	0	0	0	0
GO:0034754	15.7887919038157	0	0	0	0	0	20.674475672777	0	0	0	0	0	0	0	0	0	0	0	6.39493165255347	0	0	0	0	0
GO:0008202	7.20750993266819	0	0	0	0	0	45.2908960308472	0	0	0	0	0	0	0	0	0	0	0	5.64929428937213	0	6.63012354238386	0	0	0
GO:0006694	9.07931210956978	0	0	0	0	0	16.8172609038438	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4908178203959	0	0	0
GO:0010876	5.59672340236279	0	0	0	0	0	14.2130074964233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19480547112601	0
KEGG:00140	5.12604614560758	0	0	0	0	0	40.9765280446471	0	0	0	0	0	0	0	0	0	0	0	4.65331056131603	0	0	0	0	0
REAC:446203	6.08357983601579	0	0	0	0	0	0	0	0	13.9467588445742	0	0	0	0	0	0	0	0	0	25.5027894100793	0	0	0	0
REAC:211859	6.66089520105061	0	0	0	0	18.2467274368289	106.317900419737	0	0	0	0	0	0	0	0	0	0	0	6.30343931212881	0	0	0	0	0
REAC:5368286	16.8012925006651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0194528071989	0	4.72170400224404	0	0	0	0
REAC:5419276	16.8012925006651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0194528071989	0	4.72170400224404	0	0	0	0
