Name	Description	Fetal_Brain	Fetal_Heart	Fetal_Liver	Fetal_Gut	Fetal_Ovary	Fetal_Testis	Fetal_Placenta	Adult_FrontalCortex	Adult_Retina	Adult_SpinalCord	Adult_Lung	Adult_Heart	Adult_Liver	Adult_AdrenalGland	Adult_GallBladder	Adult_Pancreas	Adult_Kidney	Adult_Esophagus	Adult_Colon	Adult_Rectum	Adult_UrinaryBladder	Adult_Prostate	Adult_Ovary	Adult_Testis	Immune_Bcell	Immune_CD4	Immune_CD8	Immune_NK	Immune_Monocyte	Immune_Platelet
61E3.4		0	0	0	0	0	2	0	0	3	0	0	0	17	0	0	0	15	0	0	0	0	3	3	8	0	0	0	0	0	0
A1BG		3	25	16	23	5	7	31	12	21	40	150	46	46	139	139	67	103	123	150	56	92	96	120	125	0	0	0	0	932	25
A1CF		0	0	95	12	4	0	0	0	0	0	0	0	38	6	0	19	7	0	3	0	0	3	0	0	0	0	0	0	0	0
A2LD1		4	5	8	6	5	14	7	3	15	9	6	3	13	17	7	19	59	0	9	5	7	6	15	10	10	13	16	16	3	12
A2M		118	165	193	277	97	123	514	367	369	1128	3207	295	1162	1087	1946	761	1472	1124	723	1132	1310	838	467	424	0	8	3	0	1786	17
A2ML1		3	4	3	5	5	2	5	6	7	6	40	7	19	51	23	20	48	628	30	13	41	20	20	24	0	0	3	0	0	8
A4GALT		0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS		3	8	9	3	22	10	7	3	17	0	3	0	0	11	3	17	4	0	0	0	0	5	14	24	11	21	23	5	9	10
AACS		6	7	12	0	22	6	3	11	5	6	0	0	0	3	3	17	4	6	13	3	0	2	0	22	3	7	13	2	0	2
AADAC		0	0	138	44	0	0	0	0	0	0	0	0	203	238	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2		0	0	3	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3		0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
AADAT		0	0	0	5	0	0	0	3	0	0	0	0	49	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0
AAGAB		0	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	5	3	7	3	0	9	0
AAK1		40	24	5	10	12	22	21	194	57	31	5	10	0	25	9	38	19	0	19	0	8	26	24	35	0	82	90	38	25	0
AAMP		7	5	9	2	11	10	3	5	14	5	0	0	0	8	9	15	0	0	8	3	15	14	14	35	4	16	9	5	11	0
AARS		186	164	180	150	499	193	58	499	411	229	59	17	118	72	81	325	44	12	113	114	93	137	227	245	95	114	82	52	55	129
AARS2		24	18	11	24	55	7	0	10	26	4	10	0	4	22	3	20	0	0	9	3	5	11	20	28	21	30	41	19	11	0
AARSD1		28	34	11	3	22	19	0	28	12	6	0	3	0	0	3	41	0	5	6	0	3	9	54	71	21	11	18	12	6	4
AASDH		0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0
AASDHPPT		56	26	7	6	35	28	9	44	26	21	3	8	0	14	7	6	25	3	4	5	5	5	30	24	15	23	18	26	14	12
AASS		9	59	26	10	50	18	0	9	10	43	36	42	185	50	29	38	34	0	6	3	13	34	94	73	3	3	0	0	0	0
AATF		0	3	0	0	8	10	0	0	5	0	0	0	0	3	3	6	0	0	0	0	0	2	8	8	53	11	37	19	0	0
AATK		0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT		198	55	315	23	33	85	15	486	306	200	7	23	1125	56	90	193	731	4	11	5	8	33	80	74	32	13	9	5	0	4
ABCA1		0	3	11	0	5	0	0	3	0	3	0	0	6	14	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ABCA10		5	0	7	0	0	0	10	0	5	2	0	0	16	14	0	3	0	0	6	0	0	0	6	8	0	0	0	5	0	0
ABCA12		0	0	0	0	0	5	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
ABCA13		10	11	19	11	12	7	8	17	27	14	12	9	24	16	23	15	19	9	8	11	7	15	24	24	20	18	17	55	12	16
ABCA2		0	0	2	0	0	2	0	51	7	55	3	0	10	10	6	6	0	0	0	0	0	0	4	8	0	0	3	0	0	0
ABCA3		0	0	0	0	0	0	0	13	3	0	84	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	2	0	2
ABCA4		0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2
ABCA5		3	0	0	0	0	0	0	10	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ABCA6		0	0	51	0	0	0	0	3	5	2	3	0	72	10	20	3	0	6	0	0	10	2	17	8	0	0	0	0	0	0
ABCA7		0	0	0	2	0	2	10	0	56	0	0	0	0	7	0	0	4	0	3	0	0	0	0	0	3	0	0	0	0	0
ABCA8		0	10	8	0	43	20	5	14	116	41	13	11	15	132	28	58	9	14	41	11	15	19	128	74	0	0	0	0	0	0
ABCA9		0	0	6	0	0	2	5	5	7	2	0	0	16	17	6	3	0	0	3	0	3	0	28	24	0	0	0	0	0	0
ABCB1		0	0	17	7	0	0	21	18	5	10	5	0	27	455	9	6	62	0	13	0	0	14	5	0	18	0	37	30	0	6
ABCB10		0	5	67	3	8	0	3	6	5	2	3	5	7	11	0	3	5	0	8	0	0	2	0	0	14	10	13	14	9	9
ABCB11		0	5	15	2	6	0	3	0	3	2	0	0	52	20	0	0	19	6	0	0	0	0	0	0	0	0	3	0	0	10
ABCB4		0	0	10	0	0	0	14	7	3	2	0	0	22	114	6	0	33	0	3	0	0	3	3	3	8	4	5	6	0	0
ABCB5		3	6	5	0	0	0	3	0	0	0	0	0	7	11	0	0	0	0	0	0	2	0	5	3	0	0	3	0	0	0
ABCB6		3	7	46	9	8	30	3	3	13	2	0	5	16	39	9	15	0	5	3	0	8	12	39	33	5	0	0	0	0	33
ABCB7		6	6	12	15	34	12	3	22	30	8	0	12	12	75	6	13	14	0	8	0	8	9	8	52	34	9	43	19	13	2
ABCB8		8	5	19	2	30	7	7	15	14	18	7	9	6	16	0	3	16	5	3	0	3	7	5	14	14	13	11	11	17	6
ABCB9		0	0	3	0	0	0	10	6	3	7	5	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	15
ABCC1		3	14	2	5	30	53	0	0	13	2	4	6	10	39	0	12	5	8	16	0	28	61	21	90	19	7	16	3	8	35
ABCC10		0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	3	5	0	0	0	0	0	0
ABCC11		0	5	35	2	6	0	4	5	3	2	3	5	0	3	2	3	5	0	3	0	3	3	0	5	7	9	5	11	11	6
ABCC12		0	0	0	0	0	0	0	3	0	0	0	0	3	3	3	3	0	0	0	0	0	2	0	0	0	0	0	0	0	2
ABCC2		3	0	17	19	0	8	0	13	0	0	0	0	38	0	0	0	5	6	0	0	0	0	0	0	0	3	0	2	0	0
ABCC3		3	0	0	4	0	5	0	0	5	2	0	0	55	186	9	43	10	9	12	0	5	9	0	3	3	3	0	0	0	32
ABCC4		4	3	0	3	25	10	0	3	0	19	8	0	0	6	4	12	4	0	31	0	48	70	15	52	2	3	0	0	0	77
ABCC5		0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	3	3	0	0	0	0	0	0
ABCC6		0	0	169	7	0	0	0	3	0	2	0	0	54	0	0	6	5	0	0	0	0	3	0	3	0	0	0	0	0	0
ABCC8		0	0	0	0	0	0	0	0	0	0	0	5	0	6	3	6	0	0	0	0	0	0	3	0	0	0	0	0	0	2
ABCC9		0	0	0	0	0	0	0	0	0	0	0	4	0	6	3	3	0	0	0	0	3	0	11	0	0	0	0	0	0	2
ABCD1		0	3	12	0	48	38	11	3	7	0	7	3	6	95	12	12	10	0	3	0	5	4	67	109	10	3	5	19	14	4
ABCD2		0	0	0	0	5	5	0	5	8	2	3	0	3	3	0	0	0	0	0	0	0	3	4	8	2	7	9	2	0	0
ABCD3		32	34	247	38	67	47	20	42	75	24	31	16	171	44	12	9	75	8	26	11	8	9	36	109	28	12	28	38	28	11
ABCD4		0	0	19	4	10	7	0	0	0	0	0	0	0	15	0	0	5	0	0	0	0	0	3	3	3	0	0	0	0	0
ABCE1		48	82	53	81	176	87	27	48	54	28	10	12	35	40	27	128	20	19	41	13	24	45	69	117	68	74	72	33	42	19
ABCF1		27	68	78	58	108	74	30	25	36	15	23	7	25	50	23	100	5	5	51	24	39	36	120	112	115	97	139	82	45	35
ABCF2		5	7	5	7	14	12	3	28	24	9	0	3	0	39	14	19	0	0	6	0	6	7	16	22	27	39	46	24	27	0
ABCF3		12	9	7	3	22	12	4	17	19	10	10	9	6	64	3	22	5	6	9	0	5	8	29	92	18	28	53	19	18	0
ABCG1		0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ABCG2		0	0	0	2	0	0	3	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
ABCG4		0	0	0	2	5	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5		0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8		3	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10		82	49	51	41	141	169	38	117	151	73	32	73	35	101	12	40	135	10	44	16	31	33	87	88	78	86	82	36	23	37
ABHD11		7	48	9	53	33	41	82	33	29	27	26	23	5	41	7	18	47	11	40	45	10	23	12	22	11	10	13	14	8	30
ABHD12		27	15	5	7	39	36	70	43	18	18	7	0	10	20	0	15	11	4	3	3	5	4	14	22	3	12	14	12	12	10
ABHD13		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0
